Number of genomes	Core genome
1	5934	#
1	5650	#
1	5886	#
1	5647	#
1	5681	#
1	5793	#
1	5808	#
1	5439	#
1	5830	#
1	5457	#
1	5922	#
1	5291	#
1	5897	#
1	5369	#
1	5635	#
1	5800	#
1	5648	#
1	5570	#
1	5861	#
1	5190	#
1	5694	#
2	2371	#
2	2256	#
2	2355	#
2	2287	#
2	3196	#
2	2452	#
2	2275	#
2	2254	#
2	2274	#
2	3666	#
2	3180	#
2	2326	#
2	2266	#
2	2287	#
2	2277	#
2	3797	#
2	2286	#
2	3171	#
2	2339	#
2	2249	#
2	2374	#
3	2107	#
3	2113	#
3	2260	#
3	2050	#
3	3716	#
3	2209	#
3	2065	#
3	3995	#
3	2227	#
3	2112	#
3	2085	#
3	2085	#
3	2253	#
3	2139	#
3	2063	#
3	2087	#
3	2092	#
3	4015	#
3	2175	#
3	2221	#
3	2130	#
4	1972	#
4	1977	#
4	2056	#
4	2057	#
4	1987	#
4	1998	#
4	1997	#
4	2021	#
4	2027	#
4	2032	#
4	2002	#
4	2059	#
4	2014	#
4	2009	#
4	2013	#
4	2045	#
4	1972	#
4	2068	#
4	2022	#
4	1988	#
4	2056	#
5	1996	#
5	1979	#
5	1987	#
5	1963	#
5	1936	#
5	1998	#
5	1979	#
5	1965	#
5	1980	#
5	1945	#
5	1992	#
5	1974	#
5	1970	#
5	1986	#
5	1958	#
5	1952	#
5	1994	#
5	1982	#
5	1981	#
5	1986	#
5	1968	#
6	1979	#
6	1951	#
6	1929	#
6	1957	#
6	1959	#
6	1957	#
6	1938	#
6	1935	#
6	1945	#
6	1968	#
6	1953	#
6	1961	#
6	1955	#
6	1934	#
6	1915	#
6	1962	#
6	1934	#
6	1966	#
6	1948	#
6	1979	#
6	1986	#
7	1937	#
7	1935	#
7	1926	#
7	1929	#
7	1927	#
7	1938	#
7	1929	#
7	1946	#
7	1947	#
7	1965	#
7	1975	#
7	1916	#
7	1930	#
7	1906	#
7	1940	#
7	1926	#
7	1915	#
7	1924	#
7	1922	#
7	1945	#
7	1940	#
8	1939	#
8	1957	#
8	1946	#
8	1913	#
8	1912	#
8	1936	#
8	1927	#
8	1913	#
8	1924	#
8	1940	#
8	1898	#
8	1913	#
8	1916	#
8	1911	#
8	1927	#
8	1920	#
8	1909	#
8	1890	#
8	1893	#
8	1901	#
8	1924	#
9	1894	#
9	1902	#
9	1875	#
9	1872	#
9	1888	#
9	1883	#
9	1867	#
9	1875	#
9	1865	#
9	1884	#
9	1888	#
9	1884	#
9	1883	#
9	1864	#
9	1860	#
9	1883	#
9	1889	#
9	1891	#
9	1893	#
9	1897	#
9	1881	#
10	1860	#
10	1849	#
10	1868	#
10	1871	#
10	1884	#
10	1861	#
10	1878	#
10	1851	#
10	1885	#
10	1877	#
10	1851	#
10	1861	#
10	1864	#
10	1852	#
10	1855	#
10	1876	#
10	1880	#
10	1868	#
10	1884	#
10	1866	#
10	1860	#
11	1851	#
11	1846	#
11	1869	#
11	1852	#
11	1845	#
11	1857	#
11	1862	#
11	1849	#
11	1858	#
11	1856	#
11	1869	#
11	1855	#
11	1852	#
11	1849	#
11	1859	#
11	1857	#
11	1854	#
11	1845	#
11	1866	#
11	1858	#
11	1868	#
12	1849	#
12	1858	#
12	1846	#
12	1846	#
12	1841	#
12	1842	#
12	1832	#
12	1839	#
12	1843	#
12	1841	#
12	1845	#
12	1842	#
12	1849	#
12	1859	#
12	1840	#
12	1844	#
12	1847	#
12	1829	#
12	1837	#
12	1832	#
12	1852	#
13	1832	#
13	1824	#
13	1834	#
13	1825	#
13	1825	#
13	1851	#
13	1846	#
13	1847	#
13	1828	#
13	1818	#
13	1851	#
13	1837	#
13	1833	#
13	1831	#
13	1830	#
13	1850	#
13	1830	#
13	1828	#
13	1845	#
13	1851	#
13	1824	#
14	1822	#
14	1842	#
14	1836	#
14	1833	#
14	1826	#
14	1825	#
14	1814	#
14	1833	#
14	1842	#
14	1826	#
14	1828	#
14	1824	#
14	1833	#
14	1817	#
14	1834	#
14	1834	#
14	1825	#
14	1830	#
14	1837	#
14	1834	#
14	1846	#
15	1804	#
15	1821	#
15	1823	#
15	1831	#
15	1812	#
15	1833	#
15	1823	#
15	1811	#
15	1826	#
15	1813	#
15	1823	#
15	1832	#
15	1823	#
15	1823	#
15	1824	#
15	1823	#
15	1830	#
15	1818	#
15	1830	#
15	1813	#
