Number of genomes	Number of gene families
1	2550
2	819
3	501
4	350
5	264
6	147
7	179
8	168
9	95
10	88
11	92
12	81
13	46
14	50
15	51
16	35
17	55
18	58
19	57
20	37
21	43
22	35
23	55
24	24
25	26
26	19
27	21
28	20
29	12
30	32
31	16
32	15
33	11
34	17
35	12
36	20
37	5
38	18
39	4
40	12
41	11
42	19
43	5
44	12
45	9
46	8
47	10
48	16
49	8
50	7
51	5
52	10
53	7
54	63
55	22
56	12
57	12
58	12
59	11
60	10
61	13
62	8
63	10
64	10
65	12
66	8
67	3
68	3
69	10
70	7
71	7
72	8
73	17
74	5
75	3
76	9
77	10
78	6
79	5
80	8
81	3
82	1
83	13
84	3
85	5
86	7
87	3
88	10
89	4
90	5
91	6
92	4
93	6
94	5
95	9
96	4
97	5
98	6
99	6
100	4
101	3
102	2
103	2
104	7
105	2
106	4
107	2
108	1
109	3
110	4
111	6
112	3
113	1
114	6
115	5
116	5
117	3
118	4
119	2
120	1
121	3
122	2
123	1
124	4
125	6
126	8
127	5
128	2
129	6
130	4
131	2
132	2
133	2
134	1
135	3
136	2
137	1
138	3
139	5
140	2
141	2
142	2
143	0
144	4
145	2
146	0
147	2
148	1
149	0
150	2
151	2
152	0
153	1
154	2
155	5
156	1
157	3
158	0
159	2
160	5
161	5
162	3
163	2
164	2
165	2
166	0
167	1
168	0
169	2
170	8
171	3
172	1
173	3
174	3
175	4
176	0
177	5
178	1
179	8
180	7
181	0
182	2
183	2
184	3
185	2
186	1
187	2
188	0
189	0
190	1
191	1
192	2
193	0
194	4
195	2
196	2
197	3
198	2
199	0
200	2
201	1
202	1
203	2
204	3
205	0
206	4
207	2
208	0
209	2
210	0
211	0
212	4
213	2
214	2
215	8
216	2
217	4
218	8
219	10
220	4
221	3
222	3
223	4
224	8
225	14
226	11
227	6
228	10
229	14
230	19
231	33
232	31
233	87
234	957
