Number of genomes	Core genome
1	5280	#
1	4561	#
1	4727	#
1	4927	#
1	4784	#
1	4850	#
1	4798	#
1	4937	#
2	1650	#
2	193	#
2	1690	#
2	4295	#
2	192	#
2	198	#
2	1652	#
2	194	#
2	3062	#
2	4903	#
2	3052	#
2	1644	#
2	1648	#
2	3090	#
2	3047	#
2	3055	#
2	4185	#
2	4185	#
2	194	#
2	3097	#
2	4236	#
3	2961	#
3	1611	#
3	2920	#
3	1607	#
3	192	#
3	185	#
3	2910	#
3	192	#
3	189	#
3	1610	#
3	1550	#
3	1554	#
3	2968	#
3	188	#
3	3040	#
3	1616	#
3	2954	#
3	2955	#
3	1639	#
3	191	#
3	2968	#
4	1544	#
4	2899	#
4	1533	#
4	184	#
4	1537	#
4	1539	#
4	186	#
4	189	#
4	4050	#
4	2842	#
4	185	#
4	1523	#
4	1537	#
4	189	#
4	188	#
4	189	#
4	1609	#
4	2841	#
4	186	#
4	184	#
4	184	#
5	1511	#
5	189	#
5	1518	#
5	185	#
5	185	#
5	2817	#
5	1537	#
5	1524	#
5	189	#
5	1530	#
5	184	#
5	189	#
5	1537	#
5	184	#
5	184	#
5	185	#
5	186	#
5	1590	#
5	2811	#
5	184	#
5	188	#
6	184	#
6	184	#
6	1506	#
6	185	#
6	188	#
6	186	#
6	1512	#
6	184	#
6	185	#
6	184	#
6	184	#
6	1524	#
6	1511	#
6	185	#
6	184	#
6	189	#
6	184	#
6	188	#
6	188	#
6	184	#
6	184	#
7	184	#
7	184	#
7	184	#
7	185	#
7	1506	#
7	188	#
7	184	#
7	184	#
8	184	#
	#
