Number of genomes	Pan genome
1	2027	#
1	1947	#
1	1997	#
1	2023	#
1	2099	#
1	2062	#
1	1981	#
1	1942	#
1	2132	#
1	2010	#
1	1952	#
1	2116	#
1	2077	#
1	1979	#
1	2057	#
1	2221	#
1	2170	#
1	2133	#
1	2134	#
1	1950	#
1	2054	#
2	2434	#
2	2677	#
2	2317	#
2	2372	#
2	2511	#
2	2390	#
2	2589	#
2	2475	#
2	2434	#
2	2362	#
2	2521	#
2	2425	#
2	2350	#
2	2442	#
2	2462	#
2	2364	#
2	2481	#
2	2445	#
2	2473	#
2	2464	#
2	2286	#
3	2679	#
3	2624	#
3	2699	#
3	2745	#
3	2828	#
3	2783	#
3	2658	#
3	2760	#
3	2877	#
3	2624	#
3	2829	#
3	2783	#
3	2821	#
3	2565	#
3	2319	#
3	2815	#
3	2608	#
3	2750	#
3	2637	#
3	2648	#
3	2458	#
4	2834	#
4	2827	#
4	2925	#
4	2812	#
4	2646	#
4	2637	#
4	2832	#
4	2831	#
4	2791	#
4	2788	#
4	2895	#
4	2826	#
4	2779	#
4	2883	#
4	2573	#
4	2626	#
4	3110	#
4	2585	#
4	2646	#
4	3015	#
4	2948	#
5	2849	#
5	2757	#
5	2801	#
5	2871	#
5	2839	#
5	2644	#
5	2914	#
5	3007	#
5	2598	#
5	2932	#
5	2881	#
5	2965	#
5	2783	#
5	2843	#
5	2862	#
5	2948	#
5	2842	#
5	2778	#
5	2830	#
5	2661	#
5	3007	#
6	3197	#
6	3069	#
6	3138	#
6	3249	#
6	3050	#
6	3105	#
6	3105	#
6	3107	#
6	3098	#
6	3202	#
6	3188	#
6	3205	#
6	3086	#
6	2964	#
6	3037	#
6	3154	#
6	3192	#
6	3179	#
6	3093	#
6	2902	#
6	3136	#
7	3298	#
7	3230	#
7	3177	#
7	3377	#
7	3097	#
7	3428	#
7	3257	#
7	3425	#
7	3279	#
7	3430	#
7	3365	#
7	3145	#
7	3220	#
7	3296	#
7	3285	#
7	3290	#
7	3287	#
7	3440	#
7	3279	#
7	3234	#
7	3267	#
8	3434	#
8	3299	#
8	3458	#
8	3333	#
8	3298	#
8	3391	#
8	3435	#
8	3438	#
8	3442	#
8	3489	#
8	3373	#
8	3433	#
8	3573	#
8	3549	#
8	3565	#
8	3534	#
8	3430	#
8	3573	#
8	3472	#
8	3422	#
8	3568	#
9	3688	#
9	3576	#
9	3601	#
9	3606	#
9	3670	#
9	3542	#
9	3575	#
9	3519	#
9	3726	#
9	3726	#
9	3537	#
9	3478	#
9	3655	#
9	3621	#
9	3799	#
9	3741	#
9	3613	#
9	3643	#
9	3692	#
9	3658	#
9	3755	#
10	3766	#
10	3833	#
10	3853	#
10	3745	#
10	3809	#
10	3867	#
10	3851	#
10	3860	#
10	3764	#
10	3800	#
10	3857	#
10	3904	#
10	3820	#
10	3762	#
10	3791	#
10	3805	#
10	3842	#
10	3812	#
10	3868	#
10	3782	#
10	3769	#
11	3961	#
11	3851	#
11	3987	#
11	3961	#
11	3993	#
11	4009	#
11	3929	#
11	4009	#
11	3911	#
11	3992	#
11	3908	#
11	3893	#
11	4028	#
11	3884	#
11	3918	#
11	3979	#
11	3960	#
11	3958	#
11	3879	#
11	3862	#
11	3939	#
12	3999	#
12	4096	#
12	4148	#
12	4112	#
12	4112	#
12	4092	#
12	4014	#
12	4124	#
12	4093	#
12	4146	#
12	4127	#
12	4196	#
12	4060	#
12	4063	#
12	4149	#
12	4105	#
12	4215	#
12	4070	#
12	4180	#
12	4065	#
12	3988	#
13	4211	#
13	4012	#
13	4375	#
13	4617	#
13	3976	#
13	4308	#
13	4197	#
13	3973	#
13	4079	#
13	4268	#
13	4135	#
13	4237	#
13	4219	#
13	4228	#
13	4258	#
13	4397	#
13	4180	#
13	4049	#
13	4488	#
13	4184	#
13	4137	#
14	4164	#
14	4098	#
14	4186	#
14	4338	#
14	4171	#
14	4319	#
14	4246	#
14	4218	#
14	4150	#
14	4097	#
14	4348	#
14	4241	#
14	4363	#
14	4186	#
14	4177	#
14	4184	#
14	4247	#
14	4188	#
14	4113	#
14	4416	#
14	4266	#
15	4359	#
15	4386	#
15	4355	#
15	4335	#
15	4534	#
15	4540	#
15	4367	#
15	4534	#
15	4362	#
15	4427	#
15	4494	#
15	4606	#
15	4522	#
15	4293	#
15	4381	#
15	4342	#
15	4361	#
15	4581	#
15	4417	#
15	4587	#
15	4328	#
16	4555	#
16	4544	#
16	4597	#
16	4632	#
16	4606	#
16	4627	#
16	4572	#
16	4635	#
16	4536	#
16	4626	#
16	4545	#
16	4606	#
16	4579	#
16	4620	#
16	4580	#
16	4622	#
16	4636	#
16	4573	#
16	4662	#
16	4693	#
16	4619	#
17	4594	#
17	4728	#
17	4676	#
17	4696	#
17	4585	#
17	4614	#
17	4682	#
17	4710	#
17	4663	#
17	4624	#
17	4549	#
17	4653	#
17	4671	#
17	4586	#
17	4639	#
17	4742	#
17	4587	#
17	4609	#
17	4619	#
17	4551	#
17	4589	#
18	4692	#
18	4701	#
18	4699	#
18	4694	#
18	4650	#
18	4662	#
18	4714	#
18	4643	#
18	4696	#
18	4679	#
18	4654	#
18	4762	#
18	4711	#
18	4684	#
18	4717	#
18	4627	#
18	4731	#
18	4738	#
18	4639	#
18	4706	#
18	4684	#
19	4691	#
19	4672	#
19	4739	#
19	4644	#
19	4800	#
19	4752	#
19	4726	#
19	4695	#
19	4722	#
19	4748	#
19	4705	#
19	4637	#
19	4658	#
19	4657	#
19	4636	#
19	4777	#
19	4727	#
19	4723	#
19	4791	#
19	4725	#
19	4721	#
20	4732	#
20	4754	#
20	4738	#
20	4736	#
20	4733	#
20	4727	#
20	4787	#
20	4750	#
20	4757	#
20	4838	#
20	4812	#
20	4733	#
20	4826	#
20	4741	#
20	4856	#
20	4816	#
20	4804	#
20	4784	#
20	4834	#
20	4755	#
20	4750	#
21	4770	#
21	4763	#
21	4797	#
21	4917	#
21	4821	#
21	4823	#
21	4827	#
21	4756	#
21	4761	#
21	4771	#
21	4758	#
21	4824	#
21	4810	#
21	4809	#
21	4837	#
21	4846	#
21	4835	#
21	4753	#
21	4790	#
21	4888	#
21	4844	#
22	4798	#
22	4907	#
22	4833	#
22	5143	#
22	4817	#
22	4762	#
22	4926	#
22	4763	#
22	4780	#
22	4846	#
22	5158	#
