Number of genomes	Core genome
1	1769	#
1	1814	#
1	1740	#
1	1625	#
1	1741	#
1	1783	#
1	1667	#
1	1708	#
1	1631	#
1	1853	#
1	1724	#
1	1820	#
1	1747	#
1	1718	#
1	1773	#
1	1686	#
1	1606	#
1	1803	#
1	1648	#
1	1737	#
1	1843	#
2	1424	#
2	1467	#
2	1443	#
2	1477	#
2	1467	#
2	1517	#
2	1411	#
2	1439	#
2	1425	#
2	1471	#
2	1444	#
2	1452	#
2	1416	#
2	1471	#
2	1486	#
2	1423	#
2	1440	#
2	1375	#
2	1447	#
2	1481	#
2	1460	#
3	1417	#
3	1423	#
3	1369	#
3	1382	#
3	1441	#
3	1369	#
3	1381	#
3	1376	#
3	1378	#
3	1402	#
3	1451	#
3	1381	#
3	1380	#
3	1406	#
3	1392	#
3	1413	#
3	1367	#
3	1404	#
3	1380	#
3	1428	#
3	1384	#
4	1374	#
4	1352	#
4	1370	#
4	1351	#
4	1353	#
4	1381	#
4	1380	#
4	1380	#
4	1363	#
4	1351	#
4	1369	#
4	1372	#
4	1389	#
4	1346	#
4	1352	#
4	1372	#
4	1396	#
4	1351	#
4	1356	#
4	1376	#
4	1355	#
5	1372	#
5	1335	#
5	1359	#
5	1328	#
5	1340	#
5	1390	#
5	1357	#
5	1339	#
5	1359	#
5	1353	#
5	1353	#
5	1356	#
5	1364	#
5	1368	#
5	1355	#
5	1341	#
5	1363	#
5	1355	#
5	1353	#
5	1367	#
5	1342	#
6	1325	#
6	1308	#
6	1339	#
6	1348	#
6	1345	#
6	1344	#
6	1309	#
6	1373	#
6	1369	#
6	1356	#
6	1324	#
6	1343	#
6	1370	#
6	1332	#
6	1317	#
6	1344	#
6	1316	#
6	1320	#
6	1321	#
6	1388	#
6	1330	#
7	1356	#
7	1355	#
7	1327	#
7	1328	#
7	1345	#
7	1329	#
7	1357	#
7	1356	#
7	1357	#
7	1336	#
7	1369	#
7	1350	#
7	1354	#
7	1348	#
7	1339	#
7	1370	#
7	1333	#
7	1308	#
7	1341	#
7	1322	#
7	1337	#
8	1314	#
8	1332	#
8	1342	#
8	1318	#
8	1306	#
8	1309	#
8	1318	#
8	1330	#
8	1318	#
8	1316	#
8	1318	#
8	1323	#
8	1341	#
8	1307	#
8	1300	#
8	1309	#
8	1305	#
8	1306	#
8	1315	#
8	1314	#
8	1321	#
9	1308	#
9	1297	#
9	1283	#
9	1293	#
9	1290	#
9	1292	#
9	1310	#
9	1307	#
9	1315	#
9	1313	#
9	1301	#
9	1312	#
9	1309	#
9	1316	#
9	1296	#
9	1301	#
9	1299	#
9	1310	#
9	1295	#
9	1306	#
9	1315	#
10	1286	#
10	1297	#
10	1294	#
10	1294	#
10	1295	#
10	1278	#
10	1287	#
10	1303	#
10	1290	#
10	1295	#
10	1288	#
10	1288	#
10	1292	#
10	1293	#
10	1292	#
10	1291	#
10	1291	#
10	1294	#
10	1289	#
10	1298	#
10	1290	#
11	1270	#
11	1269	#
11	1281	#
11	1282	#
11	1280	#
11	1275	#
11	1282	#
11	1277	#
11	1277	#
11	1267	#
11	1268	#
11	1282	#
11	1277	#
11	1281	#
11	1268	#
11	1277	#
11	1278	#
11	1280	#
11	1282	#
11	1270	#
11	1274	#
12	1257	#
12	1263	#
12	1266	#
12	1264	#
12	1266	#
12	1263	#
12	1261	#
12	1265	#
12	1265	#
12	1266	#
12	1260	#
12	1266	#
12	1262	#
12	1266	#
12	1264	#
12	1265	#
12	1264	#
12	1261	#
12	1258	#
12	1258	#
12	1255	#
13	1249	#
13	1248	#
13	1261	#
13	1247	#
13	1261	#
13	1244	#
13	1248	#
13	1244	#
13	1262	#
13	1239	#
13	1245	#
13	1245	#
13	1243	#
13	1260	#
13	1262	#
13	1246	#
13	1238	#
13	1247	#
13	1245	#
