Number of genomes	Number of gene families
1	2427
2	836
3	542
4	316
5	174
6	194
7	125
8	118
9	75
10	81
11	70
12	77
13	72
14	45
15	37
16	27
17	34
18	30
19	23
20	25
21	45
22	30
23	38
24	37
25	40
26	22
27	12
28	40
29	27
30	19
31	18
32	10
33	21
34	38
35	15
36	14
37	33
38	22
39	51
40	14
41	14
42	6
43	13
44	8
45	14
46	9
47	12
48	7
49	15
50	9
51	11
52	6
53	13
54	13
55	5
56	9
57	8
58	10
59	13
60	7
61	15
62	5
63	8
64	9
65	8
66	11
67	9
68	3
69	10
70	9
71	2
72	7
73	16
74	6
75	8
76	4
77	3
78	11
79	1
80	6
81	7
82	3
83	14
84	10
85	3
86	4
87	6
88	4
89	3
90	6
91	6
92	3
93	1
94	6
95	6
96	2
97	1
98	8
99	7
100	4
101	3
102	2
103	5
104	1
105	4
106	4
107	4
108	5
109	4
110	1
111	1
112	2
113	3
114	2
115	2
116	1
117	0
118	4
119	1
120	1
121	0
122	1
123	0
124	7
125	0
126	4
127	1
128	1
129	0
130	1
131	2
132	2
133	2
134	1
135	1
136	1
137	2
138	1
139	1
140	1
141	3
142	2
143	4
144	1
145	0
146	1
147	2
148	3
149	1
150	1
151	4
152	2
153	2
154	2
155	3
156	5
157	1
158	6
159	1
160	0
161	2
162	1
163	3
164	6
165	1
166	7
167	0
168	0
169	2
170	1
171	1
172	5
173	5
174	0
175	0
176	2
177	1
178	2
179	1
180	1
181	0
182	0
183	1
184	1
185	1
186	0
187	2
188	1
189	2
190	0
191	4
192	1
193	1
194	2
195	2
196	3
197	4
198	1
199	0
200	2
201	0
202	1
203	2
204	1
205	1
206	1
207	3
208	1
209	1
210	1
211	3
212	1
213	3
214	2
215	1
216	1
217	1
218	1
219	2
220	1
221	5
222	7
223	2
224	4
225	0
226	1
227	3
228	0
229	1
230	4
231	6
232	5
233	6
234	8
235	1
236	5
237	8
238	7
239	8
240	3
241	13
242	10
243	23
244	18
245	48
246	125
247	1022
