Genome Number	Number of new gene families
2	366
3	255
4	123
5	12
6	164
7	57
8	156
9	82
10	107
11	132
12	120
13	24
14	45
15	55
16	25
17	1
18	4
19	51
20	4
21	33
22	76
23	31
24	53
25	51
26	44
27	17
28	1
29	75
30	54
31	7
32	6
33	2
34	47
35	33
36	4
37	86
38	19
39	64
40	7
41	15
42	3
43	11
44	17
45	7
46	3
47	42
48	4
49	1
50	49
51	33
52	0
53	25
54	5
55	4
56	1
57	3
58	53
59	4
60	31
61	52
62	6
63	16
64	13
65	4
66	10
67	1
68	0
69	11
70	2
71	0
72	44
73	69
74	82
75	25
76	61
77	5
78	3
79	10
80	49
81	26
82	3
83	14
84	21
85	7
86	3
87	2
88	3
89	1
90	7
91	7
92	4
93	2
94	1
95	4
96	1
97	1
98	4
99	0
100	0
101	3
102	16
103	36
104	54
105	55
106	106
107	56
108	24
109	52
110	131
111	24
112	59
113	57
114	26
115	48
116	12
117	79
118	17
119	13
120	29
121	23
122	23
123	126
124	28
125	49
126	1
127	29
128	21
129	18
130	15
131	19
132	24
133	0
134	7
135	3
136	3
137	1
138	1
139	47
140	26
141	2
142	8
143	2
144	3
145	22
146	1
147	2
148	6
149	3
150	1
151	1
152	79
153	37
154	0
155	1
156	1
157	43
158	4
159	3
160	1
161	1
162	2
163	3
164	0
165	1
166	3
167	4
168	3
169	2
170	1
171	3
172	3
173	43
174	62
175	14
176	15
177	30
178	23
179	21
180	27
181	29
182	22
183	4
184	46
185	91
186	19
187	19
188	20
189	12
190	1
191	3
192	21
193	20
194	5
195	30
196	16
197	11
198	2
199	31
200	20
201	10
202	5
203	0
204	14
205	21
206	5
207	2
208	4
209	23
210	26
211	6
212	4
213	3
214	4
215	19
216	7
217	8
218	5
219	21
220	9
221	23
222	1
223	1
224	51
225	25
226	28
227	2
228	19
229	5
230	1
231	24
232	29
233	19
234	11
235	23
236	1
237	2
238	1
239	0
240	3
241	1
242	1
243	3
244	20
245	3
246	7
247	11
