Number of genomes	Number of gene families
1	15345
2	6583
3	4225
4	2390
5	1483
6	1118
7	865
8	700
9	574
10	489
11	432
12	363
13	342
14	293
15	233
16	215
17	207
18	157
19	198
20	207
21	182
22	209
23	250
24	151
25	132
26	170
27	113
28	130
29	118
30	115
31	117
32	94
33	105
34	133
35	402
36	109
37	70
38	67
39	76
40	56
41	79
42	63
43	47
44	81
45	101
46	71
47	153
48	606
49	55
50	33
51	42
52	36
53	37
54	32
55	28
56	20
57	20
58	23
59	13
60	21
61	21
62	18
63	11
64	20
65	21
66	14
67	24
68	12
69	15
70	23
71	15
72	20
73	18
74	22
75	18
76	13
77	16
78	29
79	17
80	29
81	36
82	150
83	1673
