Number of genomes	Pan genome
1	5567	#
1	5460	#
1	5662	#
1	5505	#
1	5439	#
1	5800	#
1	5861	#
1	5635	#
1	5451	#
1	5550	#
1	5646	#
1	5209	#
1	5297	#
1	5830	#
1	5808	#
1	5328	#
1	5357	#
1	5615	#
1	5149	#
1	5662	#
1	5648	#
1	6131	#
1	5527	#
1	5645	#
1	6045	#
1	5567	#
1	5280	#
1	5658	#
1	5385	#
1	5645	#
1	5814	#
1	5934	#
1	5321	#
1	5650	#
1	5385	#
1	5360	#
1	5570	#
1	5662	#
1	5451	#
1	5503	#
1	5274	#
1	5442	#
1	5259	#
1	5498	#
1	6050	#
1	5878	#
1	5743	#
1	5886	#
1	5922	#
1	5963	#
1	5667	#
1	5291	#
1	5457	#
1	5647	#
1	5963	#
1	5694	#
1	5321	#
1	5183	#
1	5208	#
1	5594	#
1	5389	#
1	5650	#
1	5268	#
1	5887	#
1	5720	#
1	5309	#
1	5457	#
1	5647	#
1	5897	#
1	5704	#
1	5727	#
1	5883	#
1	5369	#
1	5228	#
1	5307	#
1	5309	#
1	5569	#
1	5299	#
1	5681	#
1	5190	#
1	5608	#
1	6122	#
1	5793	#
2	8558	#
2	8709	#
2	8958	#
2	7500	#
2	7705	#
2	9304	#
2	8489	#
2	9173	#
2	8264	#
2	7913	#
2	9414	#
2	7376	#
2	9479	#
2	8404	#
2	9055	#
2	8575	#
2	8620	#
2	7421	#
2	8395	#
2	8698	#
2	9126	#
2	8542	#
2	6732	#
2	9123	#
2	6447	#
2	8814	#
2	9158	#
2	8633	#
2	8801	#
2	8925	#
2	7029	#
2	8217	#
2	8986	#
2	7139	#
2	8702	#
2	8792	#
2	7163	#
2	8618	#
2	9113	#
2	6811	#
2	8579	#
2	9078	#
2	9137	#
2	7407	#
2	8719	#
2	7867	#
2	7807	#
2	8427	#
2	7841	#
2	7161	#
2	8520	#
2	9172	#
2	8495	#
2	6532	#
2	8870	#
2	7822	#
2	7236	#
2	9067	#
2	8615	#
2	8485	#
2	8388	#
2	7296	#
2	8667	#
2	7750	#
2	9411	#
2	8797	#
2	6659	#
2	9184	#
2	8605	#
2	8454	#
2	9104	#
2	9034	#
2	8720	#
2	8841	#
2	7119	#
2	8522	#
2	9038	#
2	7856	#
2	6473	#
2	5748	#
2	8695	#
2	8967	#
2	7307	#
2	8903	#
2	7901	#
2	8763	#
2	8479	#
2	8999	#
2	8827	#
2	9081	#
2	8348	#
2	8019	#
2	7004	#
2	7927	#
2	7650	#
2	8877	#
2	7648	#
2	9008	#
2	8854	#
2	8661	#
2	7377	#
2	8834	#
2	8481	#
2	8916	#
2	8671	#
2	8818	#
2	8092	#
2	9071	#
2	9075	#
2	9051	#
2	8614	#
2	8042	#
2	6648	#
2	6946	#
2	8418	#
2	8541	#
2	8738	#
2	8986	#
2	9307	#
2	7005	#
2	8493	#
2	7002	#
2	7901	#
2	8733	#
2	7587	#
2	7329	#
2	7656	#
2	6441	#
2	8400	#
2	7149	#
2	8971	#
2	9014	#
2	8459	#
2	6442	#
2	8824	#
2	9251	#
2	7041	#
2	8688	#
2	7498	#
2	9083	#
2	7982	#
2	8843	#
2	7980	#
2	8735	#
2	8682	#
2	8447	#
2	6714	#
2	9200	#
2	7869	#
2	6904	#
2	7765	#
2	7532	#
2	8969	#
2	6249	#
2	8764	#
2	7660	#
2	9207	#
2	7726	#
2	8591	#
2	9288	#
2	6767	#
2	6523	#
2	8599	#
2	6421	#
2	9069	#
2	8188	#
2	7864	#
2	6648	#
2	8660	#
2	7623	#
2	8467	#
2	9316	#
2	9143	#
2	8714	#
2	8930	#
2	7581	#
2	8445	#
2	7037	#
2	7706	#
2	8417	#
2	7920	#
2	6449	#
2	8324	#
2	8803	#
2	7994	#
2	8984	#
2	8134	#
2	8546	#
2	9090	#
2	9180	#
2	7027	#
2	8774	#
2	8747	#
2	6090	#
2	7433	#
2	9126	#
2	6853	#
2	8563	#
2	8920	#
2	9309	#
2	8187	#
2	8887	#
2	7051	#
2	9043	#
2	8586	#
2	8462	#
2	8377	#
2	6904	#
2	7928	#
2	6809	#
2	9054	#
2	6362	#
2	7049	#
2	8773	#
2	8975	#
2	8773	#
2	7229	#
2	7520	#
2	7280	#
2	6637	#
2	9159	#
2	7752	#
2	7524	#
2	7042	#
2	8391	#
2	7518	#
2	8528	#
2	8484	#
2	8739	#
2	6405	#
2	7916	#
2	8786	#
2	8663	#
2	8586	#
2	8931	#
2	9052	#
2	6732	#
2	6757	#
2	9397	#
2	8525	#
2	8406	#
2	8746	#
2	9199	#
2	8552	#
2	7775	#
2	7431	#
2	8639	#
2	9202	#
2	9031	#
2	6870	#
2	8592	#
2	8643	#
2	8637	#
2	9276	#
2	8844	#
2	8875	#
2	7979	#
2	8948	#
2	6460	#
2	6716	#
2	7156	#
2	6767	#
2	9081	#
2	7447	#
2	8711	#
2	8873	#
2	9367	#
2	9353	#
2	8082	#
2	8587	#
2	9284	#
2	8622	#
2	8952	#
2	8564	#
2	7630	#
2	8431	#
2	7811	#
2	8266	#
2	7922	#
2	7253	#
2	8043	#
2	7707	#
2	7617	#
2	8741	#
2	8524	#
2	7673	#
2	8738	#
2	9128	#
2	8853	#
2	6539	#
2	8567	#
2	7855	#
2	8671	#
2	8518	#
2	8123	#
2	7828	#
2	8966	#
2	8751	#
2	8604	#
2	9252	#
2	7332	#
2	8869	#
2	9442	#
2	7880	#
2	9447	#
2	7294	#
2	8403	#
2	8509	#
2	7206	#
2	8860	#
2	7637	#
2	6524	#
2	7676	#
2	8947	#
2	7811	#
2	5521	#
2	8797	#
2	8396	#
2	7288	#
2	9213	#
2	7902	#
2	7040	#
2	7343	#
2	8564	#
2	8815	#
2	9392	#
2	7443	#
2	8871	#
2	8948	#
2	8794	#
2	9227	#
2	8216	#
2	8736	#
2	7803	#
2	8511	#
2	9273	#
2	7453	#
2	8396	#
2	9110	#
2	9037	#
2	7812	#
2	8084	#
2	8521	#
2	7755	#
2	9154	#
2	8992	#
2	9277	#
2	7573	#
2	8039	#
2	8905	#
2	6988	#
2	9307	#
2	8731	#
2	8678	#
2	7159	#
2	8389	#
2	7999	#
2	7995	#
2	8884	#
2	8316	#
2	8746	#
2	9014	#
2	9069	#
2	8096	#
2	9168	#
2	8605	#
2	8738	#
2	9265	#
2	6726	#
2	6816	#
2	8325	#
2	7740	#
2	8570	#
2	8983	#
2	8278	#
2	9141	#
2	7628	#
2	7860	#
2	9632	#
2	8435	#
2	7675	#
2	9167	#
2	8418	#
2	8549	#
2	8753	#
2	8621	#
2	8653	#
2	7476	#
2	8757	#
2	7425	#
2	9080	#
2	9280	#
2	9031	#
2	8746	#
2	8857	#
2	7814	#
2	8452	#
2	6878	#
2	8603	#
2	8498	#
2	7051	#
2	8535	#
2	8177	#
2	8925	#
2	8891	#
2	8565	#
2	8643	#
2	7035	#
2	9236	#
2	9390	#
2	8852	#
2	6933	#
2	8854	#
2	7928	#
2	8415	#
2	6658	#
2	9071	#
2	8959	#
2	9170	#
2	8248	#
2	8657	#
2	8468	#
2	6094	#
2	9013	#
2	8820	#
2	8792	#
2	9132	#
2	8550	#
2	5897	#
2	9106	#
2	8326	#
2	9140	#
2	8894	#
2	6491	#
2	8456	#
2	8719	#
2	6484	#
2	6900	#
2	9056	#
2	6733	#
2	7543	#
2	7416	#
2	7161	#
2	7666	#
2	8708	#
2	8488	#
2	7513	#
2	8438	#
2	7544	#
2	8265	#
2	7783	#
2	9116	#
2	9208	#
2	8727	#
2	6960	#
2	6356	#
2	8814	#
2	8762	#
2	8802	#
2	7817	#
2	8699	#
2	8673	#
2	6536	#
2	8289	#
2	8595	#
2	8935	#
2	6762	#
2	7956	#
2	9029	#
2	8847	#
2	9437	#
2	6480	#
2	7807	#
2	7772	#
2	7850	#
2	7349	#
2	9157	#
2	8708	#
2	8037	#
2	8509	#
2	8394	#
2	7437	#
2	6360	#
2	8048	#
2	7829	#
2	6694	#
2	8184	#
2	7770	#
2	8621	#
2	7290	#
2	9017	#
2	8898	#
2	8372	#
2	9113	#
2	7500	#
2	8511	#
2	8938	#
2	7368	#
2	6809	#
2	9435	#
2	8969	#
3	9697	#
3	9834	#
3	9804	#
3	11203	#
3	10527	#
3	10775	#
3	9771	#
3	10988	#
3	10004	#
3	9837	#
3	9801	#
3	7554	#
3	10417	#
3	10762	#
3	10493	#
3	10771	#
3	9531	#
3	10688	#
3	10395	#
3	10715	#
3	10010	#
3	10594	#
3	9721	#
3	10342	#
3	10913	#
3	10924	#
3	9463	#
3	9951	#
3	9826	#
3	10913	#
3	9768	#
3	9757	#
3	9687	#
3	10513	#
3	9519	#
3	10533	#
3	10736	#
3	9874	#
3	10920	#
3	10430	#
3	10233	#
3	7727	#
3	10211	#
3	10078	#
3	10603	#
3	10476	#
3	10213	#
3	9734	#
3	10179	#
3	7490	#
3	9790	#
3	11089	#
3	9641	#
3	10686	#
3	10475	#
3	10304	#
3	9688	#
3	9663	#
3	10538	#
3	10082	#
3	10035	#
3	10745	#
3	10350	#
3	9872	#
3	9968	#
3	9607	#
3	10464	#
3	11254	#
3	10935	#
3	9563	#
3	10015	#
3	11286	#
3	9697	#
3	10790	#
3	11134	#
3	10740	#
3	9605	#
3	9646	#
3	8278	#
3	9591	#
3	9893	#
3	10239	#
3	11107	#
3	9734	#
3	9669	#
3	10247	#
3	10005	#
3	8604	#
3	9929	#
3	10127	#
3	10474	#
3	10301	#
3	10873	#
3	9470	#
3	10138	#
3	10659	#
3	9620	#
3	9559	#
3	11184	#
3	10014	#
3	10107	#
3	9626	#
3	11102	#
3	10265	#
3	10589	#
3	10776	#
3	10447	#
3	10793	#
3	10013	#
3	10507	#
3	9851	#
3	9103	#
3	10612	#
3	10883	#
3	11396	#
3	10746	#
3	9852	#
3	9887	#
3	11201	#
3	10640	#
3	9710	#
3	9812	#
3	9621	#
3	9732	#
3	10491	#
3	10370	#
3	10938	#
3	11328	#
3	10911	#
3	9688	#
3	8704	#
3	7065	#
3	10826	#
3	10499	#
3	8645	#
3	10692	#
3	10798	#
3	9333	#
3	8176	#
3	10083	#
3	10797	#
3	10806	#
3	9349	#
3	8542	#
3	9731	#
3	10259	#
3	9466	#
3	9559	#
3	11002	#
3	9807	#
3	8711	#
3	10614	#
3	9958	#
3	9558	#
3	10167	#
3	11035	#
3	9722	#
3	10418	#
3	10909	#
3	9979	#
3	9716	#
3	9486	#
3	9620	#
3	10870	#
3	8575	#
3	9159	#
3	10352	#
3	8848	#
3	9675	#
3	10035	#
3	10692	#
3	9969	#
3	9936	#
3	9877	#
3	10358	#
3	7095	#
