Number of genomes	Core genome
1	1650	#
1	1663	#
1	1679	#
1	1735	#
1	1688	#
1	1601	#
1	1727	#
1	1659	#
1	1724	#
1	1670	#
1	1662	#
1	1608	#
1	1790	#
1	1740	#
1	1700	#
1	1693	#
1	1690	#
1	1721	#
1	1756	#
1	1689	#
1	1607	#
1	1654	#
1	1700	#
1	1686	#
1	1754	#
1	1695	#
1	1608	#
1	1770	#
1	1694	#
1	1718	#
1	1832	#
1	1770	#
1	1708	#
1	1877	#
1	1919	#
1	1846	#
1	1694	#
1	1691	#
1	1747	#
1	1700	#
1	1691	#
1	1850	#
1	1671	#
1	1668	#
1	1750	#
1	1685	#
1	1642	#
1	1606	#
1	1834	#
1	1692	#
1	1722	#
1	1705	#
1	1758	#
1	1741	#
1	1659	#
1	1614	#
1	1608	#
1	1804	#
1	1714	#
1	1623	#
1	1695	#
1	1669	#
1	1668	#
1	1622	#
1	1860	#
1	1690	#
1	1673	#
1	1746	#
1	1637	#
1	1625	#
1	1756	#
1	1623	#
1	1646	#
1	1784	#
1	1740	#
1	1608	#
1	1740	#
1	1823	#
1	1698	#
1	1678	#
1	1786	#
1	1692	#
1	1691	#
1	1726	#
1	1690	#
1	1696	#
1	1608	#
1	1696	#
1	1645	#
1	1604	#
1	1598	#
1	1884	#
1	1732	#
1	1692	#
1	1873	#
1	1678	#
1	1642	#
1	1712	#
1	1720	#
1	1691	#
1	1689	#
1	1598	#
1	1683	#
1	1868	#
1	1606	#
1	1728	#
1	1693	#
1	1610	#
1	1742	#
1	1695	#
1	1609	#
1	1645	#
1	1667	#
1	1774	#
1	1721	#
1	1642	#
1	1750	#
1	1638	#
1	1678	#
1	1662	#
1	1849	#
1	1732	#
1	1667	#
1	1607	#
1	1725	#
1	1696	#
1	1848	#
1	1643	#
1	1697	#
1	1878	#
1	1929	#
1	1735	#
1	1642	#
1	1666	#
1	1675	#
1	1745	#
1	1627	#
1	1713	#
1	1635	#
1	1666	#
1	1858	#
1	1725	#
1	1753	#
1	1691	#
1	1643	#
1	1784	#
1	1686	#
1	1684	#
1	1866	#
1	1697	#
1	1691	#
1	1855	#
1	1830	#
1	1650	#
1	1690	#
1	1600	#
1	1852	#
1	1696	#
1	1661	#
1	1726	#
1	1725	#
1	1677	#
1	1723	#
1	1695	#
1	1719	#
1	1741	#
1	1631	#
1	1696	#
1	1801	#
1	1685	#
1	1743	#
1	1609	#
1	1850	#
1	1671	#
1	1609	#
1	1643	#
1	1704	#
1	1751	#
1	1683	#
1	1699	#
1	1758	#
1	1714	#
1	1732	#
1	1665	#
1	1620	#
1	1694	#
1	1700	#
1	1607	#
1	1869	#
1	1692	#
1	1594	#
1	1660	#
1	1705	#
1	1609	#
1	1853	#
1	1696	#
1	1691	#
1	1604	#
1	1609	#
1	1663	#
1	1694	#
1	1825	#
1	1610	#
1	1691	#
1	1720	#
1	1851	#
1	1674	#
1	1634	#
1	1623	#
1	1650	#
1	1851	#
1	1619	#
1	1611	#
1	1695	#
1	1626	#
1	1595	#
1	1647	#
1	1600	#
1	1687	#
1	1627	#
1	1694	#
1	1946	#
1	1605	#
1	1668	#
1	1593	#
1	1661	#
1	1712	#
1	1825	#
1	1742	#
1	1684	#
1	1696	#
1	1629	#
1	1768	#
1	1647	#
2	1354	#
2	1376	#
2	1403	#
2	1365	#
2	1397	#
2	1579	#
2	1428	#
2	1356	#
2	1396	#
2	1375	#
2	1416	#
2	1402	#
2	1534	#
2	1298	#
2	1329	#
2	1396	#
2	1536	#
2	1414	#
2	1530	#
2	1437	#
2	1322	#
2	1430	#
2	1330	#
2	1438	#
2	1369	#
2	1352	#
2	1370	#
2	1368	#
2	1320	#
2	1360	#
2	1336	#
2	1405	#
2	1427	#
2	1483	#
2	1331	#
2	1443	#
2	1502	#
2	1321	#
2	1301	#
2	1404	#
2	1319	#
2	1328	#
2	1284	#
2	1401	#
2	1462	#
2	1403	#
2	1368	#
2	1327	#
2	1324	#
2	1382	#
2	1327	#
2	1385	#
2	1325	#
2	1341	#
2	1398	#
2	1402	#
2	1344	#
2	1456	#
2	1378	#
2	1395	#
2	1425	#
2	1337	#
2	1326	#
2	1343	#
2	1547	#
2	1397	#
2	1358	#
2	1413	#
2	1338	#
2	1377	#
2	1422	#
2	1409	#
2	1450	#
2	1395	#
2	1430	#
2	1338	#
2	1448	#
2	1365	#
2	1401	#
2	1435	#
2	1322	#
2	1391	#
2	1484	#
2	1379	#
2	1343	#
2	1507	#
2	1378	#
2	1383	#
2	1348	#
2	1477	#
2	1497	#
2	1328	#
2	1337	#
2	1324	#
2	1424	#
2	1403	#
2	1411	#
2	1342	#
2	1342	#
2	1375	#
2	1387	#
2	1325	#
2	1343	#
2	1374	#
2	1350	#
2	1515	#
2	1435	#
2	1475	#
2	1457	#
2	1434	#
2	1379	#
2	1344	#
2	1443	#
2	1298	#
2	1340	#
2	1386	#
2	1339	#
2	1401	#
2	1525	#
2	1325	#
2	1414	#
2	1488	#
2	1345	#
2	1402	#
2	1524	#
2	1375	#
2	1345	#
2	1348	#
2	1294	#
2	1414	#
2	1363	#
2	1345	#
2	1377	#
2	1380	#
2	1353	#
2	1400	#
2	1394	#
2	1580	#
2	1326	#
2	1367	#
2	1303	#
2	1368	#
2	1352	#
2	1405	#
2	1333	#
2	1325	#
2	1418	#
2	1404	#
2	1590	#
2	1405	#
2	1403	#
2	1419	#
2	1355	#
2	1504	#
2	1405	#
2	1444	#
2	1342	#
2	1403	#
2	1413	#
2	1323	#
2	1318	#
2	1299	#
2	1319	#
2	1356	#
2	1324	#
2	1369	#
2	1550	#
2	1332	#
2	1354	#
2	1413	#
2	1384	#
2	1343	#
2	1397	#
