Number of genomes	Pan genome
1	1954	#
1	1954	#
1	2029	#
1	1949	#
1	1938	#
1	1951	#
1	1928	#
1	1935	#
1	1961	#
1	1929	#
1	1919	#
1	1951	#
1	1924	#
2	2275	#
2	2189	#
2	2075	#
2	2188	#
2	2044	#
2	2282	#
2	2198	#
2	2079	#
2	2264	#
2	2006	#
2	2189	#
2	2078	#
2	1935	#
2	1957	#
2	2229	#
2	2209	#
2	2264	#
2	1953	#
2	2095	#
2	2097	#
2	2252	#
2	1975	#
2	2214	#
2	2208	#
2	2058	#
2	2225	#
2	1930	#
2	2184	#
2	2077	#
2	2256	#
2	2060	#
2	2231	#
2	2201	#
2	2210	#
2	2057	#
2	2191	#
2	2202	#
2	2199	#
2	2187	#
2	2079	#
2	2102	#
2	2216	#
2	2235	#
2	2058	#
2	2215	#
2	2077	#
2	1936	#
2	1956	#
2	1975	#
2	2190	#
2	2055	#
2	2076	#
2	2237	#
2	2189	#
2	2078	#
2	2231	#
2	2188	#
2	2190	#
2	1957	#
2	2223	#
2	2201	#
2	2187	#
2	2188	#
2	1953	#
2	2202	#
2	2079	#
2	2097	#
2	2053	#
2	2232	#
2	2080	#
2	1956	#
2	2077	#
2	2081	#
2	2203	#
2	2076	#
2	1955	#
2	2186	#
2	2215	#
3	2239	#
3	2284	#
3	2191	#
3	2211	#
3	2335	#
3	2231	#
3	2436	#
3	2303	#
3	2149	#
3	2309	#
3	2232	#
3	2316	#
3	2302	#
3	2080	#
3	2140	#
3	2129	#
3	2233	#
3	2291	#
3	2170	#
3	2398	#
3	2123	#
3	2372	#
3	2076	#
3	2308	#
3	2397	#
3	2303	#
3	2152	#
3	2309	#
3	2090	#
3	2300	#
3	2134	#
3	2148	#
3	2371	#
3	2081	#
3	2078	#
3	2290	#
3	2351	#
3	2331	#
3	1958	#
3	2088	#
3	2128	#
3	2099	#
3	2321	#
3	2283	#
3	2287	#
3	2201	#
3	2210	#
3	2270	#
3	2186	#
3	2363	#
3	2322	#
3	2103	#
3	2081	#
3	2079	#
3	2126	#
3	1936	#
3	2294	#
3	2273	#
3	2146	#
3	2344	#
3	2055	#
3	2336	#
3	2252	#
3	2189	#
3	2228	#
3	2344	#
3	2378	#
3	2188	#
3	2294	#
3	2191	#
3	2254	#
3	2297	#
3	2377	#
3	2125	#
3	2081	#
3	2211	#
3	2372	#
3	2330	#
3	2368	#
3	2151	#
3	2446	#
3	2350	#
3	2190	#
3	2274	#
3	2075	#
3	2103	#
3	2191	#
3	2418	#
3	2142	#
3	2290	#
3	2138	#
3	2099	#
3	2265	#
3	2306	#
3	2407	#
3	2395	#
3	2305	#
3	2077	#
3	2370	#
3	2304	#
3	2334	#
3	2058	#
3	2397	#
3	2337	#
3	2160	#
3	2413	#
3	2269	#
3	2293	#
3	2456	#
3	2313	#
3	2209	#
3	2342	#
3	2188	#
3	2415	#
3	2408	#
3	2133	#
3	2292	#
3	2283	#
3	2218	#
3	2301	#
3	2192	#
3	2058	#
3	2403	#
3	2320	#
3	2144	#
3	2285	#
3	2302	#
3	2363	#
3	2190	#
3	2211	#
3	2271	#
3	2098	#
3	2349	#
3	2080	#
3	2212	#
3	2302	#
3	2302	#
3	2057	#
3	2311	#
3	2301	#
3	2299	#
3	2409	#
3	2435	#
3	2232	#
3	2056	#
3	2097	#
3	2192	#
3	2377	#
3	2371	#
3	2208	#
3	2375	#
3	2314	#
3	2369	#
3	2098	#
3	2343	#
3	2317	#
3	2097	#
3	1955	#
3	2301	#
3	2237	#
3	2057	#
3	2188	#
3	2373	#
3	2392	#
3	1957	#
3	1957	#
3	2403	#
3	1956	#
3	2059	#
3	2191	#
3	2267	#
3	2139	#
3	2192	#
3	2089	#
3	2272	#
3	2269	#
3	2424	#
3	2210	#
3	2343	#
3	2300	#
3	2189	#
3	2078	#
3	2098	#
3	2292	#
3	2253	#
3	2126	#
3	2399	#
3	2082	#
3	2303	#
3	2430	#
3	2210	#
3	2227	#
3	2191	#
3	2344	#
3	2188	#
3	2080	#
3	2385	#
3	2395	#
3	1977	#
3	2289	#
3	2310	#
3	2415	#
3	2322	#
3	2205	#
3	2301	#
3	2139	#
3	2291	#
3	2127	#
3	2266	#
3	2308	#
3	2342	#
3	2140	#
3	2124	#
3	1957	#
3	1976	#
3	2343	#
3	2423	#
3	2281	#
3	2140	#
3	2301	#
3	2377	#
3	2232	#
3	2321	#
3	2193	#
3	2300	#
3	2191	#
3	2391	#
3	2300	#
3	2378	#
3	2137	#
3	2211	#
3	2084	#
3	2346	#
3	2104	#
3	2303	#
3	2081	#
3	2102	#
3	2091	#
3	2083	#
3	2291	#
3	2369	#
3	2375	#
3	2078	#
3	2471	#
3	2203	#
3	2078	#
3	2317	#
3	2310	#
3	2077	#
3	2290	#
3	2312	#
3	2192	#
3	2291	#
3	2190	#
3	2287	#
3	2273	#
3	2384	#
3	2210	#
3	2109	#
3	2158	#
3	2418	#
3	2253	#
3	2309	#
3	2209	#
3	2327	#
3	2269	#
3	2274	#
3	2070	#
3	2232	#
3	2098	#
3	2079	#
3	2321	#
3	2235	#
3	2416	#
3	2430	#
3	2409	#
3	2080	#
3	2190	#
3	2212	#
3	2377	#
3	2282	#
3	2080	#
3	2322	#
3	2372	#
3	2350	#
3	1977	#
4	2491	#
4	2344	#
4	2475	#
4	2392	#
4	2378	#
4	2321	#
4	2382	#
4	2411	#
4	2303	#
4	2316	#
4	2301	#
4	2493	#
4	2331	#
4	2303	#
4	2362	#
4	2353	#
4	2481	#
4	2210	#
4	2394	#
4	2359	#
4	2333	#
4	2360	#
4	2443	#
4	2149	#
4	2391	#
4	2317	#
4	2472	#
4	2358	#
4	2293	#
4	2410	#
4	2273	#
4	2397	#
4	2212	#
4	2416	#
4	2314	#
4	2351	#
4	2340	#
4	2324	#
4	2403	#
4	2352	#
4	2309	#
4	2490	#
4	2272	#
4	2378	#
4	2077	#
4	2364	#
4	2093	#
4	2374	#
4	2081	#
4	2081	#
4	2331	#
4	2302	#
4	2358	#
4	2458	#
4	2547	#
4	2274	#
4	2418	#
4	2398	#
4	2338	#
4	2330	#
4	2194	#
4	2417	#
4	2310	#
4	2323	#
4	2514	#
4	2393	#
4	2082	#
4	2292	#
4	2306	#
4	2460	#
4	2059	#
4	2302	#
4	2565	#
4	2293	#
4	2078	#
4	2184	#
4	2535	#
4	2100	#
4	2364	#
4	2310	#
4	2312	#
4	2471	#
4	2302	#
4	2529	#
4	2303	#
4	2211	#
4	2472	#
4	2351	#
4	2549	#
4	2479	#
4	2471	#
4	1957	#
4	2480	#
4	2438	#
4	2317	#
4	2529	#
4	2397	#
4	2126	#
4	2192	#
4	2212	#
4	2604	#
4	2408	#
4	2169	#
4	2212	#
4	2303	#
4	2311	#
4	2188	#
4	2331	#
4	2303	#
4	2270	#
4	2476	#
4	2379	#
4	2350	#
4	2306	#
4	2353	#
4	2493	#
4	2351	#
4	2273	#
4	2337	#
4	2402	#
4	2426	#
4	2379	#
4	2303	#
4	2312	#
4	2356	#
4	2356	#
4	2080	#
4	2352	#
4	2355	#
