Number of genomes	Core genome
1	1833	#
1	1821	#
1	1826	#
1	1849	#
1	1822	#
1	1756	#
1	1841	#
1	1843	#
1	1831	#
1	1848	#
1	1849	#
1	1878	#
1	1810	#
1	1821	#
1	1841	#
1	1775	#
1	1865	#
1	1815	#
1	1838	#
1	1821	#
1	1828	#
1	1862	#
1	1834	#
1	1815	#
1	1841	#
1	1854	#
1	1861	#
1	1844	#
1	1819	#
1	1755	#
1	1869	#
1	1820	#
1	1768	#
1	1843	#
1	1820	#
1	1820	#
1	1833	#
1	1855	#
1	1840	#
1	1842	#
1	1812	#
1	1820	#
1	1821	#
1	1823	#
1	1842	#
1	1823	#
1	1841	#
1	1781	#
1	1774	#
1	1842	#
1	1841	#
1	1879	#
1	1816	#
1	1791	#
1	1870	#
1	1818	#
1	1844	#
2	1434	#
2	1596	#
2	1449	#
2	1602	#
2	1603	#
2	1447	#
2	1804	#
2	1600	#
2	1581	#
2	1600	#
2	1604	#
2	1601	#
2	1406	#
2	1453	#
2	1453	#
2	1595	#
2	1600	#
2	1808	#
2	1702	#
2	1580	#
2	1615	#
2	1691	#
2	1596	#
2	1838	#
2	1606	#
2	1607	#
2	1837	#
2	1791	#
2	1789	#
2	1599	#
2	1613	#
2	1600	#
2	1689	#
2	1599	#
2	1828	#
2	1468	#
2	1464	#
2	1439	#
2	1590	#
2	1451	#
2	1627	#
2	1681	#
2	1588	#
2	1469	#
2	1816	#
2	1602	#
2	1452	#
2	1559	#
2	1453	#
2	1807	#
2	1753	#
2	1684	#
2	1625	#
2	1432	#
2	1602	#
2	1462	#
2	1570	#
2	1442	#
2	1606	#
2	1806	#
2	1415	#
2	1452	#
2	1438	#
2	1609	#
2	1812	#
2	1618	#
2	1534	#
2	1816	#
2	1557	#
2	1698	#
2	1685	#
2	1605	#
2	1449	#
2	1438	#
2	1603	#
2	1432	#
2	1416	#
2	1603	#
2	1480	#
2	1429	#
2	1601	#
2	1453	#
2	1814	#
2	1585	#
2	1433	#
2	1583	#
2	1470	#
2	1453	#
2	1455	#
2	1459	#
2	1444	#
2	1826	#
2	1590	#
2	1441	#
2	1478	#
2	1463	#
2	1832	#
2	1449	#
2	1441	#
2	1808	#
2	1814	#
2	1448	#
2	1453	#
2	1648	#
2	1602	#
2	1798	#
2	1814	#
2	1682	#
2	1831	#
2	1695	#
2	1616	#
2	1604	#
2	1778	#
2	1452	#
2	1597	#
2	1593	#
2	1586	#
2	1588	#
2	1606	#
2	1598	#
2	1560	#
2	1608	#
2	1608	#
2	1813	#
2	1599	#
2	1796	#
2	1485	#
2	1413	#
2	1796	#
2	1580	#
2	1479	#
2	1674	#
2	1804	#
2	1806	#
2	1437	#
2	1451	#
2	1449	#
2	1813	#
2	1838	#
2	1803	#
2	1448	#
2	1453	#
2	1700	#
2	1599	#
2	1796	#
2	1467	#
2	1802	#
2	1813	#
2	1804	#
2	1666	#
2	1798	#
2	1615	#
2	1531	#
2	1446	#
2	1701	#
2	1446	#
2	1422	#
2	1451	#
2	1417	#
2	1447	#
2	1692	#
2	1597	#
2	1697	#
2	1436	#
2	1584	#
2	1835	#
2	1611	#
2	1810	#
2	1418	#
2	1580	#
2	1605	#
2	1453	#
2	1483	#
2	1600	#
2	1581	#
2	1602	#
2	1607	#
2	1812	#
2	1700	#
2	1851	#
2	1813	#
2	1841	#
2	1690	#
2	1456	#
2	1618	#
2	1806	#
2	1601	#
2	1808	#
2	1793	#
2	1677	#
2	1828	#
2	1453	#
2	1658	#
2	1424	#
2	1580	#
2	1466	#
2	1815	#
2	1597	#
2	1607	#
2	1439	#
2	1613	#
2	1810	#
2	1558	#
2	1812	#
2	1594	#
2	1594	#
2	1816	#
2	1794	#
2	1581	#
2	1443	#
2	1458	#
2	1615	#
2	1804	#
2	1837	#
2	1748	#
2	1834	#
2	1814	#
2	1604	#
2	1602	#
2	1679	#
2	1446	#
2	1815	#
2	1678	#
2	1593	#
2	1419	#
2	1833	#
2	1806	#
2	1471	#
2	1453	#
2	1801	#
2	1462	#
2	1469	#
2	1832	#
