Number of genomes	Number of gene families
1	16048
2	4350
3	2683
4	1401
5	778
6	540
7	333
8	289
9	226
10	180
11	161
12	144
13	377
14	165
15	124
16	124
17	216
18	146
19	108
20	86
21	229
22	113
23	85
24	84
25	99
26	79
27	66
28	64
29	42
30	73
31	59
32	48
33	53
34	38
35	37
36	40
37	44
38	29
39	37
40	27
41	32
42	24
43	27
44	31
45	22
46	28
47	23
48	18
49	20
50	27
51	29
52	14
53	18
54	17
55	16
56	20
57	15
58	20
59	29
60	12
61	20
62	15
63	7
64	21
65	12
66	17
67	14
68	20
69	15
70	11
71	12
72	13
73	7
74	11
75	10
76	12
77	13
78	10
79	7
80	13
81	8
82	14
83	15
84	12
85	18
86	8
87	9
88	13
89	7
90	12
91	9
92	11
93	6
94	9
95	7
96	8
97	11
98	10
99	7
100	6
101	6
102	8
103	5
104	4
105	4
106	9
107	5
108	6
109	8
110	5
111	8
112	4
113	4
114	3
115	6
116	6
117	4
118	1
119	6
120	5
121	6
122	6
123	5
124	5
125	3
126	6
127	3
128	5
129	4
130	5
131	1
132	5
133	3
134	2
135	3
136	3
137	4
138	7
139	3
140	8
141	0
142	5
143	5
144	3
145	5
146	5
147	4
148	5
149	4
150	4
151	3
152	4
153	5
154	6
155	3
156	5
157	1
158	2
159	3
160	6
161	7
162	6
163	4
164	2
165	5
166	4
167	5
168	2
169	3
170	4
171	0
172	4
173	1
174	9
175	2
176	8
177	5
178	5
179	4
180	3
181	1
182	1
183	2
184	6
185	2
186	4
187	3
188	3
189	4
190	3
191	3
192	4
193	3
194	3
195	3
196	4
197	3
198	4
199	6
200	2
201	4
202	5
203	1
204	1
205	3
206	3
207	4
208	2
209	4
210	1
211	6
212	4
213	1
214	2
215	4
216	3
217	1
218	5
219	2
220	4
221	2
222	3
223	2
224	4
225	9
226	7
227	6
228	5
229	7
230	11
231	25
232	40
233	57
234	288
