Number of genomes	Core genome
1	1913	#
1	1888	#
1	1872	#
1	2082	#
1	2125	#
1	1978	#
1	1910	#
1	1901	#
1	1891	#
2	904	#
2	9	#
2	578	#
2	109	#
2	9	#
2	8	#
2	414	#
2	8	#
2	1690	#
2	115	#
2	8	#
2	8	#
2	8	#
2	13	#
2	102	#
2	13	#
2	258	#
2	11	#
2	10	#
2	614	#
2	9	#
2	10	#
2	106	#
2	495	#
2	7	#
2	100	#
2	8	#
2	122	#
2	9	#
2	113	#
2	8	#
2	9	#
2	10	#
2	486	#
2	108	#
2	9	#
3	9	#
3	8	#
3	101	#
3	9	#
3	369	#
3	107	#
3	8	#
3	9	#
3	9	#
3	9	#
3	8	#
3	9	#
3	8	#
3	6	#
3	374	#
3	8	#
3	8	#
3	8	#
3	8	#
3	93	#
3	8	#
3	5	#
3	8	#
3	102	#
3	7	#
3	7	#
3	7	#
3	8	#
3	91	#
3	10	#
3	8	#
3	5	#
3	9	#
3	8	#
3	12	#
3	111	#
3	8	#
3	8	#
3	8	#
3	9	#
3	9	#
3	6	#
3	446	#
3	8	#
3	7	#
3	8	#
3	7	#
3	7	#
3	6	#
3	97	#
3	7	#
3	9	#
3	8	#
3	88	#
3	99	#
3	91	#
3	5	#
3	529	#
3	6	#
3	7	#
3	7	#
3	9	#
3	104	#
3	9	#
3	10	#
3	10	#
3	8	#
3	6	#
3	5	#
3	89	#
3	97	#
3	9	#
3	9	#
3	6	#
3	9	#
3	104	#
3	9	#
3	8	#
3	9	#
3	8	#
3	8	#
3	95	#
3	7	#
3	93	#
4	7	#
4	6	#
4	5	#
4	9	#
4	8	#
4	8	#
4	96	#
4	9	#
4	8	#
4	7	#
4	8	#
4	5	#
4	5	#
4	5	#
4	8	#
4	9	#
4	86	#
4	9	#
4	8	#
4	8	#
4	8	#
4	8	#
4	5	#
4	9	#
4	97	#
4	7	#
4	9	#
4	8	#
4	97	#
4	5	#
4	93	#
4	6	#
4	7	#
4	7	#
4	8	#
4	9	#
4	7	#
4	7	#
4	8	#
4	7	#
4	6	#
4	8	#
4	8	#
4	8	#
4	6	#
4	8	#
4	5	#
4	8	#
4	9	#
4	5	#
4	5	#
4	7	#
4	8	#
4	92	#
4	7	#
4	8	#
4	8	#
4	6	#
4	7	#
4	6	#
4	8	#
4	7	#
4	6	#
4	5	#
4	9	#
4	8	#
4	87	#
4	9	#
4	6	#
4	8	#
4	6	#
4	6	#
4	9	#
4	5	#
4	102	#
4	354	#
4	8	#
4	5	#
4	8	#
4	6	#
4	9	#
4	5	#
4	7	#
4	83	#
4	5	#
4	9	#
4	8	#
4	5	#
4	9	#
4	6	#
4	8	#
4	6	#
4	8	#
4	7	#
4	9	#
4	85	#
4	7	#
4	9	#
4	90	#
4	9	#
4	9	#
4	5	#
4	8	#
4	8	#
4	9	#
4	8	#
4	8	#
4	5	#
4	8	#
4	8	#
4	9	#
4	8	#
4	9	#
4	8	#
4	7	#
4	103	#
4	6	#
4	9	#
4	5	#
4	6	#
4	7	#
4	88	#
4	8	#
4	6	#
4	85	#
4	6	#
5	7	#
5	5	#
5	8	#
5	5	#
5	5	#
5	5	#
5	8	#
5	5	#
5	8	#
5	8	#
5	8	#
5	5	#
5	82	#
5	7	#
5	8	#
5	9	#
5	8	#
5	7	#
5	9	#
5	5	#
5	8	#
5	8	#
5	7	#
5	8	#
5	8	#
5	9	#
5	9	#
5	6	#
5	5	#
5	9	#
5	8	#
5	5	#
5	7	#
5	9	#
5	6	#
5	7	#
5	6	#
5	84	#
5	5	#
5	7	#
5	8	#
5	8	#
5	5	#
5	8	#
5	8	#
5	8	#
5	5	#
5	5	#
5	8	#
5	8	#
5	83	#
5	5	#
5	9	#
5	5	#
5	8	#
5	8	#
5	6	#
5	8	#
5	5	#
5	9	#
5	6	#
5	5	#
5	8	#
5	9	#
5	6	#
5	9	#
5	7	#
5	8	#
5	6	#
5	6	#
5	7	#
5	5	#
5	5	#
5	8	#
5	6	#
5	9	#
5	8	#
5	7	#
5	6	#
5	8	#
5	96	#
5	9	#
5	6	#
5	5	#
5	8	#
5	5	#
5	6	#
5	5	#
5	5	#
5	8	#
5	7	#
5	6	#
5	8	#
5	86	#
5	5	#
5	8	#
5	6	#
5	5	#
5	6	#
5	5	#
5	6	#
5	6	#
5	6	#
5	6	#
5	9	#
5	90	#
5	8	#
5	5	#
5	6	#
5	8	#
5	5	#
5	7	#
5	9	#
5	7	#
5	8	#
5	5	#
5	5	#
5	5	#
5	5	#
5	9	#
5	8	#
5	5	#
5	7	#
5	8	#
5	5	#
5	6	#
6	5	#
6	5	#
6	8	#
6	5	#
6	6	#
6	5	#
6	8	#
6	6	#
6	7	#
6	9	#
6	8	#
6	5	#
6	9	#
6	5	#
6	5	#
6	5	#
6	5	#
6	5	#
6	8	#
6	8	#
6	5	#
6	8	#
6	6	#
6	5	#
6	8	#
6	5	#
6	5	#
6	8	#
6	8	#
6	5	#
6	5	#
6	9	#
6	5	#
6	6	#
6	8	#
6	5	#
6	5	#
6	6	#
6	5	#
6	7	#
6	82	#
6	5	#
6	7	#
6	8	#
6	8	#
6	6	#
6	5	#
6	6	#
6	6	#
6	6	#
6	6	#
6	5	#
6	6	#
6	5	#
6	5	#
6	7	#
6	6	#
6	6	#
6	9	#
6	9	#
6	8	#
6	5	#
6	5	#
6	5	#
6	8	#
6	8	#
6	5	#
6	6	#
6	8	#
6	5	#
6	7	#
6	7	#
6	5	#
6	5	#
6	8	#
6	8	#
6	8	#
6	5	#
6	9	#
6	8	#
6	6	#
6	8	#
6	5	#
6	5	#
7	5	#
7	8	#
7	6	#
7	5	#
7	9	#
7	5	#
7	5	#
7	5	#
7	5	#
7	5	#
7	8	#
7	5	#
7	5	#
7	5	#
7	5	#
7	6	#
7	5	#
7	5	#
7	5	#
7	6	#
7	5	#
7	8	#
7	8	#
7	6	#
7	8	#
7	7	#
7	5	#
7	5	#
7	8	#
7	5	#
7	5	#
7	6	#
7	5	#
7	6	#
7	8	#
7	5	#
8	5	#
8	8	#
8	5	#
8	5	#
8	5	#
8	6	#
8	5	#
8	5	#
8	5	#
9	5	#
	#
