Number of genomes	Pan genome
1	4784	#
1	5280	#
1	4727	#
1	4937	#
1	4927	#
1	4850	#
1	4561	#
1	4798	#
2	4961	#
2	7655	#
2	7012	#
2	6485	#
2	8191	#
2	5540	#
2	6726	#
2	7846	#
2	9460	#
2	5922	#
2	9329	#
2	9319	#
2	5550	#
2	6664	#
2	9384	#
2	6558	#
2	7708	#
2	6720	#
2	7075	#
2	7844	#
2	9470	#
2	5693	#
2	5910	#
2	7711	#
2	9081	#
2	5842	#
2	6659	#
2	9809	#
3	11250	#
3	11194	#
3	9443	#
3	7421	#
3	8493	#
3	9788	#
3	11602	#
3	9325	#
3	8717	#
3	10224	#
3	8416	#
3	5559	#
3	12701	#
3	9485	#
3	7502	#
3	9269	#
3	10449	#
3	11189	#
3	8797	#
3	7426	#
3	10437	#
3	7865	#
3	7776	#
3	11014	#
3	12222	#
3	9833	#
3	7148	#
3	7618	#
3	12168	#
3	11538	#
3	11256	#
3	5930	#
3	7197	#
3	7150	#
3	12358	#
3	10069	#
3	12222	#
3	10367	#
3	6349	#
3	8421	#
3	6738	#
3	9439	#
3	6361	#
3	9480	#
3	7562	#
3	6676	#
3	12356	#
3	7615	#
3	7257	#
3	7459	#
3	10079	#
3	11085	#
3	9494	#
3	7195	#
3	8788	#
3	7565	#
4	9451	#
4	7437	#
4	8301	#
4	11783	#
4	7957	#
4	10320	#
4	11721	#
4	9493	#
4	10884	#
4	7963	#
4	6366	#
4	11954	#
4	11675	#
4	7878	#
4	7571	#
4	11206	#
4	9214	#
4	8428	#
4	14342	#
4	9910	#
4	13305	#
4	12144	#
4	12141	#
4	7624	#
4	7928	#
4	12930	#
4	10152	#
4	10322	#
4	10156	#
4	12301	#
4	11268	#
4	13834	#
4	13004	#
4	8299	#
4	10355	#
4	11723	#
4	9206	#
4	13991	#
4	10457	#
4	13224	#
4	7922	#
4	8802	#
4	14296	#
4	9937	#
4	10357	#
4	11949	#
4	10872	#
4	10504	#
4	11677	#
4	12925	#
4	9937	#
4	12377	#
4	13296	#
4	13953	#
4	12025	#
4	10244	#
4	13779	#
4	7877	#
4	9910	#
4	12089	#
4	7157	#
4	9993	#
4	13949	#
4	13996	#
4	10216	#
4	8185	#
4	12086	#
4	7204	#
4	11982	#
4	10088	#
5	13961	#
5	14750	#
5	7931	#
5	10669	#
5	9915	#
5	12403	#
5	14445	#
5	12443	#
5	14863	#
5	12707	#
5	10325	#
5	13719	#
5	10593	#
5	9217	#
5	8633	#
5	14418	#
5	10889	#
5	14445	#
5	10899	#
5	15011	#
5	8628	#
5	8307	#
5	9942	#
5	14722	#
5	10673	#
5	11730	#
5	11012	#
5	7885	#
5	12150	#
5	12823	#
5	12095	#
5	12825	#
5	14501	#
5	10592	#
5	10687	#
5	14828	#
5	10360	#
5	14865	#
5	12485	#
5	12479	#
5	14665	#
5	11965	#
5	7966	#
5	12449	#
5	13310	#
5	14826	#
5	11684	#
5	11013	#
5	14418	#
5	10691	#
5	14661	#
5	12402	#
5	14004	#
5	13711	#
5	12937	#
5	10163	#
6	12488	#
6	12452	#
6	10692	#
6	14672	#
6	11016	#
6	13722	#
6	11336	#
6	14450	#
6	15196	#
6	12410	#
6	11333	#
6	15177	#
6	13149	#
6	15099	#
6	15518	#
6	14868	#
6	13154	#
6	15519	#
6	12831	#
6	14423	#
6	10597	#
6	15192	#
6	8636	#
6	10674	#
6	15100	#
6	15173	#
6	14831	#
6	15404	#
7	15837	#
7	15840	#
7	15104	#
7	15522	#
7	15197	#
7	11337	#
7	13157	#
7	15178	#
8	15841	#
	#
