Genome Number	Number of new gene families
2	267
3	10
4	342
5	230
6	231
7	223
8	263
9	121
10	135
11	95
12	123
13	167
14	248
15	14
16	42
17	76
18	96
19	29
20	8
21	3
22	2
23	18
24	19
25	23
26	381
27	61
28	47
29	89
30	2
31	3
32	14
33	52
34	61
35	105
36	4
37	0
38	2
39	3
40	69
41	87
42	38
43	43
44	43
45	0
46	12
47	25
48	76
49	72
50	32
51	0
52	27
53	6
54	85
55	49
56	18
57	2
58	4
59	1
60	5
61	1
62	5
63	22
64	0
65	0
66	6
67	70
68	70
69	35
70	0
71	1
72	35
73	37
74	36
75	52
76	17
77	94
78	16
79	6
80	1
81	1
82	12
83	5
84	13
85	58
86	54
87	35
88	37
