Number of genomes	Pan genome
1	1601	#
1	1657	#
1	1724	#
1	1744	#
1	1711	#
1	1831	#
1	1846	#
1	1621	#
1	1789	#
1	1627	#
1	1752	#
1	1570	#
1	1814	#
1	1706	#
1	1736	#
1	1726	#
1	1624	#
1	1655	#
1	1666	#
1	1687	#
1	1785	#
1	1597	#
1	1654	#
1	1625	#
1	1858	#
1	1753	#
1	1808	#
1	1609	#
1	1802	#
1	1855	#
1	1667	#
1	1773	#
1	1728	#
1	1853	#
1	1859	#
1	1813	#
1	1770	#
1	1769	#
1	1807	#
1	1819	#
1	1740	#
1	1785	#
1	1798	#
1	1726	#
1	1856	#
1	1708	#
1	1849	#
1	1654	#
1	1818	#
1	1787	#
1	1737	#
1	1651	#
1	1732	#
1	1740	#
1	1672	#
1	1844	#
1	1843	#
1	1633	#
1	1790	#
1	1845	#
1	1648	#
1	1760	#
1	1623	#
1	1747	#
1	1606	#
1	1850	#
1	1816	#
1	1633	#
1	1741	#
1	1813	#
1	1771	#
1	1764	#
1	1767	#
1	1652	#
1	1656	#
1	1711	#
1	1800	#
1	1817	#
1	1659	#
1	1718	#
1	1691	#
1	1745	#
1	1715	#
1	1783	#
1	1785	#
1	1650	#
1	1731	#
1	1739	#
1	1856	#
1	1813	#
1	1678	#
1	1790	#
1	1606	#
1	1855	#
1	1545	#
1	1697	#
1	1741	#
1	1736	#
1	1828	#
1	1824	#
1	1738	#
1	1845	#
1	1686	#
1	1806	#
1	1797	#
1	1788	#
1	1604	#
1	1653	#
1	1722	#
1	1687	#
1	1740	#
1	1747	#
1	1713	#
1	1797	#
1	1801	#
1	1558	#
1	1615	#
1	1692	#
1	1740	#
1	1792	#
1	1673	#
1	1774	#
1	1807	#
1	1766	#
1	1606	#
1	1689	#
1	1817	#
1	1735	#
1	1820	#
1	1741	#
1	1809	#
1	1679	#
1	1757	#
1	1711	#
1	1603	#
1	1724	#
1	1716	#
1	1799	#
1	1912	#
1	1687	#
1	1712	#
1	1710	#
1	1845	#
1	1776	#
1	1681	#
1	1763	#
1	1671	#
1	1602	#
1	1807	#
1	1655	#
1	1635	#
1	1782	#
1	1711	#
1	1685	#
1	1863	#
1	1604	#
1	1606	#
1	1756	#
1	1860	#
1	1740	#
1	1716	#
1	1663	#
1	1780	#
1	1742	#
1	1806	#
1	1804	#
1	1693	#
1	1629	#
1	1837	#
1	1802	#
1	1684	#
1	1605	#
1	1660	#
1	1687	#
1	1613	#
1	1691	#
1	1845	#
1	1856	#
1	1857	#
1	1614	#
1	1656	#
1	1850	#
1	1694	#
1	1842	#
1	1796	#
1	1748	#
1	1722	#
1	1845	#
1	1743	#
1	1727	#
1	1847	#
1	1705	#
1	1571	#
1	1807	#
1	1737	#
1	1716	#
1	1804	#
1	1735	#
1	1737	#
1	1704	#
1	1805	#
1	1739	#
1	1713	#
1	1740	#
1	1775	#
1	1721	#
1	1741	#
1	1624	#
1	1790	#
1	1767	#
1	1746	#
1	1834	#
1	1760	#
1	1796	#
1	1714	#
1	1791	#
1	1711	#
1	1850	#
1	1740	#
1	1870	#
1	1716	#
1	1682	#
1	1671	#
1	1721	#
1	1661	#
1	1805	#
1	1655	#
1	1621	#
1	1803	#
1	1767	#
1	1799	#
1	1760	#
1	1740	#
1	1573	#
1	1633	#
1	1631	#
1	1746	#
1	1848	#
1	1800	#
1	1587	#
1	1745	#
1	1646	#
1	1760	#
1	1827	#
1	1679	#
1	1745	#
1	1745	#
2	2168	#
2	1997	#
2	2174	#
2	2057	#
2	2132	#
2	2179	#
2	2199	#
2	2110	#
2	2188	#
2	1999	#
2	2026	#
2	2254	#
2	2185	#
2	2150	#
2	2123	#
2	2054	#
2	2074	#
2	2120	#
2	2010	#
2	2113	#
2	2187	#
2	2230	#
2	2105	#
2	2107	#
2	1985	#
2	2089	#
2	2157	#
2	2142	#
2	2008	#
2	2073	#
2	2139	#
2	2127	#
2	2143	#
2	2031	#
2	1935	#
2	2036	#
2	2151	#
2	2156	#
2	2183	#
2	1941	#
2	1946	#
2	2137	#
2	2002	#
2	1996	#
2	1887	#
2	2093	#
2	2198	#
2	2200	#
2	2168	#
2	2143	#
2	2148	#
2	2118	#
2	2065	#
2	2149	#
2	2211	#
2	2049	#
2	2190	#
2	2134	#
2	2100	#
2	2175	#
2	2054	#
