Number of genomes	Core genome
1	4086	#
1	3879	#
1	4045	#
1	3830	#
1	3795	#
1	4064	#
1	3841	#
1	3931	#
1	4059	#
1	4065	#
1	3879	#
1	3798	#
1	4014	#
1	4056	#
1	4066	#
1	3764	#
1	3972	#
1	4050	#
1	4116	#
1	4024	#
1	3735	#
1	4013	#
1	3996	#
1	3842	#
1	4060	#
1	4053	#
1	4002	#
1	3907	#
1	3941	#
1	4121	#
1	3836	#
1	3850	#
1	4000	#
1	4062	#
1	4101	#
1	4102	#
1	4027	#
1	4030	#
1	4049	#
1	4013	#
1	4079	#
1	4010	#
1	4017	#
1	3870	#
1	3842	#
1	3853	#
1	4062	#
1	4054	#
1	4066	#
1	3906	#
1	4107	#
1	4078	#
1	4031	#
1	4056	#
1	4062	#
1	3790	#
2	3953	#
2	3962	#
2	3872	#
2	4009	#
2	3695	#
2	3851	#
2	3724	#
2	3747	#
2	3744	#
2	3870	#
2	3732	#
2	3856	#
2	4035	#
2	3699	#
2	3732	#
2	3907	#
2	3946	#
2	3838	#
2	3995	#
2	3883	#
2	3917	#
2	3777	#
2	3823	#
2	3688	#
2	3653	#
2	3886	#
2	3938	#
2	3812	#
2	3790	#
2	3778	#
2	3893	#
2	3839	#
2	3754	#
2	3872	#
2	3742	#
2	3720	#
2	3760	#
2	3896	#
2	3940	#
2	3868	#
2	3668	#
2	3961	#
2	3722	#
2	3652	#
2	3917	#
2	3869	#
2	3909	#
2	3773	#
2	3912	#
2	3982	#
2	3737	#
2	3767	#
2	4038	#
2	3788	#
2	3800	#
2	3750	#
2	3722	#
2	3855	#
2	3720	#
2	3864	#
2	3867	#
2	3822	#
2	3836	#
2	3802	#
2	3910	#
2	3810	#
2	3855	#
2	3994	#
2	3966	#
2	3881	#
2	3743	#
2	3819	#
2	3710	#
2	3791	#
2	3718	#
2	3938	#
2	3756	#
2	3667	#
2	3964	#
2	3723	#
2	3930	#
2	3598	#
2	3789	#
2	4020	#
2	3617	#
2	4037	#
2	3761	#
2	3618	#
2	3745	#
2	3711	#
2	3907	#
2	3911	#
2	3755	#
2	4043	#
2	3812	#
2	3810	#
2	3984	#
2	3850	#
2	3769	#
2	3792	#
2	3773	#
2	3906	#
2	3993	#
2	3723	#
2	3732	#
2	4014	#
2	3858	#
2	3959	#
2	3956	#
2	3770	#
2	4021	#
2	3651	#
2	3726	#
2	3983	#
2	3765	#
2	3732	#
2	3833	#
2	3557	#
2	4000	#
2	3893	#
2	3839	#
2	3875	#
2	3761	#
2	3824	#
2	3884	#
2	3662	#
2	3935	#
2	3677	#
2	3821	#
2	3855	#
2	3721	#
2	3896	#
2	3918	#
2	3879	#
2	3931	#
2	3944	#
2	3772	#
2	3883	#
2	3759	#
2	3787	#
2	3724	#
2	3854	#
2	3836	#
2	3786	#
2	3771	#
2	3736	#
2	3723	#
2	3760	#
2	4040	#
2	3816	#
2	3846	#
2	3610	#
2	3784	#
2	3733	#
2	3792	#
2	3777	#
2	3847	#
2	3720	#
2	3922	#
2	3763	#
2	3742	#
2	3733	#
2	3789	#
2	3919	#
2	3924	#
2	3871	#
2	3853	#
2	3825	#
2	3982	#
2	3833	#
2	3906	#
2	3871	#
2	3979	#
2	3762	#
2	3893	#
2	3716	#
2	3754	#
2	3611	#
2	4037	#
2	3858	#
2	3966	#
2	3759	#
2	4028	#
2	3657	#
2	3793	#
2	3776	#
2	3859	#
2	3874	#
2	3874	#
2	3687	#
2	3767	#
2	3770	#
2	3899	#
2	3733	#
2	3792	#
2	3881	#
2	3888	#
2	3823	#
2	3766	#
2	3720	#
2	3752	#
2	3998	#
2	3746	#
2	3887	#
2	3903	#
2	3653	#
2	3762	#
2	3692	#
2	3756	#
2	3944	#
2	3840	#
2	3808	#
2	3933	#
2	3905	#
2	3730	#
2	3827	#
2	3880	#
2	3693	#
2	3746	#
2	3773	#
2	3779	#
2	3721	#
2	3662	#
2	3855	#
2	3736	#
2	3674	#
2	3734	#
2	3821	#
2	3882	#
2	3933	#
2	3678	#
2	3725	#
2	3807	#
2	3912	#
2	3931	#
2	3809	#
2	3838	#
2	3966	#
2	3837	#
2	3619	#
2	3905	#
2	3726	#
2	3887	#
2	3727	#
2	3764	#
2	3871	#
2	3670	#
2	3762	#
2	3606	#
2	3817	#
2	3792	#
2	3859	#
2	3943	#
2	3820	#
2	3922	#
2	3681	#
2	3929	#
2	3846	#
2	3916	#
2	3720	#
2	3722	#
2	3723	#
2	3996	#
2	3816	#
2	3975	#
2	3964	#
2	3801	#
2	3803	#
2	3870	#
2	3892	#
2	3968	#
2	3619	#
2	3882	#
2	3757	#
2	3722	#
2	3733	#
2	3931	#
2	3668	#
2	3917	#
2	3921	#
2	3610	#
2	3940	#
2	3696	#
2	3960	#
2	3763	#
2	3784	#
2	3951	#
2	3895	#
2	3727	#
2	3911	#
2	3778	#
2	3749	#
2	3836	#
2	3744	#
2	3962	#
2	3930	#
2	3970	#
2	3720	#
2	3860	#
2	3902	#
2	3708	#
2	3837	#
2	3910	#
2	3881	#
2	3913	#
2	3769	#
2	3851	#
2	3964	#
2	3679	#
2	3885	#
2	3920	#
2	3677	#
2	3944	#
2	3732	#
2	3806	#
2	3757	#
2	3724	#
2	3820	#
2	3853	#
2	3759	#
2	3793	#
2	3914	#
2	3946	#
2	3722	#
2	3738	#
2	3727	#
2	3677	#
2	3880	#
2	3730	#
2	3766	#
2	3791	#
2	3921	#
2	3711	#
2	3757	#
2	3904	#
2	3832	#
2	3723	#
2	3919	#
2	3749	#
2	3916	#
2	3936	#
2	3759	#
2	3829	#
2	3718	#
2	3895	#
2	3828	#
2	3612	#
2	3989	#
2	3852	#
2	3735	#
2	3912	#
2	3781	#
2	3802	#
2	3664	#
2	3798	#
2	3711	#
2	3814	#
2	4037	#
2	3824	#
2	4041	#
2	3895	#
2	3916	#
2	3765	#
2	3817	#
2	3674	#
2	3876	#
2	3721	#
2	3658	#
2	3722	#
2	3706	#
2	3871	#
2	3775	#
2	3948	#
2	3887	#
2	3702	#
2	3773	#
2	3791	#
2	3978	#
2	3721	#
2	3796	#
2	3723	#
2	3714	#
2	3723	#
2	3713	#
2	3732	#
2	3900	#
2	3777	#
2	3906	#
2	3656	#
2	3725	#
2	3717	#
2	3550	#
2	3667	#
2	3712	#
2	3721	#
2	3722	#
2	3727	#
2	3988	#
2	3758	#
2	3667	#
2	3818	#
2	3899	#
2	4004	#
2	3692	#
2	3794	#
2	3723	#
2	3876	#
2	3796	#
2	3941	#
2	3691	#
2	3855	#
2	4000	#
2	3862	#
2	3719	#
2	3755	#
2	3932	#
2	3932	#
2	4015	#
2	3720	#
2	3759	#
2	3856	#
2	3716	#
2	3724	#
2	3847	#
2	3898	#
2	3794	#
2	3892	#
2	3734	#
2	3920	#
2	3679	#
2	3891	#
2	3726	#
2	3793	#
2	3926	#
2	3860	#
2	3760	#
2	3770	#
2	3909	#
2	3762	#
2	3722	#
2	3757	#
2	3726	#
2	3676	#
2	3909	#
2	3827	#
2	3795	#
2	3999	#
2	3744	#
2	3988	#
2	3772	#
2	3722	#
2	3737	#
2	3843	#
2	3840	#
2	3760	#
2	3868	#
2	3744	#
2	3831	#
2	3891	#
2	3773	#
2	3988	#
2	3847	#
2	3793	#
2	3807	#
2	3816	#
2	3791	#
2	3872	#
2	3752	#
2	3766	#
2	3913	#
2	3833	#
2	3657	#
2	3896	#
2	3923	#
2	4046	#
2	3916	#
2	3827	#
2	3879	#
2	3924	#
2	3683	#
2	3741	#
2	3837	#
2	3713	#
2	3718	#
2	3740	#
2	4012	#
2	3852	#
2	3904	#
2	3909	#
2	3718	#
2	3788	#
2	3887	#
2	3748	#
2	3665	#
2	3913	#
2	3822	#
2	3812	#
2	3718	#
2	3668	#
2	3907	#
2	3661	#
3	3624	#
3	3757	#
3	3765	#
3	3775	#
3	3736	#
3	3694	#
3	3834	#
3	3649	#
3	3597	#
3	3760	#
3	3758	#
3	3804	#
3	3604	#
3	3670	#
3	3675	#
3	3826	#
3	3767	#
3	3863	#
