Genome Number	Number of new gene families
2	3942
3	3322
4	2041
5	1323
6	928
7	2413
8	1547
9	1357
10	1012
11	540
12	101
13	1003
14	1504
15	2066
16	719
17	9
18	600
19	638
20	26
21	984
22	894
23	25
24	9
25	566
26	1169
27	761
28	1286
29	22
30	1360
31	323
32	885
33	474
34	18
35	21
36	369
37	246
38	806
39	228
40	581
41	400
42	826
43	828
44	782
45	992
46	438
47	322
48	584
49	530
50	55
51	497
52	29
53	11
54	863
55	403
56	537
57	327
58	721
59	189
60	44
61	304
62	125
63	589
64	4
65	743
66	1
67	2
68	1
69	22
70	307
71	7
72	270
73	1
74	120
75	3
76	1435
77	86
78	500
79	449
80	813
81	346
82	661
83	51
