Number of genomes	Pan genome
1	390	#
1	600	#
1	385	#
1	588	#
1	584	#
1	547	#
1	580	#
1	579	#
1	600	#
1	593	#
1	590	#
1	590	#
1	384	#
1	580	#
1	455	#
1	591	#
1	374	#
1	590	#
1	608	#
1	590	#
1	575	#
1	382	#
1	524	#
1	588	#
1	586	#
1	539	#
1	579	#
1	602	#
1	552	#
1	577	#
1	388	#
1	586	#
1	592	#
1	592	#
1	592	#
2	939	#
2	1146	#
2	1113	#
2	964	#
2	1183	#
2	1134	#
2	592	#
2	1146	#
2	977	#
2	1162	#
2	1170	#
2	1121	#
2	974	#
2	985	#
2	1121	#
2	769	#
2	1075	#
2	1125	#
2	975	#
2	962	#
2	1164	#
2	1157	#
2	975	#
2	1098	#
2	1178	#
2	1168	#
2	1170	#
2	1184	#
2	920	#
2	963	#
2	975	#
2	1085	#
2	1103	#
2	1110	#
2	969	#
2	969	#
2	1143	#
2	1173	#
2	1162	#
2	1162	#
2	921	#
2	1186	#
2	966	#
2	1159	#
2	1005	#
2	1174	#
2	1138	#
2	1160	#
2	1123	#
2	924	#
2	989	#
3	1757	#
3	1648	#
3	1693	#
3	1695	#
3	1718	#
3	1758	#
3	1483	#
3	1751	#
3	1501	#
3	1566	#
3	1529	#
3	1116	#
3	1730	#
3	1764	#
3	1113	#
3	1694	#
3	1649	#
3	1694	#
3	1675	#
3	1676	#
3	1709	#
3	1705	#
3	1559	#
3	1708	#
3	1699	#
3	1694	#
3	1746	#
3	1694	#
3	1567	#
3	1363	#
3	1719	#
3	1647	#
3	1754	#
3	1567	#
3	1512	#
3	1709	#
3	1754	#
3	1364	#
3	1715	#
3	1777	#
3	1498	#
3	1498	#
3	1750	#
3	1558	#
3	1695	#
3	1683	#
3	1749	#
3	1696	#
3	1703	#
3	1777	#
3	1679	#
4	2148	#
4	2279	#
4	2292	#
4	2095	#
4	2339	#
4	2278	#
4	2281	#
4	2089	#
4	2334	#
4	2279	#
4	2317	#
4	1720	#
4	1775	#
4	2281	#
4	2318	#
4	2346	#
4	1739	#
4	1759	#
4	2306	#
4	2291	#
4	2278	#
4	2144	#
4	2325	#
4	2155	#
4	2285	#
4	1714	#
4	2104	#
4	2347	#
4	2284	#
4	2340	#
4	2242	#
4	2086	#
4	2280	#
4	1709	#
4	2292	#
