Genome Number	Number of new gene families
2	578
3	388
4	224
5	92
6	102
7	167
8	107
9	48
10	1
11	158
12	38
13	17
14	2
15	127
16	0
17	96
18	217
19	28
20	42
21	131
22	4
23	1
24	0
25	1
26	0
27	140
28	43
29	59
30	9
31	132
32	128
33	1
34	11
35	1
36	267
37	237
38	53
39	26
40	16
41	45
42	27
43	49
44	11
45	45
46	15
47	7
48	7
49	11
50	5
51	9
52	2
53	28
54	6
55	8
56	18
57	8
58	4
59	4
60	10
61	19
62	70
63	3
64	6
65	6
66	4
67	6
68	1
69	5
70	17
71	1
72	9
73	18
74	20
75	7
76	4
77	8
78	7
79	4
80	4
81	1
82	9
83	5
84	5
85	3
86	6
87	2
88	4
89	3
90	8
91	97
92	61
93	33
94	64
95	196
96	7
97	42
98	97
99	20
100	50
101	119
102	62
103	38
104	83
105	38
106	31
107	40
108	2
109	17
110	2
111	1
112	4
113	3
114	132
115	2
116	33
117	7
118	57
119	12
120	22
121	27
122	57
123	23
124	3
125	76
126	21
127	10
128	2
129	10
130	92
131	18
132	31
133	354
134	11
135	26
136	85
137	73
138	106
139	133
140	111
141	8
142	45
143	46
144	95
145	134
146	39
147	26
148	81
149	73
150	16
151	63
152	33
153	1
154	141
155	114
156	76
157	65
158	12
159	0
160	81
161	1
162	1
163	12
164	15
165	14
166	22
167	15
168	6
169	0
170	0
171	1
172	77
173	101
174	49
175	42
176	80
177	42
178	40
179	64
180	42
181	40
182	12
183	7
184	8
185	12
186	4
187	5
188	1
189	17
190	6
191	1
192	9
193	10
194	3
195	4
196	10
197	4
198	1
199	14
200	2
201	2
202	0
203	33
204	93
205	14
206	22
207	10
208	10
209	33
210	9
211	7
212	1
213	12
214	35
215	0
216	0
217	0
218	0
219	2
220	0
221	0
222	0
223	1
224	3
225	4
226	77
227	5
228	14
229	7
230	5
231	47
232	8
233	30
234	4
