Number of genomes	Pan genome
1	1797	#
1	1616	#
1	1692	#
1	1652	#
1	1600	#
1	1695	#
1	1674	#
1	1672	#
1	1735	#
1	1705	#
1	1694	#
1	1700	#
1	1645	#
1	1675	#
1	1858	#
1	1764	#
1	1645	#
1	1669	#
1	1791	#
1	1619	#
1	1821	#
1	1869	#
1	1629	#
1	1661	#
1	1860	#
1	1796	#
1	1682	#
1	1706	#
1	1698	#
1	1878	#
1	1725	#
1	1755	#
1	1698	#
1	1859	#
1	1703	#
1	1642	#
1	1664	#
1	1708	#
1	1712	#
1	1741	#
1	1809	#
1	1751	#
1	1708	#
1	1890	#
1	1625	#
1	1643	#
1	1699	#
1	1702	#
1	1649	#
1	1725	#
1	1709	#
2	2287	#
2	2230	#
2	2238	#
2	2420	#
2	2003	#
2	1836	#
2	2186	#
2	2239	#
2	1670	#
2	2146	#
2	2206	#
2	2465	#
2	2152	#
2	2001	#
2	1806	#
2	2048	#
2	2452	#
2	2259	#
2	2434	#
2	2050	#
2	2043	#
2	2066	#
2	2233	#
2	2248	#
2	2057	#
2	2246	#
2	1967	#
2	2130	#
2	2030	#
2	2113	#
2	2208	#
2	2194	#
2	2252	#
2	2236	#
2	2045	#
2	2298	#
2	2279	#
2	2336	#
2	2265	#
2	2236	#
2	2221	#
2	2046	#
2	2034	#
2	2283	#
2	2109	#
2	2276	#
2	2092	#
2	2037	#
2	2117	#
2	1972	#
2	2136	#
3	2498	#
3	2548	#
3	2139	#
3	2391	#
3	2454	#
3	2601	#
3	2348	#
3	2412	#
3	2474	#
3	2479	#
3	2714	#
3	2447	#
3	2256	#
3	2561	#
3	2352	#
3	2385	#
3	2454	#
3	2492	#
3	2621	#
3	2390	#
3	2302	#
3	2549	#
3	2328	#
3	2331	#
3	2399	#
3	2486	#
3	2338	#
3	2430	#
3	2309	#
3	2219	#
3	2378	#
3	2412	#
3	2469	#
3	2079	#
3	2513	#
3	2055	#
3	1869	#
3	2575	#
3	2427	#
3	2240	#
3	2429	#
3	2162	#
3	2361	#
3	2463	#
3	2266	#
3	2290	#
3	2241	#
3	2397	#
3	2382	#
3	2264	#
3	2293	#
4	2567	#
4	2937	#
4	2631	#
4	2833	#
4	2741	#
4	2697	#
4	2716	#
4	2934	#
4	2840	#
4	2824	#
4	2630	#
4	2881	#
4	2769	#
4	2399	#
4	2872	#
4	2651	#
4	2842	#
4	2869	#
4	2852	#
4	2630	#
4	3013	#
4	2680	#
4	2660	#
4	2691	#
4	2692	#
4	2672	#
4	2638	#
4	2878	#
4	2772	#
4	2915	#
4	2920	#
4	2749	#
4	2780	#
4	2903	#
4	2761	#
4	2773	#
4	2594	#
4	2715	#
4	2783	#
4	2875	#
4	2857	#
4	2748	#
4	2828	#
4	2932	#
4	2823	#
4	2453	#
4	2756	#
4	2633	#
4	2555	#
4	2914	#
4	3031	#
5	2995	#
5	2856	#
5	2770	#
5	3106	#
5	3065	#
5	2850	#
5	3048	#
5	2952	#
5	2842	#
5	3082	#
5	3115	#
5	3262	#
5	3174	#
5	3146	#
5	3082	#
5	3206	#
5	3166	#
5	3106	#
5	3115	#
5	3177	#
5	3010	#
5	2927	#
5	2757	#
5	2875	#
5	2945	#
5	3094	#
5	3007	#
5	3120	#
5	3199	#
5	3095	#
5	3203	#
5	3041	#
5	3067	#
