Number of genomes	Pan genome
1	4077	#
1	3644	#
1	3579	#
1	3854	#
1	3787	#
1	3482	#
1	3673	#
1	2835	#
1	3442	#
1	3443	#
1	3690	#
1	3699	#
1	3857	#
1	3918	#
1	3845	#
1	3502	#
1	3381	#
1	4197	#
1	4004	#
1	3166	#
1	3893	#
1	4018	#
1	3592	#
1	3502	#
1	3907	#
1	3623	#
1	3586	#
1	3633	#
1	2546	#
1	3555	#
1	3616	#
1	3606	#
1	3509	#
1	3463	#
1	3548	#
1	3851	#
1	3692	#
1	4169	#
1	2911	#
1	3814	#
1	3813	#
1	3656	#
1	3797	#
1	3550	#
1	3220	#
1	3623	#
1	3166	#
1	3536	#
1	3490	#
1	3726	#
2	6901	#
2	4837	#
2	4761	#
2	5810	#
2	4667	#
2	6420	#
2	5643	#
2	5035	#
2	5987	#
2	6422	#
2	5711	#
2	6661	#
2	6311	#
2	4732	#
2	5823	#
2	6767	#
2	4632	#
2	5542	#
2	6077	#
2	7221	#
2	5455	#
2	5011	#
2	6466	#
2	7264	#
2	6487	#
2	4999	#
2	6742	#
2	5833	#
2	4845	#
2	4632	#
2	7678	#
2	5738	#
2	6911	#
2	4913	#
2	5124	#
2	6729	#
2	4133	#
2	4402	#
2	6055	#
2	7047	#
2	5616	#
2	5041	#
2	4427	#
2	4668	#
2	4830	#
2	5897	#
2	7137	#
2	4832	#
2	6457	#
2	4986	#
2	6715	#
3	7231	#
3	5925	#
3	7237	#
3	6041	#
3	6247	#
3	8532	#
3	7589	#
3	5804	#
3	5091	#
3	5366	#
3	6975	#
3	8727	#
3	5539	#
3	7747	#
3	7676	#
3	5708	#
3	5127	#
3	5014	#
3	8418	#
3	5938	#
3	6405	#
3	7419	#
3	5621	#
3	6682	#
3	5580	#
3	6249	#
3	7204	#
3	5586	#
3	7850	#
3	7203	#
3	4991	#
3	6267	#
3	7432	#
3	9539	#
3	6883	#
3	6851	#
3	8604	#
3	8443	#
3	6425	#
3	8103	#
3	5700	#
3	5607	#
3	5305	#
3	5891	#
3	9548	#
3	9164	#
3	5784	#
3	4830	#
3	8894	#
3	5491	#
3	5012	#
4	9908	#
4	8826	#
4	7932	#
4	9328	#
4	5421	#
4	4811	#
4	8013	#
4	5786	#
4	5613	#
4	7180	#
4	5813	#
4	9592	#
4	6389	#
4	7178	#
4	9879	#
4	8642	#
4	5715	#
4	7028	#
4	5790	#
4	4626	#
4	5070	#
4	5381	#
4	5818	#
4	6699	#
4	5576	#
4	5827	#
4	7803	#
4	7747	#
4	5356	#
4	8517	#
4	9027	#
4	7478	#
4	6132	#
4	7187	#
4	8221	#
4	8125	#
4	7242	#
4	6288	#
4	8493	#
4	5779	#
4	8337	#
4	6880	#
4	5545	#
4	7234	#
4	7820	#
4	9639	#
4	8650	#
4	8819	#
4	6734	#
4	7027	#
4	5670	#
5	7861	#
5	6741	#
5	8885	#
5	9346	#
5	9686	#
5	7946	#
5	6893	#
5	10992	#
5	8001	#
5	7862	#
5	7399	#
5	8421	#
5	6690	#
5	8854	#
5	8214	#
5	6868	#
5	10559	#
5	8380	#
5	7457	#
5	9356	#
5	9223	#
5	8871	#
5	8925	#
5	10025	#
5	6089	#
5	7520	#
5	7726	#
5	11444	#
5	7532	#
5	7435	#
5	9350	#
5	8560	#
5	7995	#
5	10280	#
5	7094	#
5	10649	#
5	9287	#
5	10126	#
5	7469	#
5	6736	#
5	9008	#
5	7814	#
5	7859	#
5	7187	#
5	6590	#
5	8286	#
5	6163	#
5	8731	#
5	7100	#
5	8203	#
5	8691	#
6	10688	#
6	9855	#
6	10138	#
6	10960	#
6	10919	#
6	9399	#
6	8358	#
6	11295	#
6	12449	#
6	7587	#
6	12090	#
6	10291	#
6	8445	#
6	9451	#
6	9513	#
6	9982	#
6	10359	#
6	10041	#
6	8865	#
6	8999	#
6	10676	#
6	7632	#
6	8951	#
6	10247	#
6	9254	#
6	7828	#
6	10567	#
6	12265	#
6	11589	#
6	10660	#
6	9538	#
6	11064	#
6	7116	#
6	10716	#
6	10408	#
6	9732	#
6	11768	#
6	8056	#
6	11943	#
6	7448	#
6	10493	#
6	9344	#
6	8994	#
6	11676	#
6	8692	#
6	6794	#
6	8590	#
6	11698	#
6	9783	#
6	10906	#
6	10454	#
7	11017	#
7	11792	#
7	11547	#
7	13957	#
7	12017	#
7	10395	#
7	9045	#
7	10082	#
7	10690	#
7	9609	#
7	11455	#
7	8757	#
7	12171	#
7	14147	#
7	13970	#
7	10283	#
7	8784	#
7	10390	#
7	9962	#
7	12911	#
7	9340	#
7	12587	#
7	12117	#
7	11802	#
7	13093	#
7	11453	#
7	12312	#
7	9200	#
7	10279	#
7	8551	#
7	9704	#
7	11132	#
7	12611	#
7	13648	#
7	10692	#
7	8957	#
7	9291	#
7	8499	#
7	11137	#
7	12258	#
7	9753	#
7	12704	#
7	10357	#
7	9393	#
7	12071	#
7	8502	#
7	11137	#
7	12382	#
7	12671	#
7	12034	#
7	11915	#
8	13846	#
8	13526	#
8	14658	#
8	15074	#
8	14837	#
8	15894	#
8	13715	#
8	11729	#
8	13305	#
8	13178	#
8	14164	#
8	12142	#
8	11457	#
8	12478	#
8	12956	#
8	13090	#
8	15284	#
8	15338	#
8	13407	#
8	15513	#
8	13115	#
8	13294	#
8	13622	#
8	12870	#
8	15133	#
8	13690	#
8	14049	#
8	13648	#
8	12546	#
8	12406	#
8	13565	#
8	15026	#
8	14334	#
8	15049	#
8	15071	#
8	13350	#
8	13002	#
8	13116	#
8	13345	#
8	15039	#
8	12250	#
8	12722	#
8	13508	#
8	12922	#
8	14105	#
8	13829	#
8	15224	#
8	12238	#
8	12566	#
8	12722	#
8	16012	#
9	14151	#
9	17861	#
9	16071	#
9	14488	#
9	14608	#
9	15759	#
9	16072	#
9	14718	#
9	15626	#
9	13983	#
9	17755	#
9	16458	#
9	16260	#
9	14815	#
9	15787	#
9	15661	#
9	14553	#
9	16599	#
9	17356	#
9	15094	#
9	15214	#
9	16074	#
9	14930	#
9	16045	#
9	16387	#
9	13978	#
9	15700	#
9	14381	#
9	14333	#
9	14878	#
9	14650	#
9	14752	#
9	15358	#
9	14430	#
9	14393	#
9	17233	#
9	14386	#
9	14186	#
9	14900	#
9	17251	#
9	13887	#
9	14870	#
9	14242	#
9	16273	#
9	16067	#
9	17067	#
9	15613	#
9	15442	#
9	16098	#
9	13644	#
9	14800	#
10	16068	#
10	16199	#
10	17158	#
10	15502	#
10	15599	#
10	15881	#
10	15692	#
10	17932	#
10	17765	#
10	16065	#
10	18067	#
10	18499	#
10	17764	#
10	17744	#
10	18575	#
10	15888	#
10	15113	#
10	15961	#
10	15957	#
10	16630	#
10	16128	#
10	16060	#
10	18009	#
10	18143	#
10	16776	#
10	18901	#
10	16289	#
10	16420	#
10	15248	#
10	17760	#
10	15977	#
10	15497	#
10	15934	#
10	18248	#
10	16550	#
10	16757	#
10	16696	#
10	17178	#
10	16926	#
10	19147	#
10	16285	#
10	15874	#
10	15948	#
10	16527	#
10	19181	#
10	16769	#
10	15684	#
10	15884	#
10	16679	#
10	16199	#
10	15894	#
11	18498	#
11	17131	#
11	18970	#
11	21509	#
11	16351	#
11	16888	#
11	16609	#
11	19244	#
11	19387	#
11	17737	#
11	16688	#
11	18600	#
11	16469	#
11	17030	#
11	19525	#
11	16565	#
11	16482	#
11	18586	#
11	19234	#
11	18602	#
11	15967	#
11	16716	#
11	16075	#
11	16606	#
11	19568	#
11	16459	#
11	16843	#
11	17382	#
11	16817	#
11	16510	#
11	16630	#
11	19405	#
11	17883	#
11	16531	#
