Number of genomes	Core genome
1	1981	#
1	1969	#
1	1954	#
1	1944	#
1	1973	#
1	1992	#
1	1969	#
1	2039	#
1	1971	#
1	1954	#
1	1945	#
1	1974	#
1	1955	#
2	1611	#
2	1635	#
2	1600	#
2	1942	#
2	1817	#
2	1787	#
2	1694	#
2	1599	#
2	1636	#
2	1943	#
2	1600	#
2	1637	#
2	1632	#
2	1824	#
2	1818	#
2	1686	#
2	1946	#
2	1931	#
2	1828	#
2	1810	#
2	1607	#
2	1942	#
2	1969	#
2	1768	#
2	1739	#
2	1631	#
2	1784	#
2	1942	#
2	1786	#
2	1948	#
2	1710	#
2	1843	#
2	1632	#
2	1654	#
2	1804	#
2	1671	#
2	1798	#
2	1824	#
2	1691	#
2	1655	#
2	1819	#
2	1946	#
2	1645	#
2	1608	#
2	1631	#
2	1741	#
2	1617	#
2	1636	#
2	1682	#
2	1943	#
2	1943	#
3	1582	#
3	1574	#
3	1614	#
3	1751	#
3	1646	#
3	1622	#
3	1598	#
3	1779	#
3	1599	#
3	1528	#
3	1516	#
3	1631	#
3	1568	#
3	1941	#
3	1601	#
3	1611	#
3	1765	#
3	1754	#
3	1817	#
3	1565	#
3	1632	#
3	1606	#
3	1766	#
3	1662	#
3	1636	#
3	1635	#
3	1635	#
3	1579	#
3	1821	#
3	1653	#
3	1557	#
3	1636	#
3	1817	#
3	1571	#
3	1782	#
3	1686	#
3	1530	#
3	1599	#
3	1633	#
3	1818	#
3	1638	#
3	1565	#
3	1592	#
3	1611	#
3	1587	#
3	1806	#
3	1511	#
3	1761	#
3	1580	#
3	1728	#
3	1759	#
4	1637	#
4	1634	#
4	1642	#
4	1761	#
4	1781	#
4	1513	#
4	1815	#
4	1592	#
4	1516	#
4	1484	#
4	1611	#
4	1562	#
4	1567	#
4	1582	#
4	1579	#
4	1595	#
4	1757	#
4	1724	#
4	1511	#
4	1554	#
4	1572	#
4	1817	#
4	1806	#
4	1597	#
4	1686	#
4	1562	#
4	1560	#
4	1598	#
4	1600	#
4	1516	#
4	1608	#
4	1565	#
4	1558	#
4	1630	#
4	1631	#
4	1549	#
4	1588	#
4	1755	#
4	1561	#
4	1598	#
4	1803	#
4	1542	#
4	1686	#
4	1820	#
4	1488	#
4	1476	#
4	1598	#
4	1596	#
4	1554	#
4	1756	#
4	1515	#
5	1502	#
5	1574	#
5	1599	#
5	1494	#
5	1544	#
5	1573	#
5	1472	#
5	1557	#
5	1540	#
5	1482	#
5	1587	#
5	1575	#
5	1578	#
5	1500	#
5	1489	#
5	1544	#
5	1557	#
5	1597	#
5	1727	#
5	1518	#
5	1610	#
5	1518	#
5	1609	#
5	1486	#
5	1533	#
5	1686	#
5	1750	#
5	1490	#
5	1569	#
5	1607	#
5	1551	#
5	1504	#
5	1489	#
5	1515	#
5	1562	#
5	1490	#
5	1557	#
5	1493	#
5	1572	#
5	1492	#
5	1573	#
5	1467	#
5	1573	#
5	1759	#
5	1574	#
5	1571	#
5	1550	#
5	1536	#
5	1543	#
5	1718	#
5	1610	#
6	1525	#
6	1578	#
6	1540	#
6	1539	#
6	1521	#
6	1516	#
6	1480	#
6	1569	#
6	1466	#
6	1571	#
6	1559	#
6	1480	#
6	1493	#
6	1630	#
6	1500	#
6	1533	#
6	1543	#
6	1459	#
6	1481	#
6	1495	#
6	1545	#
6	1476	#
6	1524	#
6	1506	#
6	1547	#
6	1533	#
6	1463	#
6	1478	#
6	1531	#
6	1601	#
6	1484	#
6	1508	#
6	1535	#
6	1477	#
6	1467	#
6	1508	#
6	1543	#
6	1495	#
6	1495	#
6	1484	#
6	1562	#
6	1534	#
6	1539	#
6	1542	#
6	1533	#
6	1594	#
6	1533	#
6	1571	#
6	1540	#
6	1727	#
6	1713	#
7	1508	#
7	1517	#
7	1533	#
7	1518	#
7	1527	#
7	1576	#
7	1608	#
7	1449	#
7	1539	#
7	1463	#
7	1505	#
7	1514	#
7	1501	#
7	1486	#
7	1520	#
7	1463	#
7	1514	#
7	1595	#
7	1569	#
7	1539	#
7	1521	#
7	1546	#
7	1486	#
7	1460	#
7	1468	#
7	1502	#
7	1561	#
7	1473	#
7	1489	#
7	1494	#
7	1532	#
7	1519	#
7	1471	#
7	1493	#
7	1546	#
7	1471	#
7	1463	#
7	1515	#
7	1454	#
7	1460	#
7	1467	#
7	1533	#
7	1568	#
7	1482	#
7	1482	#
7	1467	#
7	1472	#
7	1574	#
7	1477	#
7	1477	#
7	1509	#
8	1459	#
8	1514	#
8	1527	#
8	1486	#
8	1459	#
8	1546	#
8	1505	#
8	1526	#
8	1469	#
8	1459	#
8	1527	#
8	1532	#
8	1472	#
8	1472	#
8	1532	#
8	1511	#
8	1527	#
8	1545	#
8	1570	#
8	1445	#
8	1520	#
8	1561	#
8	1503	#
8	1459	#
8	1501	#
8	1459	#
8	1511	#
8	1526	#
8	1568	#
8	1503	#
8	1515	#
8	1570	#
8	1467	#
8	1531	#
8	1517	#
8	1466	#
8	1569	#
8	1450	#
8	1446	#
8	1485	#
8	1503	#
8	1486	#
8	1511	#
8	1539	#
8	1545	#
8	1488	#
8	1545	#
8	1462	#
8	1463	#
8	1459	#
8	1515	#
9	1464	#
9	1455	#
9	1526	#
9	1458	#
9	1466	#
9	1451	#
9	1510	#
9	1456	#
9	1445	#
9	1467	#
9	1450	#
9	1514	#
9	1463	#
9	1473	#
9	1446	#
9	1511	#
9	1471	#
9	1460	#
9	1473	#
9	1459	#
9	1515	#
9	1514	#
9	1545	#
9	1467	#
9	1532	#
9	1514	#
9	1471	#
