Number of genomes	Pan genome
1	1879	#
1	1843	#
1	1776	#
1	1909	#
1	1885	#
1	1855	#
1	1758	#
1	1869	#
1	1881	#
1	1757	#
1	1890	#
1	1859	#
1	1849	#
1	1851	#
1	1798	#
1	1874	#
1	1870	#
1	1798	#
1	1817	#
1	1850	#
1	1846	#
1	1825	#
1	1855	#
1	1880	#
1	1901	#
1	1894	#
1	1861	#
1	1905	#
1	1865	#
1	1847	#
1	1851	#
1	1885	#
1	1848	#
1	1912	#
1	1881	#
1	1879	#
1	1926	#
1	1879	#
1	1925	#
1	1775	#
1	1849	#
1	1844	#
1	1848	#
1	1858	#
1	1849	#
1	1879	#
1	1890	#
1	1896	#
1	1889	#
1	1889	#
1	1878	#
2	1863	#
2	2212	#
2	2211	#
2	2404	#
2	1862	#
2	2366	#
2	2251	#
2	1928	#
2	2383	#
2	2217	#
2	2209	#
2	2396	#
2	2232	#
2	1951	#
2	2176	#
2	2335	#
2	2240	#
2	2009	#
2	2064	#
2	2384	#
2	2342	#
2	1971	#
2	2274	#
2	2382	#
2	2434	#
2	1968	#
2	2256	#
2	2217	#
2	2224	#
2	2213	#
2	2153	#
2	2025	#
2	2516	#
2	2256	#
2	2229	#
2	2003	#
2	2411	#
2	2534	#
2	1861	#
2	2213	#
2	2283	#
2	1864	#
2	2273	#
2	1862	#
2	2208	#
2	2231	#
2	1852	#
2	2215	#
2	2012	#
2	2560	#
2	2167	#
3	2300	#
3	2242	#
3	2628	#
3	2696	#
3	2327	#
3	2304	#
3	2567	#
3	2215	#
3	2261	#
3	2224	#
3	2216	#
3	2311	#
3	2293	#
3	2596	#
3	2648	#
3	2257	#
3	2379	#
3	2213	#
3	2240	#
3	2638	#
3	2219	#
3	2267	#
3	2307	#
3	2236	#
3	2224	#
3	2661	#
3	2281	#
3	2212	#
3	2403	#
3	2208	#
3	2237	#
3	2213	#
3	2211	#
3	2216	#
3	2604	#
3	2104	#
3	2269	#
3	2348	#
3	1889	#
3	2007	#
3	2353	#
3	2401	#
3	2267	#
3	2327	#
3	2238	#
3	2214	#
3	2628	#
3	2353	#
3	2320	#
3	2757	#
3	2346	#
4	2654	#
4	2649	#
4	2321	#
4	2425	#
4	2381	#
4	2278	#
4	2645	#
4	2360	#
4	2765	#
4	2744	#
