Number of genomes	Core genome
1	1557	#
1	1565	#
1	1563	#
1	1549	#
1	1494	#
1	1523	#
1	1564	#
1	1584	#
1	1563	#
1	1583	#
1	1606	#
1	1552	#
1	1556	#
1	1548	#
1	1550	#
1	1484	#
1	1543	#
1	1548	#
1	1502	#
1	1505	#
1	1575	#
1	1537	#
1	1538	#
1	1569	#
1	1482	#
1	1521	#
1	1564	#
1	1560	#
1	1559	#
1	1547	#
1	1542	#
1	1477	#
1	1539	#
1	1479	#
1	1506	#
1	1570	#
1	1536	#
1	1555	#
1	1486	#
1	1559	#
1	1489	#
1	1482	#
1	1505	#
1	1554	#
1	1545	#
1	1459	#
1	1487	#
1	1529	#
1	1553	#
1	1545	#
1	1558	#
2	395	#
2	325	#
2	331	#
2	573	#
2	554	#
2	408	#
2	600	#
2	550	#
2	499	#
2	567	#
2	441	#
2	554	#
2	582	#
2	423	#
2	415	#
2	423	#
2	410	#
2	542	#
2	666	#
2	538	#
2	443	#
2	608	#
2	426	#
2	415	#
2	1490	#
2	389	#
2	478	#
2	421	#
2	707	#
2	380	#
2	565	#
2	348	#
2	439	#
2	803	#
2	1487	#
2	392	#
2	447	#
2	339	#
2	553	#
2	415	#
2	719	#
2	514	#
2	341	#
2	415	#
2	411	#
2	637	#
2	463	#
2	410	#
2	558	#
2	413	#
2	422	#
3	279	#
3	436	#
3	376	#
3	361	#
3	364	#
3	405	#
3	327	#
3	351	#
3	430	#
3	418	#
3	357	#
3	354	#
3	311	#
3	359	#
3	336	#
3	367	#
3	373	#
3	349	#
3	436	#
3	323	#
3	428	#
3	338	#
3	281	#
3	350	#
3	332	#
3	427	#
3	356	#
3	319	#
3	220	#
3	334	#
3	315	#
3	285	#
3	342	#
3	374	#
3	402	#
3	346	#
3	336	#
3	426	#
3	328	#
3	370	#
3	353	#
3	284	#
3	328	#
3	343	#
3	285	#
3	362	#
3	400	#
3	375	#
3	370	#
3	343	#
3	362	#
4	264	#
4	297	#
4	303	#
4	259	#
4	307	#
4	254	#
4	277	#
4	252	#
4	261	#
4	266	#
4	339	#
4	263	#
4	259	#
4	300	#
4	251	#
4	252	#
4	262	#
4	259	#
4	304	#
4	312	#
4	263	#
4	257	#
4	301	#
4	260	#
4	275	#
4	268	#
4	259	#
4	250	#
4	289	#
4	256	#
4	306	#
4	257	#
4	298	#
4	300	#
4	262	#
4	264	#
4	312	#
4	301	#
4	255	#
4	266	#
4	267	#
4	242	#
4	331	#
4	246	#
4	307	#
4	266	#
4	308	#
4	280	#
4	254	#
4	297	#
4	254	#
5	247	#
5	242	#
5	244	#
5	256	#
5	239	#
5	242	#
5	255	#
5	243	#
5	245	#
5	241	#
5	251	#
5	257	#
5	250	#
5	237	#
5	241	#
5	246	#
5	248	#
5	238	#
5	247	#
5	242	#
5	261	#
5	254	#
5	248	#
5	238	#
5	247	#
5	254	#
5	252	#
5	249	#
5	196	#
5	252	#
5	243	#
5	255	#
5	248	#
5	242	#
5	254	#
5	250	#
5	246	#
5	249	#
5	251	#
5	248	#
5	250	#
5	250	#
5	252	#
5	236	#
5	257	#
5	249	#
5	255	#
5	244	#
5	251	#
5	257	#
5	242	#
6	240	#
6	242	#
6	249	#
6	235	#
6	240	#
6	239	#
6	225	#
6	229	#
6	245	#
6	245	#
6	237	#
6	241	#
6	242	#
6	240	#
6	248	#
6	242	#
6	245	#
6	249	#
6	240	#
6	249	#
6	237	#
6	248	#
6	236	#
6	252	#
6	248	#
6	251	#
6	243	#
6	236	#
6	245	#
6	238	#
6	239	#
6	238	#
6	243	#
6	237	#
6	252	#
6	234	#
6	240	#
6	236	#
6	241	#
6	236	#
6	236	#
6	239	#
6	247	#
6	236	#
6	240	#
6	254	#
6	238	#
6	241	#
6	243	#
6	242	#
6	239	#
7	231	#
7	236	#
7	230	#
7	232	#
7	232	#
7	223	#
7	225	#
7	230	#
7	227	#
7	229	#
7	231	#
7	232	#
7	226	#
7	233	#
7	226	#
7	234	#
7	224	#
7	224	#
7	228	#
7	229	#
7	228	#
7	228	#
7	230	#
7	225	#
7	229	#
7	239	#
7	185	#
7	228	#
7	234	#
7	235	#
7	238	#
7	231	#
7	229	#
7	230	#
7	238	#
7	222	#
7	237	#
7	234	#
7	229	#
7	233	#
7	226	#
7	231	#
7	229	#
7	236	#
7	227	#
7	234	#
7	227	#
7	229	#
7	225	#
7	232	#
7	228	#
8	222	#
8	224	#
8	225	#
8	227	#
8	228	#
8	225	#
8	224	#
8	223	#
8	231	#
8	226	#
8	229	#
8	230	#
8	224	#
8	227	#
8	228	#
8	228	#
8	219	#
8	221	#
8	226	#
8	220	#
8	223	#
8	229	#
8	221	#
8	183	#
8	225	#
8	227	#
8	229	#
8	219	#
8	221	#
8	224	#
8	229	#
8	227	#
8	225	#
8	221	#
8	221	#
8	229	#
8	229	#
8	230	#
8	225	#
8	184	#
8	220	#
8	220	#
8	228	#
8	226	#
8	227	#
8	229	#
8	224	#
8	227	#
8	224	#
8	231	#
8	228	#
9	221	#
9	218	#
9	221	#
9	228	#
9	218	#
9	217	#
9	221	#
9	223	#
9	219	#
9	220	#
9	219	#
9	223	#
9	218	#
9	219	#
9	222	#
9	224	#
9	218	#
9	219	#
9	218	#
9	221	#
9	215	#
9	218	#
9	221	#
9	218	#
9	214	#
9	219	#
9	226	#
9	224	#
9	216	#
9	217	#
9	217	#
9	219	#
9	215	#
9	223	#
9	217	#
9	222	#
9	225	#
9	223	#
9	221	#
9	225	#
9	211	#
9	219	#
9	219	#
9	224	#
9	224	#
9	217	#
9	216	#
9	221	#
9	226	#
9	225	#
9	223	#
10	224	#
10	220	#
10	221	#
10	213	#
10	217	#
10	216	#
10	221	#
10	217	#
10	216	#
10	217	#
10	215	#
10	217	#
10	217	#
10	219	#
10	221	#
10	219	#
10	214	#
10	216	#
10	215	#
10	220	#
10	224	#
10	216	#
10	218	#
10	216	#
10	217	#
10	219	#
10	213	#
10	220	#
10	224	#
10	216	#
10	215	#
10	216	#
10	216	#
10	219	#
10	215	#
10	222	#
10	214	#
10	216	#
10	217	#
10	216	#
10	180	#
10	219	#
10	217	#
10	219	#
10	222	#
10	220	#
10	215	#
10	222	#
10	222	#
10	223	#
10	220	#
11	216	#
11	215	#
11	210	#
11	215	#
11	214	#
11	213	#
11	214	#
11	209	#
11	212	#
11	214	#
11	213	#
11	216	#
11	215	#
11	213	#
11	214	#
11	211	#
11	212	#
11	214	#
11	214	#
11	207	#
11	214	#
11	213	#
11	211	#
11	210	#
11	207	#
11	215	#
11	213	#
11	214	#
11	214	#
11	216	#
11	212	#
11	212	#
11	212	#
11	215	#
11	215	#
11	212	#
11	214	#
11	214	#
11	212	#
11	215	#
11	207	#
11	214	#
11	209	#
11	213	#
11	209	#
11	210	#
11	214	#
11	213	#
11	212	#
11	213	#
11	214	#
12	210	#
12	212	#
12	211	#
12	210	#
12	209	#
12	211	#
12	206	#
12	211	#
12	211	#
12	212	#
12	211	#
12	213	#
12	211	#
12	209	#
12	210	#
12	210	#
12	210	#
12	210	#
12	209	#
12	211	#
12	210	#
12	208	#
12	211	#
12	211	#
12	209	#
12	204	#
12	212	#
12	175	#
12	209	#
12	211	#
12	208	#
12	211	#
12	212	#
12	212	#
12	211	#
12	213	#
12	212	#
12	210	#
12	211	#
12	207	#
12	213	#
12	209	#
12	208	#
12	209	#
12	206	#
12	211	#
12	212	#
12	209	#
12	209	#
12	210	#
12	212	#
13	207	#
13	210	#
13	208	#
13	210	#
13	209	#
13	209	#
13	209	#
13	209	#
13	207	#
13	208	#
13	208	#
13	209	#
13	207	#
13	209	#
13	209	#
13	204	#
13	207	#
13	206	#
13	208	#
13	210	#
13	207	#
13	209	#
13	207	#
13	208	#
13	207	#
13	210	#
13	209	#
13	211	#
13	206	#
13	204	#
13	207	#
13	209	#
13	209	#
13	207	#
13	207	#
13	209	#
13	207	#
13	207	#
13	209	#
13	208	#
13	208	#
13	206	#
13	209	#
13	210	#
13	210	#
13	211	#
13	209	#
13	210	#
13	208	#
13	209	#
13	208	#
14	207	#
14	205	#
14	174	#
14	207	#
14	207	#
14	208	#
14	205	#
14	208	#
14	207	#
14	208	#
14	206	#
14	207	#
14	208	#
14	208	#
14	207	#
14	205	#
14	208	#
14	206	#
14	204	#
14	208	#
14	207	#
14	208	#
14	206	#
14	206	#
14	206	#
14	208	#
14	207	#
14	165	#
14	205	#
14	207	#
14	205	#
14	205	#
14	207	#
14	208	#
14	208	#
14	207	#
14	207	#
14	210	#
14	206	#
14	204	#
14	207	#
14	203	#
14	208	#
14	205	#
14	202	#
14	206	#
14	206	#
14	205	#
14	207	#
14	207	#
14	206	#
15	207	#
15	207	#
15	208	#
15	208	#
15	206	#
15	206	#
15	208	#
15	205	#
15	207	#
15	204	#
15	208	#
15	207	#
15	207	#
15	173	#
15	207	#
15	205	#
15	199	#
15	207	#
15	207	#
15	206	#
15	207	#
15	206	#
15	208	#
15	207	#
15	208	#
15	207	#
15	206	#
15	207	#
15	207	#
15	208	#
15	206	#
15	208	#
15	207	#
15	206	#
15	205	#
15	206	#
15	207	#
15	204	#
15	207	#
15	202	#
15	205	#
15	208	#
15	208	#
15	206	#
15	205	#
15	207	#
15	207	#
15	206	#
15	205	#
15	206	#
15	201	#
16	206	#
16	205	#
16	204	#
16	203	#
16	204	#
16	205	#
16	198	#
16	202	#
16	205	#
16	205	#
16	203	#
16	202	#
16	203	#
16	206	#
16	206	#
16	204	#
16	206	#
16	204	#
16	205	#
16	204	#
16	200	#
16	201	#
16	201	#
16	204	#
16	202	#
16	203	#
16	205	#
16	205	#
16	205	#
16	206	#
16	204	#
16	206	#
16	203	#
16	205	#
16	205	#
16	203	#
16	204	#
16	203	#
16	205	#
16	205	#
16	205	#
16	205	#
16	205	#
16	204	#
16	199	#
16	200	#
16	204	#
16	202	#
16	204	#
16	205	#
16	206	#
17	204	#
17	200	#
17	201	#
17	202	#
17	204	#
17	170	#
17	203	#
17	204	#
17	204	#
17	202	#
17	203	#
17	204	#
17	203	#
17	202	#
17	203	#
17	204	#
17	201	#
17	204	#
17	202	#
17	204	#
17	198	#
17	203	#
17	203	#
17	204	#
17	201	#
17	199	#
17	199	#
17	204	#
17	202	#
17	202	#
17	204	#
17	204	#
17	204	#
17	204	#
17	201	#
17	203	#
17	203	#
17	204	#
17	202	#
17	201	#
17	203	#
17	203	#
17	204	#
17	203	#
17	202	#
17	203	#
17	202	#
17	201	#
17	203	#
17	203	#
17	200	#
18	197	#
18	196	#
18	197	#
18	195	#
18	197	#
18	196	#
18	196	#
18	196	#
18	164	#
18	196	#
18	197	#
18	194	#
18	197	#
18	196	#
18	197	#
18	196	#
18	195	#
18	197	#
18	196	#
18	196	#
18	195	#
18	197	#
18	195	#
18	195	#
18	196	#
18	195	#
18	197	#
18	196	#
18	197	#
18	196	#
18	197	#
18	196	#
18	197	#
18	196	#
18	196	#
18	196	#
18	196	#
18	196	#
18	196	#
18	196	#
18	196	#
18	196	#
18	167	#
18	195	#
18	196	#
18	192	#
18	197	#
18	197	#
18	195	#
18	195	#
18	196	#
19	197	#
19	196	#
19	196	#
19	195	#
19	197	#
19	196	#
19	196	#
19	194	#
19	196	#
19	197	#
19	195	#
19	196	#
19	196	#
19	197	#
19	194	#
19	197	#
19	197	#
19	196	#
19	195	#
19	195	#
19	194	#
19	197	#
19	196	#
19	197	#
19	194	#
19	196	#
19	195	#
19	197	#
19	195	#
19	197	#
19	196	#
19	197	#
19	195	#
19	197	#
19	197	#
19	197	#
19	196	#
19	197	#
19	197	#
19	195	#
19	197	#
19	197	#
19	196	#
19	197	#
19	197	#
19	197	#
19	197	#
19	197	#
19	196	#
19	195	#
19	197	#
20	167	#
20	165	#
20	167	#
20	167	#
20	167	#
20	166	#
20	167	#
20	167	#
20	167	#
20	166	#
20	167	#
20	165	#
20	167	#
20	167	#
20	166	#
20	167	#
20	165	#
20	167	#
20	166	#
20	167	#
20	167	#
20	167	#
20	167	#
20	166	#
20	166	#
20	165	#
20	166	#
20	166	#
20	167	#
20	166	#
20	167	#
20	167	#
20	166	#
20	167	#
20	167	#
20	165	#
20	167	#
20	166	#
20	167	#
20	166	#
20	167	#
20	167	#
20	166	#
20	167	#
20	167	#
20	167	#
20	167	#
20	167	#
20	167	#
20	167	#
20	166	#
21	167	#
21	167	#
21	167	#
21	165	#
21	166	#
21	167	#
21	167	#
21	166	#
21	166	#
21	167	#
21	166	#
21	167	#
21	167	#
21	167	#
21	167	#
21	166	#
21	167	#
21	167	#
21	167	#
21	167	#
21	167	#
21	167	#
21	166	#
21	167	#
21	166	#
21	167	#
21	167	#
21	166	#
21	167	#
21	167	#
21	167	#
21	167	#
21	167	#
21	141	#
21	167	#
21	167	#
21	167	#
21	166	#
21	166	#
21	167	#
21	167	#
21	166	#
21	165	#
21	167	#
21	166	#
21	167	#
21	167	#
21	167	#
21	167	#
21	165	#
21	155	#
22	166	#
22	167	#
22	167	#
22	167	#
22	166	#
22	166	#
22	166	#
22	167	#
22	166	#
22	167	#
22	167	#
22	166	#
22	167	#
22	166	#
22	167	#
22	167	#
22	167	#
22	167	#
22	167	#
22	167	#
22	167	#
22	167	#
22	167	#
22	166	#
22	167	#
22	166	#
22	167	#
22	167	#
22	167	#
22	167	#
22	166	#
22	165	#
22	165	#
22	167	#
22	167	#
22	165	#
22	167	#
22	166	#
22	167	#
22	167	#
22	167	#
22	165	#
22	166	#
22	167	#
22	167	#
22	166	#
22	166	#
22	166	#
22	167	#
22	166	#
22	167	#
23	167	#
23	167	#
23	165	#
23	167	#
23	167	#
23	167	#
23	167	#
23	166	#
23	166	#
23	167	#
23	167	#
23	166	#
23	166	#
23	166	#
23	164	#
23	167	#
23	166	#
23	166	#
23	167	#
23	166	#
23	166	#
23	166	#
23	167	#
23	167	#
23	167	#
23	165	#
23	167	#
23	167	#
23	167	#
23	166	#
23	166	#
23	167	#
23	167	#
23	141	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	167	#
23	166	#
23	167	#
23	167	#
23	167	#
24	166	#
24	166	#
24	165	#
24	166	#
24	166	#
24	165	#
24	166	#
24	165	#
24	165	#
24	166	#
24	166	#
24	166	#
24	165	#
24	166	#
24	165	#
24	166	#
24	166	#
24	166	#
24	166	#
24	164	#
24	166	#
24	165	#
24	166	#
24	166	#
24	165	#
24	165	#
24	166	#
24	166	#
24	166	#
24	166	#
24	166	#
24	166	#
24	166	#
24	166	#
24	165	#
24	166	#
24	165	#
24	166	#
24	166	#
24	164	#
24	166	#
24	164	#
24	166	#
24	165	#
24	165	#
24	164	#
24	166	#
24	166	#
24	166	#
24	166	#
24	166	#
25	166	#
25	165	#
25	140	#
25	166	#
25	165	#
25	166	#
25	166	#
25	165	#
25	166	#
25	165	#
25	166	#
25	166	#
25	166	#
25	166	#
25	165	#
25	166	#
25	166	#
25	165	#
25	166	#
25	166	#
25	166	#
25	165	#
25	166	#
25	164	#
25	166	#
25	166	#
25	165	#
25	165	#
25	164	#
25	165	#
25	166	#
25	166	#
25	166	#
25	166	#
25	166	#
25	164	#
25	166	#
25	166	#
25	166	#
25	164	#
25	166	#
25	166	#
25	165	#
25	166	#
25	166	#
25	166	#
25	166	#
25	165	#
25	166	#
25	164	#
25	166	#
26	166	#
26	166	#
26	166	#
26	164	#
26	166	#
26	164	#
26	166	#
26	165	#
26	154	#
26	166	#
26	165	#
26	166	#
26	166	#
26	166	#
26	166	#
26	165	#
26	166	#
26	165	#
26	166	#
26	166	#
26	165	#
26	166	#
26	165	#
26	165	#
26	165	#
26	166	#
26	166	#
26	165	#
26	166	#
26	166	#
26	166	#
26	166	#
26	166	#
26	166	#
26	166	#
26	165	#
26	165	#
26	166	#
26	165	#
26	166	#
26	165	#
26	166	#
26	166	#
26	166	#
26	166	#
26	166	#
26	166	#
26	166	#
26	164	#
26	166	#
26	166	#
27	163	#
27	164	#
27	164	#
27	164	#
27	163	#
27	164	#
27	164	#
27	164	#
27	163	#
27	163	#
27	164	#
27	163	#
27	164	#
27	163	#
27	164	#
27	164	#
27	164	#
27	164	#
27	164	#
27	164	#
27	164	#
27	163	#
27	163	#
27	164	#
27	164	#
27	164	#
27	163	#
27	164	#
27	164	#
27	163	#
27	164	#
27	164	#
27	164	#
27	163	#
27	162	#
27	164	#
27	164	#
27	164	#
27	164	#
27	163	#
27	163	#
