Genome Number	Number of new gene families
2	1087
3	1029
4	799
5	738
6	816
7	756
8	569
9	651
10	502
11	660
12	587
13	366
14	246
15	446
16	736
17	677
18	611
19	1166
20	573
21	448
22	438
23	331
24	575
25	587
26	547
27	381
28	353
29	362
30	345
31	229
32	150
33	147
34	500
35	20
36	6
37	4
38	417
39	586
40	540
41	382
42	324
43	350
44	12
45	575
46	356
47	3
48	510
49	15
50	442
51	141
52	356
53	275
54	97
55	104
56	75
57	53
58	328
59	467
60	55
61	15
62	351
63	7
64	5
65	541
66	2
67	2
68	2
69	40
70	504
71	477
72	302
73	511
74	684
75	589
76	676
77	432
78	14
79	336
80	22
81	6
82	4
83	6
84	1
85	1
86	0
87	1
88	1
89	0
90	2
91	2
92	0
93	1
94	0
95	0
96	1
97	5
98	474
99	509
100	268
101	440
102	304
103	239
104	214
105	16
106	15
107	415
108	444
109	407
110	25
111	442
112	354
113	399
114	431
115	98
116	11
117	368
118	432
119	29
120	392
121	381
122	415
123	10
124	371
125	23
126	345
127	35
128	23
129	29
130	394
131	28
132	376
133	11
134	371
135	2
136	380
137	331
138	470
139	377
140	403
141	8
142	241
143	417
144	443
145	408
146	301
147	6
148	2
149	8
150	8
151	5
152	2
153	7
154	2
155	1
156	1
157	7
158	3
159	1
160	4
161	2
162	5
163	2
164	1
165	2
166	2
167	9
168	6
169	3
170	242
171	140
172	410
173	130
174	52
175	432
176	380
177	404
178	269
179	426
180	337
181	347
182	316
183	392
184	336
185	257
186	244
187	249
188	67
189	223
190	210
191	63
192	106
193	24
194	48
195	120
196	8
197	107
198	351
199	248
200	45
201	4
202	361
203	318
204	356
205	237
206	264
207	69
208	313
209	319
210	286
211	241
212	247
213	211
214	209
215	391
216	325
217	2
218	344
219	278
220	18
221	4
222	7
223	2
224	6
225	10
226	9
227	5
228	3
229	6
230	9
231	9
232	12
233	378
234	1
