Number of genomes	Pan genome
1	1557	#
1	1565	#
1	1563	#
1	1549	#
1	1494	#
1	1523	#
1	1564	#
1	1584	#
1	1563	#
1	1583	#
1	1606	#
1	1552	#
1	1556	#
1	1548	#
1	1550	#
1	1484	#
1	1543	#
1	1548	#
1	1502	#
1	1505	#
1	1575	#
1	1537	#
1	1538	#
1	1569	#
1	1482	#
1	1521	#
1	1564	#
1	1560	#
1	1559	#
1	1547	#
1	1542	#
1	1477	#
1	1539	#
1	1479	#
1	1506	#
1	1570	#
1	1536	#
1	1555	#
1	1486	#
1	1559	#
1	1489	#
1	1482	#
1	1505	#
1	1554	#
1	1545	#
1	1459	#
1	1487	#
1	1529	#
1	1553	#
1	1545	#
1	1558	#
2	2682	#
2	2672	#
2	2655	#
2	2541	#
2	2553	#
2	2609	#
2	2392	#
2	2438	#
2	2567	#
2	2557	#
2	2566	#
2	2443	#
2	2518	#
2	2632	#
2	2649	#
2	2600	#
2	2646	#
2	2576	#
2	2351	#
2	2578	#
2	2614	#
2	2383	#
2	2602	#
2	2618	#
2	1612	#
2	2562	#
2	2591	#
2	2661	#
2	2340	#
2	2669	#
2	2451	#
2	2702	#
2	2608	#
2	2243	#
2	1613	#
2	2552	#
2	2676	#
2	2636	#
2	2504	#
2	2564	#
2	2330	#
2	2529	#
2	2725	#
2	2649	#
2	2600	#
2	2406	#
2	2600	#
2	2643	#
2	2459	#
2	2684	#
2	2627	#
3	3709	#
3	2676	#
3	3437	#
3	3508	#
3	3533	#
3	3436	#
3	3575	#
3	3361	#
3	3455	#
3	3334	#
3	3437	#
3	3514	#
3	3592	#
3	3435	#
3	3508	#
3	3497	#
3	3455	#
3	3534	#
3	2678	#
3	3540	#
3	3425	#
3	3430	#
3	3746	#
3	3583	#
3	3493	#
3	3440	#
3	3356	#
3	3567	#
3	3780	#
3	3500	#
3	3611	#
3	3681	#
3	3475	#
3	3432	#
3	2693	#
3	3496	#
3	3582	#
3	2677	#
3	3508	#
3	3331	#
3	3530	#
3	3737	#
3	3504	#
3	3549	#
3	3755	#
3	3466	#
3	2709	#
3	3463	#
3	3518	#
3	3445	#
3	3490	#
4	4458	#
4	4381	#
4	4273	#
4	4527	#
4	4273	#
4	4441	#
4	4451	#
4	4462	#
4	4450	#
4	4493	#
4	3550	#
4	4435	#
4	4464	#
4	4331	#
4	4492	#
4	4506	#
4	4422	#
4	4584	#
4	4394	#
4	4349	#
4	4475	#
4	4533	#
4	4413	#
4	4512	#
4	3725	#
4	4519	#
4	4525	#
4	4499	#
4	4418	#
4	4462	#
4	4428	#
4	4509	#
4	4239	#
4	4335	#
4	4491	#
4	4567	#
4	4241	#
4	4393	#
4	4435	#
4	4491	#
4	4516	#
4	4549	#
4	3617	#
4	4499	#
4	4320	#
4	4455	#
4	4378	#
4	3718	#
4	4455	#
4	4319	#
4	4559	#
5	5221	#
5	5171	#
5	5310	#
5	5252	#
5	5185	#
5	5258	#
5	5093	#
5	5285	#
5	5360	#
5	5055	#
5	5025	#
5	5252	#
5	4797	#
5	5178	#
5	5224	#
5	5020	#
5	5030	#
5	5318	#
5	5226	#
5	5227	#
5	4648	#
5	5182	#
5	5221	#
5	5233	#
5	5301	#
5	5314	#
5	5288	#
5	5230	#
5	5685	#
5	5025	#
5	5253	#
5	5232	#
5	5152	#
5	5213	#
5	5286	#
5	5283	#
5	5281	#
5	5267	#
5	5272	#
5	5081	#
5	5239	#
5	5181	#
5	5238	#
5	5193	#
5	5142	#
5	5213	#
5	5245	#
5	5354	#
5	4864	#
5	5280	#
5	5164	#
6	5968	#
6	5975	#
6	6034	#
6	6055	#
6	5927	#
6	5670	#
6	6150	#
6	6074	#
6	6067	#
6	6054	#
6	5974	#
6	6064	#
6	6051	#
6	5940	#
6	6044	#
6	6050	#
6	6042	#
6	6032	#
6	6068	#
6	6014	#
6	6036	#
6	6050	#
6	5978	#
6	5363	#
6	6029	#
6	5996	#
6	6010	#
6	5952	#
6	5951	#
6	5835	#
6	6027	#
6	6060	#
6	6039	#
6	5706	#
6	5343	#
6	5851	#
6	6041	#
6	5951	#
6	6017	#
6	5834	#
6	5784	#
6	6037	#
6	6040	#
6	6039	#
6	5709	#
6	5346	#
6	5977	#
6	6017	#
6	5252	#
6	5264	#
6	5958	#
7	6749	#
7	6085	#
7	6429	#
7	6274	#
7	6077	#
7	6932	#
7	6701	#
7	6379	#
7	6714	#
7	6720	#
7	6742	#
7	6554	#
7	6637	#
7	6062	#
7	6770	#
7	6507	#
7	6673	#
7	6632	#
7	6745	#
7	6639	#
7	6582	#
7	6414	#
7	6562	#
7	6750	#
7	6649	#
7	5837	#
7	7221	#
7	6754	#
7	6690	#
7	6628	#
7	6370	#
7	6756	#
7	6695	#
7	6647	#
7	6339	#
7	6733	#
7	6063	#
7	6504	#
7	6720	#
7	6061	#
7	6741	#
7	6678	#
7	6779	#
7	6368	#
7	6719	#
7	6528	#
7	6679	#
7	6482	#
7	6691	#
7	6676	#
7	6773	#
8	7441	#
8	7203	#
8	7434	#
8	7105	#
8	7455	#
8	7334	#
8	7463	#
8	7452	#
8	7246	#
8	7222	#
8	7137	#
8	6810	#
8	7325	#
8	6820	#
8	7088	#
8	6985	#
8	7479	#
8	7478	#
8	7467	#
8	7346	#
8	7344	#
8	7028	#
8	7418	#
8	7972	#
8	7472	#
8	7425	#
8	7241	#
8	7409	#
8	7317	#
8	7395	#
8	6828	#
8	7138	#
8	7378	#
8	7426	#
8	7388	#
8	7317	#
8	6799	#
8	6658	#
8	7302	#
8	7339	#
8	7244	#
8	7280	#
8	7143	#
8	7488	#
8	7045	#
8	7267	#
8	7496	#
8	7433	#
8	7379	#
8	6633	#
8	7363	#
9	7470	#
9	8125	#
9	7473	#
9	7898	#
9	8031	#
9	8074	#
9	8018	#
9	8018	#
9	7929	#
9	8027	#
9	7857	#
9	7853	#
9	8092	#
9	8078	#
9	7921	#
9	7887	#
9	8011	#
9	8081	#
9	8088	#
9	8015	#
9	7927	#
9	8088	#
9	8018	#
9	8022	#
9	8105	#
9	7790	#
9	7903	#
9	7880	#
9	7953	#
9	8094	#
9	8101	#
9	8139	#
9	8109	#
9	7901	#
9	8051	#
9	7930	#
9	7722	#
9	7956	#
9	7996	#
9	8010	#
9	8122	#
9	7987	#
9	8019	#
9	7995	#
9	8007	#
9	7950	#
9	8105	#
9	8082	#
9	7949	#
9	7805	#
9	7999	#
10	7886	#
10	8362	#
10	8534	#
10	8668	#
10	8607	#
10	8643	#
10	8391	#
10	8592	#
10	8571	#
10	8601	#
10	8689	#
10	8617	#
10	8640	#
10	8549	#
10	8515	#
10	8355	#
10	8684	#
10	8488	#
10	8528	#
10	8412	#
10	8352	#
10	8571	#
10	8606	#
10	8599	#
10	8495	#
10	8591	#
10	8685	#
10	8523	#
10	8557	#
10	8621	#
10	8617	#
10	8673	#
10	8569	#
10	8520	#
10	8586	#
10	8492	#
10	8680	#
10	8667	#
10	8643	#
10	8382	#
10	8736	#
10	8518	#
10	8616	#
10	8514	#
10	8524	#
10	8413	#
10	8422	#
10	8498	#
10	8241	#
10	8384	#
10	8410	#
11	8691	#
11	9011	#
11	9294	#
11	9313	#
11	9227	#
11	8958	#
11	9035	#
11	9164	#
11	9310	#
11	9139	#
11	9184	#
11	9198	#
11	9106	#
11	9162	#
11	9074	#
11	9201	#
11	9111	#
11	8575	#
11	9182	#
11	9286	#
11	9173	#
11	9135	#
11	9187	#
11	9188	#
11	9224	#
11	9108	#
11	9260	#
11	9136	#
11	9304	#
11	8696	#
11	9134	#
11	9267	#
11	9027	#
11	9293	#
11	9101	#
11	9136	#
11	8969	#
11	8981	#
11	9260	#
11	8520	#
11	9211	#
11	9293	#
11	9149	#
11	9139	#
11	9326	#
11	9156	#
11	9058	#
11	9320	#
11	8920	#
11	9145	#
11	9066	#
12	9769	#
12	9205	#
12	9793	#
12	9701	#
12	9733	#
12	9642	#
12	9942	#
12	9797	#
12	9801	#
12	9139	#
12	9737	#
12	9852	#
12	9770	#
12	9660	#
12	9614	#
12	9735	#
12	9623	#
12	9578	#
12	9733	#
12	9637	#
12	9788	#
12	9666	#
12	9714	#
12	9775	#
12	9574	#
12	9820	#
12	9796	#
12	10284	#
12	9815	#
12	9783	#
12	9704	#
12	9755	#
12	9197	#
12	9681	#
12	9712	#
12	9763	#
12	9716	#
12	9737	#
12	9738	#
12	9737	#
12	9188	#
12	9628	#
12	9771	#
12	9720	#
12	9971	#
12	9709	#
12	9849	#
12	9674	#
12	9760	#
12	9629	#
12	9782	#
13	10350	#
13	10336	#
13	10187	#
13	9781	#
13	10267	#
13	10368	#
13	10333	#
13	10068	#
13	10399	#
13	10321	#
13	10362	#
13	10291	#
13	10459	#
13	10077	#
13	10396	#
13	10524	#
13	10352	#
13	10033	#
13	9820	#
13	9780	#
13	10362	#
13	10336	#
13	10410	#
13	10376	#
13	10031	#
13	10125	#
13	10284	#
13	10168	#
13	10282	#
13	10371	#
13	10060	#
13	10359	#
13	10391	#
13	10205	#
13	10362	#
13	10426	#
13	10162	#
13	10315	#
13	10370	#
13	10373	#
13	10365	#
13	10362	#
13	10167	#
13	10214	#
13	10080	#
13	9795	#
13	9987	#
13	9775	#
13	10254	#
13	10102	#
13	10363	#
14	10735	#
14	10742	#
14	11204	#
14	10640	#
14	10647	#
14	10592	#
14	10626	#
14	10731	#
14	10730	#
14	10619	#
14	10626	#
14	10644	#
14	10144	#
14	10145	#
14	10730	#
14	10775	#
14	10692	#
14	10856	#
14	10738	#
14	10708	#
14	10702	#
14	10646	#
14	10350	#
14	10737	#
14	10629	#
14	10728	#
14	10651	#
14	11271	#
14	10622	#
14	10356	#
14	10596	#
14	10770	#
14	10152	#
14	10361	#
14	10444	#
14	10503	#
14	10742	#
14	10360	#
14	10775	#
14	10725	#
14	10791	#
14	10711	#
14	10560	#
14	10768	#
14	10734	#
14	10717	#
14	10545	#
14	10730	#
14	10342	#
14	10158	#
14	10728	#
15	10888	#
15	10984	#
15	10393	#
15	10743	#
15	10972	#
15	11004	#
15	10954	#
15	10858	#
15	10972	#
15	11020	#
15	10946	#
15	10890	#
15	10776	#
15	11536	#
15	10975	#
15	10998	#
15	11249	#
15	10404	#
15	10973	#
15	10963	#
15	10995	#
15	10807	#
15	10611	#
15	10884	#
15	10975	#
15	10568	#
15	10981	#
15	10860	#
15	10992	#
15	10953	#
15	10866	#
15	10392	#
15	10993	#
15	11005	#
15	10953	#
15	10910	#
15	10888	#
15	11022	#
15	10808	#
15	11009	#
15	10620	#
15	10924	#
15	10387	#
15	10429	#
15	11022	#
15	10970	#
15	10975	#
15	10895	#
15	10982	#
15	10932	#
15	10778	#
16	11390	#
16	11516	#
16	11319	#
16	11413	#
16	11391	#
16	11426	#
16	11458	#
16	11415	#
16	11419	#
16	11007	#
16	11277	#
16	11398	#
16	11278	#
16	11401	#
16	11179	#
16	11447	#
16	11370	#
16	11543	#
16	11420	#
16	11317	#
16	11488	#
16	11480	#
16	11223	#
16	11418	#
16	11417	#
16	11462	#
16	11482	#
16	11013	#
16	11421	#
16	11238	#
16	11308	#
16	10837	#
16	11460	#
16	11471	#
16	11304	#
16	11464	#
16	11377	#
16	11391	#
16	11414	#
16	11417	#
16	10849	#
16	11419	#
16	11489	#
16	11289	#
16	11488	#
16	11424	#
16	11243	#
16	11427	#
16	11425	#
16	11302	#
16	10836	#
17	12159	#
17	12147	#
17	12026	#
17	12150	#
17	12120	#
17	12208	#
17	12037	#
17	12139	#
17	11784	#
17	12166	#
17	12256	#
17	12113	#
17	11590	#
17	12194	#
17	11869	#
17	11571	#
17	11833	#
17	12144	#
17	12169	#
17	12161	#
17	12220	#
17	12125	#
17	11980	#
17	11569	#
17	12148	#
17	12302	#
17	12211	#
17	11570	#
17	12019	#
17	11957	#
17	11575	#
17	11572	#
17	12095	#
17	12142	#
17	12177	#
17	12028	#
17	11890	#
17	11567	#
17	12106	#
17	12131	#
17	11984	#
17	12032	#
17	12140	#
17	12151	#
17	12049	#
17	11863	#
17	12148	#
17	11927	#
17	11796	#
17	12141	#
17	11963	#
18	12815	#
18	12780	#
18	12786	#
18	12819	#
18	12243	#
18	12783	#
18	12878	#
18	12705	#
18	12883	#
18	12777	#
18	12244	#
18	12631	#
18	12246	#
18	12709	#
18	12803	#
18	12737	#
18	12818	#
18	12831	#
18	12546	#
18	12818	#
18	12798	#
18	12802	#
18	12603	#
18	12734	#
18	12655	#
18	12660	#
18	12244	#
18	12711	#
18	12247	#
18	12789	#
18	12819	#
18	12259	#
18	12803	#
18	12473	#
18	12814	#
18	12837	#
18	12711	#
18	12708	#
18	12710	#
18	12833	#
18	12540	#
18	12810	#
18	13387	#
18	12673	#
18	12812	#
18	12979	#
18	12795	#
18	12806	#
18	12655	#
18	12822	#
18	12813	#
19	13423	#
19	13391	#
19	13419	#
19	13268	#
19	13404	#
19	12868	#
19	13338	#
19	13389	#
19	13312	#
19	13400	#
19	13376	#
19	13399	#
19	13264	#
19	13433	#
19	13398	#
19	13254	#
19	13396	#
19	13413	#
19	13212	#
19	13406	#
19	13312	#
19	13404	#
19	13408	#
19	13388	#
19	13440	#
19	12874	#
19	13329	#
19	13334	#
19	13279	#
19	13276	#
19	13448	#
19	13380	#
19	13265	#
19	13290	#
19	13432	#
19	13394	#
19	13397	#
19	13400	#
19	13410	#
19	13304	#
19	13402	#
19	13402	#
19	13379	#
19	13280	#
19	13339	#
19	13257	#
19	13375	#
19	13346	#
19	13403	#
19	13443	#
19	13401	#
20	14018	#
20	14568	#
20	14483	#
20	14551	#
20	14572	#
20	14430	#
20	14492	#
20	14485	#
20	14535	#
20	14582	#
20	14561	#
20	14375	#
20	14544	#
20	14536	#
20	14544	#
20	14569	#
20	14508	#
20	14561	#
20	14576	#
20	14570	#
20	14666	#
20	14564	#
20	14444	#
20	14518	#
20	14468	#
20	14477	#
20	14343	#
20	14032	#
20	14568	#
20	14632	#
20	14499	#
20	14558	#
20	14478	#
20	14596	#
20	14597	#
20	14495	#
20	14569	#
20	14660	#
20	14510	#
20	14609	#
20	14022	#
20	14582	#
20	14433	#
20	14570	#
20	14598	#
20	14504	#
20	14423	#
20	14537	#
20	14017	#
20	14585	#
20	14446	#
21	15051	#
21	15057	#
21	15012	#
21	15404	#
21	15090	#
21	15106	#
21	14595	#
21	14981	#
21	15040	#
21	15124	#
21	15132	#
21	14579	#
21	15114	#
21	15152	#
21	14842	#
21	15106	#
21	15016	#
21	15069	#
21	15064	#
21	15111	#
21	14583	#
21	15018	#
21	15159	#
21	14576	#
21	15047	#
21	14593	#
21	14578	#
21	14768	#
21	15164	#
21	15160	#
21	15056	#
21	15056	#
21	15125	#
21	15230	#
21	15166	#
21	15126	#
21	15051	#
21	15003	#
21	14948	#
21	15098	#
21	14591	#
21	14602	#
21	15049	#
21	15136	#
21	15069	#
21	15140	#
21	15139	#
21	15057	#
21	15116	#
21	15080	#
21	15172	#
22	15540	#
22	15024	#
22	15493	#
22	15542	#
22	15447	#
22	15458	#
22	15029	#
22	15043	#
22	15576	#
22	15570	#
22	15568	#
22	15642	#
22	15026	#
22	15553	#
22	15485	#
22	15489	#
22	15041	#
22	15498	#
22	15549	#
22	15562	#
22	15024	#
22	15587	#
22	15603	#
22	15586	#
22	15548	#
22	15600	#
22	15605	#
22	15036	#
22	15423	#
22	15543	#
22	15393	#
22	15493	#
22	15408	#
22	15069	#
22	15024	#
22	15577	#
22	15489	#
22	15475	#
22	15039	#
22	15492	#
22	15560	#
22	15844	#
22	15518	#
22	15490	#
22	15564	#
22	15422	#
22	15586	#
22	15457	#
22	15600	#
22	15409	#
22	15597	#
23	16005	#
23	16019	#
23	16014	#
23	15984	#
23	16023	#
23	15479	#
23	15998	#
23	16032	#
23	15888	#
23	16044	#
23	15465	#
23	15862	#
23	15490	#
23	15875	#
23	15688	#
23	15921	#
23	15483	#
23	15470	#
23	15707	#
23	15954	#
23	15843	#
23	15918	#
23	15921	#
23	16030	#
23	16038	#
23	15802	#
23	15921	#
23	15816	#
23	15983	#
23	15891	#
23	15951	#
23	15469	#
23	15917	#
23	16104	#
23	15475	#
23	15477	#
23	16007	#
23	15953	#
23	15460	#
23	15857	#
23	16040	#
23	15920	#
23	15832	#
23	16014	#
23	15462	#
23	15957	#
23	15479	#
23	15987	#
23	16001	#
23	16047	#
23	15507	#
24	16353	#
24	16314	#
24	16351	#
24	16214	#
24	15794	#
24	16284	#
