Number of genomes	Pan genome
1	1901	#
1	2085	#
1	2126	#
1	1872	#
1	1979	#
1	1891	#
1	1910	#
1	1888	#
1	1914	#
2	3787	#
2	3970	#
2	3980	#
2	4014	#
2	3680	#
2	3726	#
2	3748	#
2	3878	#
2	4061	#
2	3992	#
2	3771	#
2	3680	#
2	3954	#
2	4022	#
2	3973	#
2	3717	#
2	3774	#
2	3515	#
2	3790	#
2	3515	#
2	3809	#
2	3757	#
2	3526	#
2	4011	#
2	4102	#
2	3813	#
2	4033	#
2	3995	#
2	3841	#
2	3534	#
2	3816	#
2	3206	#
2	3730	#
2	4037	#
2	2823	#
2	3996	#
3	5629	#
3	5638	#
3	5808	#
3	5372	#
3	5375	#
3	5359	#
3	5139	#
3	5414	#
3	5365	#
3	5803	#
3	5616	#
3	5939	#
3	5579	#
3	5656	#
3	5638	#
3	5608	#
3	5906	#
3	5511	#
3	5414	#
3	5812	#
3	5839	#
3	5715	#
3	4785	#
3	5433	#
3	4692	#
3	5353	#
3	5673	#
3	5387	#
3	5886	#
3	5897	#
3	5349	#
3	5329	#
3	4718	#
3	5371	#
3	5880	#
3	5803	#
3	5867	#
3	4711	#
3	5762	#
3	5848	#
3	5890	#
3	5830	#
3	5849	#
3	5853	#
3	5955	#
3	5647	#
3	5909	#
3	4799	#
3	5964	#
3	5997	#
3	5856	#
4	7494	#
4	7491	#
4	7038	#
4	7286	#
4	7552	#
4	6971	#
4	7432	#
4	7766	#
4	7859	#
4	7724	#
4	6986	#
4	7544	#
4	7488	#
4	7224	#
4	6624	#
4	7454	#
4	7457	#
4	6577	#
4	7223	#
4	7706	#
4	7750	#
4	7431	#
4	6955	#
4	6335	#
4	7274	#
4	7656	#
4	7834	#
4	7248	#
4	7138	#
4	7495	#
4	7792	#
4	7569	#
4	7698	#
4	7610	#
4	7498	#
4	7476	#
4	6628	#
4	6602	#
4	7126	#
4	6617	#
4	7258	#
4	6813	#
4	7733	#
4	6636	#
4	6586	#
4	7615	#
4	7655	#
4	6354	#
4	7792	#
4	7588	#
4	7264	#
5	9463	#
5	8895	#
5	8774	#
5	9377	#
5	8471	#
5	8326	#
5	8885	#
5	9225	#
5	8240	#
5	8488	#
5	9383	#
5	8179	#
5	8307	#
5	8195	#
5	8720	#
5	9050	#
5	8533	#
5	9335	#
5	8191	#
5	8444	#
5	9251	#
5	8737	#
5	9505	#
5	9042	#
5	9094	#
5	9529	#
5	9406	#
5	9109	#
5	8269	#
5	8761	#
5	9032	#
5	8440	#
5	9367	#
5	9341	#
5	8821	#
5	9117	#
5	8352	#
5	9027	#
5	9266	#
5	9405	#
5	8716	#
5	8712	#
5	9329	#
5	9062	#
5	9022	#
5	8936	#
5	9551	#
5	9389	#
5	8169	#
5	8394	#
5	8452	#
6	11104	#
6	10610	#
6	10656	#
6	10225	#
6	10281	#
6	10388	#
6	9855	#
6	9770	#
6	9943	#
6	11100	#
6	11009	#
6	10220	#
6	9633	#
6	10299	#
6	9517	#
6	10089	#
6	9944	#
6	10246	#
6	9948	#
6	10989	#
6	10824	#
6	9853	#
6	10346	#
6	11142	#
6	11146	#
6	9471	#
6	11119	#
6	10530	#
6	10614	#
6	9963	#
6	11259	#
6	9806	#
6	10652	#
6	10947	#
6	10986	#
6	10079	#
6	10308	#
6	9458	#
6	10944	#
6	9968	#
6	11099	#
6	10641	#
6	10116	#
6	10086	#
6	10593	#
6	10468	#
6	10636	#
6	10831	#
6	10103	#
6	11161	#
6	10322	#
7	11348	#
7	11562	#
7	12718	#
7	11842	#
7	11365	#
7	11857	#
7	11084	#
7	12193	#
7	11700	#
7	12404	#
7	11682	#
7	11557	#
7	11227	#
7	11037	#
7	12425	#
7	12217	#
7	12091	#
7	12175	#
7	11997	#
7	12235	#
7	11685	#
7	11527	#
7	11705	#
7	11019	#
7	12755	#
7	12050	#
7	11331	#
7	12713	#
7	11867	#
7	12362	#
7	11838	#
7	11206	#
7	12760	#
7	11837	#
7	11352	#
7	12383	#
8	13456	#
8	13986	#
8	13451	#
8	12913	#
8	12931	#
8	12788	#
8	13100	#
8	13944	#
8	13121	#
9	14682	#
	#
