Number of genomes	Number of gene families
1	3312
2	890
3	505
4	344
5	238
6	213
7	242
8	216
9	189
10	139
11	96
12	107
13	81
14	67
15	59
16	67
17	56
18	42
19	54
20	40
21	45
22	45
23	52
24	35
25	32
26	26
27	18
28	33
29	26
30	23
31	12
32	16
33	23
34	28
35	18
36	11
37	25
38	8
39	14
40	21
41	18
42	11
43	12
44	9
45	15
46	14
47	11
48	9
49	17
50	8
51	11
52	13
53	8
54	9
55	8
56	17
57	17
58	21
59	5
60	7
61	10
62	15
63	18
64	11
65	9
66	11
67	9
68	4
69	8
70	12
71	12
72	8
73	10
74	13
75	13
76	6
77	7
78	10
79	17
80	19
81	20
82	18
83	20
84	34
85	54
86	72
87	201
88	856
