Number of genomes	Pan genome
1	3912	#
1	3950	#
1	4065	#
1	3803	#
1	4078	#
1	3855	#
1	4023	#
1	3886	#
1	4032	#
1	3844	#
1	4128	#
1	4061	#
1	4117	#
1	3878	#
1	4019	#
1	4034	#
1	3862	#
1	4086	#
1	4135	#
1	3772	#
1	4020	#
1	4078	#
1	4087	#
1	4072	#
1	4058	#
1	3741	#
1	4062	#
1	3858	#
1	4119	#
1	4033	#
1	4007	#
1	3805	#
1	4040	#
1	3942	#
1	4031	#
1	4071	#
1	4072	#
1	4073	#
1	4057	#
1	3851	#
1	4060	#
1	4012	#
1	3914	#
1	4055	#
1	3838	#
1	3888	#
1	3796	#
1	4030	#
1	3989	#
1	4108	#
1	4098	#
2	4317	#
2	4204	#
2	4197	#
2	4235	#
2	4265	#
2	4319	#
2	4101	#
2	4206	#
2	3947	#
2	4253	#
2	4306	#
2	4105	#
2	4223	#
2	4287	#
2	4162	#
2	4004	#
2	4267	#
2	4156	#
2	4161	#
2	4122	#
2	4232	#
2	4231	#
2	4117	#
2	4216	#
2	4009	#
2	4353	#
2	4266	#
2	4282	#
2	4172	#
2	4265	#
2	4231	#
2	4238	#
2	4238	#
2	4264	#
2	4092	#
2	4117	#
2	4201	#
2	4238	#
2	4244	#
2	4111	#
2	4225	#
2	4210	#
2	4118	#
2	4233	#
2	4229	#
2	4216	#
2	4209	#
2	4188	#
2	4222	#
2	4155	#
2	4270	#
3	4283	#
3	4229	#
3	4351	#
3	4231	#
3	4304	#
3	4229	#
3	4261	#
3	4284	#
3	4228	#
3	4327	#
3	4305	#
3	4270	#
3	4282	#
3	4229	#
3	4260	#
3	4320	#
3	4269	#
3	4341	#
3	4336	#
3	4214	#
3	4280	#
3	4220	#
3	4318	#
3	4378	#
3	4163	#
3	4122	#
3	4283	#
3	4347	#
3	4269	#
3	4295	#
3	4331	#
3	4239	#
3	4169	#
3	4268	#
3	4088	#
3	4231	#
3	4270	#
3	4302	#
3	4227	#
3	4288	#
3	4321	#
3	4199	#
3	4284	#
3	4313	#
3	4100	#
3	4315	#
3	4211	#
3	4304	#
3	4435	#
3	4231	#
3	4246	#
4	4434	#
4	4311	#
4	4439	#
4	4364	#
4	4446	#
4	4465	#
4	4311	#
4	4375	#
4	4318	#
4	4347	#
4	4370	#
4	4438	#
4	4410	#
4	4413	#
