#Genomes with additional copies compared to other genomes
#Homology group identifier, number of additional copies compared to the lowest number in a homology group (at least 1).

#Genome 1
Core
 7374829, 1
 7380166, 1
 7380695, 1
 7380864, 1
 7380874, 1
 7380877, 1
 7380880, 1

Accessory
 7374443, 1
 7375365, 4
 7375570, 1
 7375571, 1
 7377439, 1
 7378621, 1
 7378996, 1
 7379098, 1
 7379099, 1
 7379550, 6
 7379845, 1
 7381988, 1

#Genome 2
Core
 7374524, 1
 7376329, 1
 7377293, 1
 7378238, 1
 7379100, 1
 7379139, 1
 7380144, 1
 7380166, 1

Accessory
 7375692, 1
 7376479, 1
 7379550, 7
 7381166, 1
 7382453, 6
 7382457, 7
 7382492, 1
 7382623, 1
 7383415, 1
 7383421, 1
 7383713, 1
 7384025, 1
 7384125, 1

#Genome 3
Core
 7378575, 1
 7379139, 1
 7380166, 1

Accessory
 7374915, 2
 7376877, 1
 7378621, 1
 7379098, 1
 7379099, 1
 7379550, 6
 7380943, 1
 7382116, 2
 7385177, 1
 7385242, 2
 7385243, 2
 7385277, 1
 7385354, 1
 7385356, 2
 7385503, 1
 7385781, 1

#Genome 4
Core
 7377161, 1
 7378811, 1
 7380166, 1

Accessory
 7375579, 1
 7376744, 1
 7376999, 1
 7378621, 1
 7379550, 5
 7379551, 1
 7379845, 1
 7381985, 1
 7381994, 1
 7386919, 2
 7386921, 2
 7386922, 2
 7386923, 2
 7386928, 2
 7387159, 1
 7387283, 1
 7387286, 1
 7387287, 1
 7387289, 1
 7387973, 1
 7387974, 1
 7387975, 1
 7387983, 1
 7387984, 1
 7387985, 1
 7387986, 1
 7387987, 1

#Genome 5
Core
 7374022, 1
 7378144, 1
 7380144, 1
 7380166, 1

Accessory
 7374914, 4
 7374916, 2
 7375052, 1
 7379550, 7
 7383474, 1
 7384309, 1
 7385046, 1
 7385277, 7
 7388394, 1
 7388449, 1
 7388753, 1
 7388846, 1
 7389158, 1

#Genome 6
Core
 7374382, 1
 7374471, 1
 7375006, 1
 7377194, 1
 7379139, 1
 7379547, 1
 7379709, 1
 7380166, 1
 7380352, 1
 7380615, 1

Accessory
 7375464, 1
 7375467, 1
 7375471, 1
 7375475, 1
 7375573, 1
 7375830, 1
 7378375, 1
 7378621, 1
 7379550, 5
 7379798, 1
 7384703, 1
 7389606, 2
 7389607, 2
 7390155, 3
 7390158, 1

#Genome 7
Core
 7375849, 1
 7379139, 1
 7379445, 1
 7379446, 1
 7380166, 1

Accessory
 7374915, 2
 7376764, 1
 7379550, 7
 7379811, 1
 7379813, 1
 7381994, 2
 7385046, 1
 7385278, 2
 7388204, 1
 7388374, 1
 7388382, 1
 7390369, 1
 7390399, 1
 7390400, 1
 7390407, 1
 7390408, 1
 7390409, 1
 7390410, 1
 7390411, 1
 7390412, 3
 7390413, 1

#Genome 8
Core
 7373981, 1
 7374524, 1
 7374610, 1
 7374730, 2
 7374836, 1
 7375271, 1
 7376109, 1
 7376902, 1
 7376963, 1
 7377438, 1
 7378182, 1
 7378464, 1
 7378905, 1
 7379139, 1
 7379416, 1
 7379561, 1
 7379625, 1
 7379935, 1
 7380166, 1
 7380466, 1
 7380472, 1
 7380977, 1
 7381173, 1
 7381195, 1
 7381224, 1
 7381287, 1
 7381723, 1

Accessory
 7375694, 1
 7376938, 1
 7377733, 1
 7378181, 1
 7378478, 1
 7379550, 5
 7380424, 1
 7380886, 1
 7381203, 1
 7383322, 1
 7383652, 1
 7383970, 1
 7384540, 1
 7384698, 4
 7384703, 4
 7384856, 1
 7384896, 1
 7385003, 1
 7385045, 1
 7390889, 1
 7390973, 2
 7390975, 4
 7390993, 1
 7391145, 1
 7391301, 1

#Genome 9
Core
 7374019, 1
 7378561, 1
 7379139, 1
 7380144, 1
 7380166, 1
 7380371, 1

Accessory
 7379550, 7
 7382415, 1
 7383113, 1
 7384133, 1
 7384791, 1
 7391490, 3
 7391491, 3

#Genome 10
Core
 7376134, 1
 7378144, 1
 7378581, 1
 7379298, 1
 7380144, 1
 7380166, 1
 7381381, 2

Accessory
 7375680, 1
 7379550, 8
 7380998, 1
 7381737, 1
 7382415, 1
 7382418, 1
 7382420, 1
 7382421, 1
 7382580, 1
 7382719, 1
 7383491, 1
 7384645, 1
 7384936, 1
 7385585, 1
 7389133, 1
 7391990, 1
 7392138, 4
 7392153, 2
 7392156, 1

#Genome 11
Core
 7374829, 1
 7380166, 1
 7380695, 1
 7380864, 1
 7380874, 1
 7380877, 1
 7380880, 1

Accessory
 7374443, 1
 7375365, 4
 7375570, 1
 7375571, 1
 7377439, 1
 7378621, 1
 7378996, 1
 7379098, 1
 7379099, 1
 7379550, 6
 7379845, 1
 7381988, 1

#Genome 12
Core
 7379553, 1
 7380144, 1
 7380166, 1
 7380710, 1

Accessory
 7374625, 1
 7375577, 1
 7379550, 7
 7381994, 5
 7382118, 1
 7382619, 1
 7382749, 1
 7383625, 1
 7383986, 1
 7384363, 1
 7386075, 1
 7386496, 1
 7388190, 1
 7392719, 3
 7392722, 7
 7393338, 1

#Genome 13
Core
 7375712, 1
 7375736, 1
 7377203, 1
 7378650, 1
 7379457, 1
 7380166, 1

Accessory
 7374915, 3
 7375253, 1
 7376568, 1
 7377400, 1
 7378621, 1
 7379276, 1
 7379550, 4
 7379551, 2
 7380256, 1
 7381496, 1
 7384730, 1
 7385277, 2
 7393534, 1
 7393535, 1
 7393661, 1
 7393679, 1

#Genome 14
Core
 7377161, 1
 7378811, 1
 7380166, 1

Accessory
 7375579, 1
 7376744, 1
 7377894, 1
 7378621, 1
 7379550, 3
 7379551, 3
 7379845, 1
 7381985, 1
 7381994, 1
 7386919, 2
 7386921, 2
 7386922, 2
 7386923, 2
 7386928, 2
 7387161, 1
 7387283, 1
 7387285, 1
 7387286, 1
 7387287, 1
 7387289, 1
 7387973, 1
 7387974, 1
 7387975, 1
 7387983, 1
 7387984, 1
 7387985, 1
 7387986, 1
 7387987, 1

#Genome 15
Core
 7374022, 1
 7377290, 2
 7377293, 2
 7377295, 2
 7377301, 2
 7377302, 1
 7379139, 1
 7380144, 1
 7380166, 1

Accessory
 7376726, 1
 7377292, 2
 7377296, 2
 7377303, 1
 7379550, 7
 7382401, 1
 7383321, 2
 7383322, 2
 7383324, 2
 7383325, 2
 7394040, 1

#Genome 16
Core
 7374765, 1
 7376963, 1
 7376972, 1
 7378144, 1
 7379139, 1
 7380166, 1
 7380493, 1

Accessory
 7374916, 3
 7376800, 1
 7378321, 1
 7379375, 1
 7379550, 5
 7383586, 1
 7384103, 1
 7384376, 1
 7384496, 1
 7385046, 1
 7385277, 3
 7385779, 1
 7386456, 2
 7387270, 1
 7387338, 1
 7388473, 2
 7388741, 1
 7390737, 2
 7390973, 3
 7390975, 3
 7394042, 1
 7394355, 1
 7394413, 1
 7394422, 1
 7394423, 1
 7394424, 1
 7394425, 1
 7394426, 1
 7394531, 1
 7394542, 1
 7394557, 1

#Genome 17
Core
 7377741, 1
 7378514, 1
 7379139, 1
 7380047, 1
 7380166, 2
 7380710, 1
 7381381, 1

Accessory
 7375365, 1
 7375578, 1
 7375579, 1
 7376110, 1
 7376726, 1
 7377247, 2
 7378829, 1
 7379105, 1
 7379765, 1
 7380010, 1
 7380125, 2
 7382424, 1
 7382872, 1
 7383010, 1
 7383474, 1
 7383633, 1
 7383742, 1
 7383829, 1
 7384125, 1
 7384387, 1
 7384699, 1
 7384817, 1
 7385046, 1
 7386456, 2
 7386496, 1
 7388638, 1
 7388903, 1
 7388982, 1
 7388985, 5
 7389158, 1
 7389606, 4
 7389607, 2
 7390737, 1
 7392668, 1
 7394967, 1
 7395104, 1
 7395274, 1

#Genome 18
Core
 7379139, 1
 7380166, 1
 7380348, 1
 7380350, 1
 7380351, 1
 7380352, 1
 7380353, 1
 7380356, 1
 7380357, 1
 7380358, 1
 7380359, 1
 7380360, 1
 7380362, 1
 7380363, 2
 7380364, 1
 7380365, 1
 7380367, 1

Accessory
 7375477, 1
 7375570, 3
 7376347, 1
 7377919, 1
 7378621, 1
 7379550, 7
 7380354, 1
 7380361, 1
 7385243, 3
 7389713, 1
 7395491, 1
 7395492, 1
 7395496, 1
 7395497, 1
 7395498, 1
 7395500, 1
 7395501, 1
 7395502, 1
 7395503, 1
 7395504, 1
 7395505, 1
 7395506, 1
 7395507, 1
 7395508, 1
 7395509, 1
 7395510, 1
 7395511, 1
 7395512, 1
 7395513, 1
 7395514, 1
 7395515, 1
 7395516, 1
 7395517, 3
 7395519, 1
 7395521, 1

#Genome 19
Core
 7374829, 1
 7379747, 1
