Two overviews of homology group sizes based on number of proteins and number of genomes
#Group size based on number of proteins, occurrences
1, 12942
2, 5899
3, 3579
4, 2239
5, 1316
6, 1011
7, 706
8, 611
9, 507
10, 380
11, 340
12, 288
13, 265
14, 201
15, 200
16, 175
17, 145
18, 106
19, 147
20, 153
21, 137
22, 141
23, 186
24, 106
25, 91
26, 104
27, 119
28, 110
29, 88
30, 66
31, 78
32, 75
33, 70
34, 101
35, 366
36, 79
37, 70
38, 63
39, 51
40, 57
41, 46
42, 41
43, 39
44, 58
45, 58
46, 59
47, 103
48, 539
49, 62
50, 40
51, 31
52, 22
53, 28
54, 22
55, 29
56, 17
57, 14
58, 18
59, 10
60, 20
61, 20
62, 10
63, 17
64, 15
65, 13
66, 11
67, 13
68, 16
69, 9
70, 12
71, 18
72, 24
73, 15
74, 14
75, 25
76, 16
77, 17
78, 26
79, 20
80, 24
81, 53
82, 152
83, 2134
84, 158
85, 36
86, 15
87, 6
88, 3
89, 4
90, 1
94, 2
95, 2
96, 1
97, 1
99, 1
111, 1
130, 1
325, 1
1042, 1


#Group size based on number of genomes (maximum of 83), occurrences
1, 13123
2, 5932
3, 3549
4, 2167
5, 1288
6, 1007
7, 693
8, 601
9, 509
10, 372
11, 345
12, 278
13, 259
14, 205
15, 199
16, 170
17, 152
18, 102
19, 148
20, 151
21, 138
22, 138
23, 182
24, 106
25, 85
26, 103
27, 124
28, 101
29, 84
30, 71
31, 74
32, 78
33, 75
34, 100
35, 377
36, 69
37, 65
38, 63
39, 55
40, 51
41, 41
42, 42
43, 39
44, 55
45, 64
46, 52
47, 108
48, 574
49, 30
50, 29
51, 32
52, 21
53, 27
54, 18
55, 33
56, 17
57, 13
58, 20
59, 7
60, 19
61, 20
62, 8
63, 17
64, 14
65, 13
66, 16
67, 13
68, 14
69, 10
70, 12
71, 18
72, 24
73, 16
74, 17
75, 20
76, 16
77, 17
78, 23
79, 24
80, 22
81, 55
82, 177
83, 2336
