x,y,Category
20,20220,Dispensable
34,24582,Dispensable
55,31085,Dispensable
52,28409,Dispensable
25,23045,Dispensable
32,24341,Dispensable
72,32216,Dispensable
74,34016,Dispensable
2,4260,Core
43,2470,Core
32,22782,Dispensable
18,16859,Dispensable
19,17875,Dispensable
33,23566,Dispensable
35,25366,Dispensable
4,3357,Core
33,25125,Dispensable
37,25254,Dispensable
11,2608,Core
51,29879,Dispensable
38,26049,Dispensable
80,34870,Dispensable
41,27216,Dispensable
71,33344,Dispensable
71,33333,Dispensable
44,26550,Dispensable
11,14385,Dispensable
49,27463,Dispensable
64,32048,Dispensable
50,28753,Dispensable
14,15068,Dispensable
5,8769,Dispensable
9,12308,Dispensable
45,25422,Dispensable
48,26105,Dispensable
79,35150,Dispensable
10,11457,Dispensable
20,19040,Dispensable
30,22883,Dispensable
14,2546,Core
22,20461,Dispensable
10,13016,Dispensable
53,29425,Dispensable
76,34257,Dispensable
35,2484,Core
60,30592,Dispensable
78,34156,Dispensable
32,24330,Dispensable
80,34638,Dispensable
31,23667,Dispensable
30,20993,Dispensable
78,34134,Dispensable
75,33131,Dispensable
32,22219,Dispensable
41,25988,Dispensable
7,11089,Dispensable
63,31595,Dispensable
40,26410,Dispensable
6,9371,Dispensable
63,31264,Dispensable
6,9393,Dispensable
31,23314,Dispensable
8,11855,Dispensable
14,16962,Dispensable
5,8438,Dispensable
16,17199,Dispensable
61,31001,Dispensable
21,18287,Dispensable
54,28893,Dispensable
9,2651,Core
39,25131,Dispensable
22,2532,Core
11,12473,Dispensable
53,29756,Dispensable
6,2713,Core
47,29134,Dispensable
8,11502,Dispensable
18,16517,Dispensable
75,33484,Dispensable
41,25315,Dispensable
24,18709,Dispensable
3,3506,Dispensable
59,29784,Dispensable
71,31432,Dispensable
16,14728,Dispensable
11,13815,Dispensable
59,29464,Dispensable
27,19977,Dispensable
56,28869,Dispensable
7,2680,Core
35,25388,Dispensable
34,24560,Dispensable
31,25259,Dispensable
32,20892,Dispensable
35,25344,Dispensable
25,21111,Dispensable
64,32368,Dispensable
8,11844,Dispensable
26,20038,Dispensable
80,34892,Dispensable
72,32470,Dispensable
69,33160,Dispensable
4,2742,Core
58,30176,Dispensable
48,2433,Core
11,14363,Dispensable
25,20905,Dispensable
27,22716,Dispensable
44,28131,Dispensable
24,19268,Dispensable
75,2368,Core
51,29206,Dispensable
14,14807,Dispensable
37,23022,Dispensable
53,28094,Dispensable
71,33311,Dispensable
24,2503,Core
78,34476,Dispensable
51,27647,Dispensable
76,34235,Dispensable
42,2391,Core
74,34049,Dispensable
8,3615,Core
67,32713,Dispensable
4,7726,Dispensable
33,25445,Dispensable
68,31938,Dispensable
30,22552,Dispensable
29,23163,Dispensable
14,16719,Dispensable
24,20360,Dispensable
3,5738,Dispensable
58,31507,Dispensable
60,30261,Dispensable
69,32954,Dispensable
43,27788,Dispensable
47,29454,Dispensable
27,21010,Dispensable
5,8449,Dispensable
47,29167,Dispensable
49,27794,Dispensable
8,11557,Dispensable
57,30712,Dispensable
60,30327,Dispensable
15,16040,Dispensable
43,27115,Dispensable
45,27356,Dispensable
68,32188,Dispensable
10,13347,Dispensable
17,16281,Dispensable
51,30706,Dispensable
56,30277,Dispensable
52,30071,Dispensable
60,30890,Dispensable
20,20595,Dispensable
5,7085,Dispensable
2,4717,Dispensable
21,18232,Dispensable
20,20264,Dispensable
23,19517,Dispensable
27,23242,Dispensable
80,34605,Dispensable
59,30313,Dispensable
78,34101,Dispensable
32,2492,Core
13,15637,Dispensable
61,31674,Dispensable
67,33029,Dispensable
7,10773,Dispensable
44,26594,Dispensable
61,30817,Dispensable
9,12573,Dispensable
9,12959,Dispensable
27,20826,Dispensable
13,14582,Dispensable
73,33883,Dispensable
37,25210,Dispensable
68,2350,Core
81,35003,Dispensable
61,31321,Dispensable
75,33771,Dispensable
35,26719,Dispensable
45,29213,Dispensable
66,32245,Dispensable
6,9691,Dispensable
10,15248,Dispensable
60,31945,Dispensable
2,4314,Core
11,2554,Core
75,32925,Dispensable
13,13736,Dispensable
2,4429,Core
14,12840,Dispensable
74,33700,Dispensable
33,23886,Dispensable
55,29346,Dispensable
78,34178,Dispensable
43,27380,Dispensable
13,15648,Dispensable
54,28948,Dispensable
35,23774,Dispensable
8,11899,Dispensable
27,20837,Dispensable
35,25068,Dispensable
45,27632,Dispensable
8,12083,Dispensable
40,24939,Dispensable
67,31680,Dispensable
14,16984,Dispensable
65,32869,Dispensable
49,27761,Dispensable
7,10442,Dispensable
76,33709,Dispensable
36,24536,Dispensable
45,27301,Dispensable
62,30160,Dispensable
70,34163,Dispensable
6,11305,Dispensable
8,13138,Dispensable
57,30767,Dispensable
22,20527,Dispensable
68,32111,Dispensable
71,33046,Dispensable
18,16771,Dispensable
80,34550,Dispensable
52,30082,Dispensable
11,12219,Dispensable
77,33427,Dispensable
21,18243,Dispensable
14,16311,Dispensable
18,2617,Core
49,28849,Dispensable
3,7617,Dispensable
35,22928,Dispensable
52,30159,Dispensable
30,24475,Dispensable
7,12354,Dispensable
50,2431,Core
69,33248,Dispensable
38,24159,Dispensable
39,25473,Dispensable
57,32006,Dispensable
15,17768,Dispensable
45,27621,Dispensable
60,30294,Dispensable
62,31811,Dispensable
40,24928,Dispensable
3,4396,Dispensable
8,2630,Core
68,32464,Dispensable
68,32453,Dispensable
66,32267,Dispensable
32,22837,Dispensable
53,30627,Dispensable
2,3088,Dispensable
42,26386,Dispensable
31,21788,Dispensable
70,32648,Dispensable
31,2525,Core
14,16631,Dispensable
8,11237,Dispensable
23,20951,Dispensable
70,34207,Dispensable
48,26127,Dispensable
75,33186,Dispensable
4,7980,Dispensable
24,20680,Dispensable
13,15317,Dispensable
50,30150,Dispensable
58,28360,Dispensable
62,32392,Dispensable
69,32601,Dispensable
29,23185,Dispensable
67,32735,Dispensable
32,22771,Dispensable
4,2857,Core
57,30105,Dispensable
35,25333,Dispensable
37,25530,Dispensable
36,24216,Dispensable
69,32932,Dispensable
36,24150,Dispensable
43,25854,Dispensable
39,27043,Dispensable
37,23375,Dispensable
63,32926,Dispensable
61,31078,Dispensable
29,21273,Dispensable
11,12484,Dispensable
16,17144,Dispensable
79,34646,Dispensable
70,32582,Dispensable
49,28507,Dispensable
58,30496,Dispensable
50,28400,Dispensable
80,34936,Dispensable
24,19180,Dispensable
46,2462,Core
17,17369,Dispensable
74,33733,Dispensable
15,17128,Dispensable
26,19101,Dispensable
35,25631,Dispensable
63,32308,Dispensable
16,16232,Dispensable
26,18553,Dispensable
15,16117,Dispensable
19,17908,Dispensable
22,20196,Dispensable
44,2420,Core
17,14799,Dispensable
4,3490,Core
75,33859,Dispensable
42,23474,Dispensable
4,7428,Dispensable
28,23434,Dispensable
20,19426,Dispensable
34,25637,Dispensable
9,13937,Dispensable
5,3307,Core
60,31625,Dispensable
68,32431,Dispensable
52,27354,Dispensable
46,29758,Dispensable
12,16445,Dispensable
72,32834,Dispensable
18,17010,Dispensable
10,11082,Dispensable
10,2658,Core
10,14645,Dispensable
45,27069,Dispensable
2,5210,Dispensable
8,11259,Dispensable
9,10363,Dispensable
27,20506,Dispensable
29,21891,Dispensable
48,27723,Dispensable
28,2516,Core
25,21762,Dispensable
27,19679,Dispensable
37,24408,Dispensable
79,33999,Dispensable
62,31094,Dispensable
73,34199,Dispensable
6,10592,Dispensable
35,23730,Dispensable
52,30788,Dispensable
6,10570,Dispensable
61,30078,Dispensable
6,10338,Dispensable
13,2596,Core
28,20533,Dispensable
30,2460,Core
46,28736,Dispensable
7,12034,Dispensable
34,22703,Dispensable
5,2763,Core
9,12275,Dispensable
60,30625,Dispensable
23,20631,Dispensable
27,2556,Core
75,34087,Dispensable
49,2454,Core
62,30844,Dispensable
32,2431,Core
56,30222,Dispensable
15,15216,Dispensable
15,2567,Core
15,15238,Dispensable
45,26720,Dispensable
65,32218,Dispensable
28,24324,Dispensable
12,2629,Core
31,2471,Core
51,30651,Dispensable
43,26380,Dispensable
75,33837,Dispensable
65,31781,Dispensable
11,13859,Dispensable
24,22669,Dispensable
7,11034,Dispensable
63,31540,Dispensable
74,2361,Core
41,25933,Dispensable
2,5883,Dispensable
8,11800,Dispensable
67,33316,Dispensable
50,29356,Dispensable
81,35069,Dispensable
20,19680,Dispensable
21,18861,Dispensable
65,31516,Dispensable
79,34326,Dispensable
8,10259,Dispensable
63,32562,Dispensable
37,24651,Dispensable
41,25282,Dispensable
70,32615,Dispensable
26,2545,Core
43,25258,Dispensable
21,2511,Core
7,2734,Core
18,17032,Dispensable
45,26808,Dispensable
76,34202,Dispensable
18,18043,Dispensable
39,25793,Dispensable
44,27638,Dispensable
30,21717,Dispensable
65,32516,Dispensable
23,21830,Dispensable
43,26909,Dispensable
64,32666,Dispensable
49,27849,Dispensable
39,25219,Dispensable
76,33301,Dispensable
81,35058,Dispensable
37,23640,Dispensable
73,33938,Dispensable
37,26563,Dispensable
81,35014,Dispensable
29,24130,Dispensable
38,25777,Dispensable
81,34808,Dispensable
58,31441,Dispensable
4,7660,Dispensable
31,22700,Dispensable
22,19314,Dispensable
44,27870,Dispensable
59,2411,Core
78,34774,Dispensable
41,2485,Core
50,29069,Dispensable
79,34624,Dispensable
3,3336,Core
2,4375,Core
14,14752,Dispensable
30,21585,Dispensable
63,30418,Dispensable
76,34180,Dispensable
71,32807,Dispensable
10,12700,Dispensable
27,21683,Dispensable
69,32634,Dispensable
17,16049,Dispensable
63,32198,Dispensable
66,2419,Core
47,28939,Dispensable
59,31170,Dispensable
39,26506,Dispensable
46,27802,Dispensable
63,30286,Dispensable
64,32699,Dispensable
7,11056,Dispensable
63,31562,Dispensable
41,25955,Dispensable
59,30666,Dispensable
69,33535,Dispensable
51,30011,Dispensable
33,21621,Dispensable
3,6584,Dispensable
12,13831,Dispensable
55,30140,Dispensable
16,16883,Dispensable
32,24429,Dispensable
73,33530,Dispensable
64,32004,Dispensable
18,17065,Dispensable
47,27277,Dispensable
54,30301,Dispensable
55,29699,Dispensable
50,27929,Dispensable
50,29720,Dispensable
20,17216,Dispensable
72,34040,Dispensable
17,17336,Dispensable
64,31114,Dispensable
62,31072,Dispensable
78,33895,Dispensable
6,9117,Dispensable
18,16804,Dispensable
10,11700,Dispensable
64,31291,Dispensable
53,29105,Dispensable
14,14112,Dispensable
39,25506,Dispensable
15,14878,Dispensable
16,2521,Core
38,26016,Dispensable
54,30808,Dispensable
41,26977,Dispensable
51,29184,Dispensable
55,29975,Dispensable
2,1794,Dispensable
46,28052,Dispensable
75,34219,Dispensable
12,13555,Dispensable
22,19347,Dispensable
51,29559,Dispensable
62,30182,Dispensable
51,27923,Dispensable
34,22085,Dispensable
21,18618,Dispensable
50,27422,Dispensable
63,30683,Dispensable
38,27965,Dispensable
42,27585,Dispensable
51,28173,Dispensable
54,29860,Dispensable
2,4982,Dispensable
7,11828,Dispensable
74,32755,Dispensable
7,11806,Dispensable
12,14588,Dispensable
80,34572,Dispensable
77,34692,Dispensable
24,20768,Dispensable
50,28455,Dispensable
73,33287,Dispensable
73,33265,Dispensable
76,33941,Dispensable
4,7020,Dispensable
32,23043,Dispensable
47,2483,Core
62,32745,Dispensable
8,12436,Dispensable
30,21706,Dispensable
20,18249,Dispensable
59,31192,Dispensable
33,22268,Dispensable
52,30777,Dispensable
61,29615,Dispensable
54,30974,Dispensable
80,34318,Dispensable
13,15196,Dispensable
64,31787,Dispensable
69,2371,Core
70,32880,Dispensable
30,21971,Dispensable
52,27376,Dispensable
79,34359,Dispensable
60,31647,Dispensable
10,13612,Dispensable
41,28360,Dispensable
36,25856,Dispensable
2,3009,Core
12,15081,Dispensable
19,18169,Dispensable
72,32801,Dispensable
1,5536,Core
10,14634,Dispensable
3,3896,Core
21,17706,Dispensable
64,32942,Dispensable
23,17903,Dispensable
2,2033,Dispensable
31,25226,Dispensable
66,31719,Dispensable
39,25771,Dispensable
77,2339,Core
60,31140,Dispensable
13,17097,Dispensable
54,30058,Dispensable
46,26802,Dispensable
80,34307,Dispensable
47,2473,Core
43,25898,Dispensable
27,21032,Dispensable
33,23268,Dispensable
38,24391,Dispensable
35,24730,Dispensable
59,30931,Dispensable
33,24533,Dispensable
47,29189,Dispensable
55,29964,Dispensable
11,14098,Dispensable
48,28900,Dispensable
49,29386,Dispensable
79,34602,Dispensable
77,34405,Dispensable
43,27137,Dispensable
62,30833,Dispensable
45,27334,Dispensable
68,32166,Dispensable
10,13369,Dispensable
3,4508,Core
13,14019,Dispensable
30,2450,Core
8,10623,Dispensable
45,28588,Dispensable
32,23219,Dispensable
7,10089,Dispensable
65,32395,Dispensable
8,12414,Dispensable
14,16190,Dispensable
55,28765,Dispensable
56,29781,Dispensable
58,30617,Dispensable
22,19932,Dispensable
54,30952,Dispensable
24,21360,Dispensable
75,34363,Dispensable
79,34039,Dispensable
79,34492,Dispensable
4,8704,Dispensable
45,26323,Dispensable
20,18382,Dispensable
54,29772,Dispensable
75,2382,Core
27,22385,Dispensable
52,29531,Dispensable
8,2568,Core
12,13919,Dispensable
81,34996,Dispensable
23,2495,Core
74,33115,Dispensable
70,33229,Dispensable
42,25772,Dispensable
46,27118,Dispensable
32,23683,Dispensable
14,14046,Dispensable
33,24235,Dispensable
10,12016,Dispensable
13,14703,Dispensable
17,16733,Dispensable
65,32163,Dispensable
19,2523,Core
49,29805,Dispensable
63,32496,Dispensable
55,30074,Dispensable
64,31489,Dispensable
13,2586,Core
67,33713,Dispensable
3,2782,Core
60,31007,Dispensable
72,33569,Dispensable
23,20223,Dispensable
36,24900,Dispensable
8,10612,Dispensable
36,23470,Dispensable
16,15618,Dispensable
7,10078,Dispensable
59,31644,Dispensable
14,14156,Dispensable
37,24232,Dispensable
51,28625,Dispensable
36,26812,Dispensable
69,32182,Dispensable
57,2430,Core
79,34028,Dispensable
29,23957,Dispensable
55,30195,Dispensable
20,18393,Dispensable
55,30173,Dispensable
26,21369,Dispensable
72,33448,Dispensable
22,21362,Dispensable
50,30602,Dispensable
51,28504,Dispensable
74,33336,Dispensable
17,18546,Dispensable
64,2401,Core
61,30464,Dispensable
57,30061,Dispensable
5,9449,Dispensable
40,25873,Dispensable
18,17506,Dispensable
44,27782,Dispensable
6,10724,Dispensable
35,24686,Dispensable
13,16615,Dispensable
68,33188,Dispensable
43,28115,Dispensable
3,2947,Dispensable
6,9801,Dispensable
13,16935,Dispensable
54,29794,Dispensable
14,15730,Dispensable
47,28222,Dispensable
54,30621,Dispensable
10,12457,Dispensable
22,21108,Dispensable
60,31228,Dispensable
36,23679,Dispensable
60,31151,Dispensable
10,14016,Dispensable
73,33905,Dispensable
5,9416,Dispensable
8,11083,Dispensable
16,15938,Dispensable
51,26746,Dispensable
63,32595,Dispensable
81,34974,Dispensable
47,28101,Dispensable
67,31713,Dispensable
19,17081,Dispensable
58,30948,Dispensable
66,32918,Dispensable
80,2348,Core
2,5618,Dispensable
58,30529,Dispensable
18,16065,Dispensable
3,3954,Core
31,22457,Dispensable
33,24213,Dispensable
61,32233,Dispensable
29,21935,Dispensable
40,27697,Dispensable
7,10177,Dispensable
14,17631,Dispensable
58,30761,Dispensable
3,4727,Dispensable
33,24147,Dispensable
18,19341,Dispensable
47,28233,Dispensable
27,20219,Dispensable
3,2815,Dispensable
