x,y,Category
34,24582,Dispensable
69,35716,Total
10,17584,Total
25,23045,Dispensable
47,30788,Total
26,25016,Total
5,9265,Total
74,34016,Dispensable
2,4260,Core
65,34308,Total
56,32548,Total
52,31071,Total
55,31799,Total
33,23566,Dispensable
33,25125,Dispensable
20,21965,Total
58,34070,Total
37,25254,Dispensable
51,29879,Dispensable
5,10856,Total
18,22376,Total
80,34870,Dispensable
71,33344,Dispensable
71,33333,Dispensable
75,36579,Total
49,27463,Dispensable
72,36130,Total
5,8769,Dispensable
45,25422,Dispensable
48,26105,Dispensable
12,17453,Total
63,34439,Total
30,22883,Dispensable
22,20461,Dispensable
13,18202,Total
35,2484,Core
35,26724,Total
60,30592,Dispensable
78,34156,Dispensable
6,13327,Total
75,33131,Dispensable
9,13986,Total
41,25988,Dispensable
53,33559,Total
6,9371,Dispensable
63,31264,Dispensable
10,15862,Total
14,16962,Dispensable
34,27604,Total
61,31001,Dispensable
9,2651,Core
33,26855,Total
39,25131,Dispensable
13,17220,Total
22,2532,Core
54,33592,Total
80,36879,Total
53,29756,Dispensable
6,2713,Core
75,33484,Dispensable
26,22312,Total
64,34193,Total
15,16442,Total
3,3506,Dispensable
71,31432,Dispensable
11,13815,Dispensable
59,29464,Dispensable
27,19977,Dispensable
56,28869,Dispensable
64,34472,Total
7,2680,Core
26,23982,Total
33,24190,Total
35,25388,Dispensable
31,25259,Dispensable
32,20892,Dispensable
35,25344,Dispensable
24,22499,Total
69,34734,Total
64,32368,Dispensable
26,20038,Dispensable
20,20983,Total
4,2742,Core
28,23851,Total
58,30176,Dispensable
48,2433,Core
11,14363,Dispensable
27,22716,Dispensable
44,28131,Dispensable
65,35500,Total
73,35914,Total
75,2368,Core
53,28094,Dispensable
24,2503,Core
18,21301,Total
76,34235,Dispensable
10,14949,Total
43,29178,Total
67,32713,Dispensable
4,7726,Dispensable
11,14716,Total
17,21813,Total
17,19015,Total
25,23806,Total
47,29454,Dispensable
27,21010,Dispensable
47,29167,Dispensable
37,25611,Total
57,30712,Dispensable
60,30327,Dispensable
49,30657,Total
6,12066,Total
43,27115,Dispensable
55,30724,Total
10,13347,Dispensable
17,16281,Dispensable
68,34688,Total
8,13462,Total
24,22778,Total
51,30706,Dispensable
52,30071,Dispensable
35,27706,Total
60,30890,Dispensable
20,20595,Dispensable
29,27639,Total
22,20852,Total
2,4717,Dispensable
28,23572,Total
66,35323,Total
80,34605,Dispensable
42,30204,Total
78,34101,Dispensable
13,15637,Dispensable
7,10773,Dispensable
49,30322,Total
23,22062,Total
13,14582,Dispensable
55,33694,Total
11,16438,Total
37,25210,Dispensable
55,31185,Total
68,2350,Core
75,33771,Dispensable
4,10611,Total
