x,y,Category,Metric
4,-485.51,Core,Average
4,1420.23,Accessory,Average
4,575.00,Unique,Average
5,-221.94,Core,Average
5,990.34,Accessory,Average
5,490.94,Unique,Average
6,-111.64,Core,Average
6,797.89,Accessory,Average
6,418.90,Unique,Average
7,-73.29,Core,Average
7,643.09,Accessory,Average
7,407.64,Unique,Average
8,-37.32,Core,Average
8,565.89,Accessory,Average
8,355.45,Unique,Average
9,-29.70,Core,Average
9,489.82,Accessory,Average
9,355.56,Unique,Average
10,-25.11,Core,Average
10,470.75,Accessory,Average
10,309.94,Unique,Average
11,-19.14,Core,Average
11,412.30,Accessory,Average
11,330.41,Unique,Average
12,-13.06,Core,Average
12,395.60,Accessory,Average
12,270.09,Unique,Average
13,-12.34,Core,Average
13,383.96,Accessory,Average
13,279.13,Unique,Average
14,-10.22,Core,Average
14,352.00,Accessory,Average
14,256.14,Unique,Average
15,-9.77,Core,Average
15,356.72,Accessory,Average
15,240.35,Unique,Average
16,-9.09,Core,Average
16,340.30,Accessory,Average
16,232.85,Unique,Average
17,-8.48,Core,Average
17,330.11,Accessory,Average
17,232.60,Unique,Average
18,-7.81,Core,Average
18,328.60,Accessory,Average
18,217.20,Unique,Average
19,-7.05,Core,Average
19,322.10,Accessory,Average
19,170.47,Unique,Average
20,-6.62,Core,Average
20,295.17,Accessory,Average
20,213.78,Unique,Average
21,-6.68,Core,Average
21,295.77,Accessory,Average
21,188.82,Unique,Average
22,-6.07,Core,Average
22,297.34,Accessory,Average
22,177.04,Unique,Average
23,-5.93,Core,Average
23,298.19,Accessory,Average
23,155.09,Unique,Average
24,-5.68,Core,Average
24,280.76,Accessory,Average
24,172.46,Unique,Average
25,-5.24,Core,Average
25,287.55,Accessory,Average
25,140.62,Unique,Average
26,-5.31,Core,Average
26,286.64,Accessory,Average
26,131.18,Unique,Average
27,-5.15,Core,Average
27,263.57,Accessory,Average
27,151.47,Unique,Average
28,-4.61,Core,Average
28,269.72,Accessory,Average
28,115.33,Unique,Average
29,-4.54,Core,Average
29,255.43,Accessory,Average
29,127.28,Unique,Average
30,-4.51,Core,Average
30,261.19,Accessory,Average
30,101.65,Unique,Average
31,-4.21,Core,Average
31,250.62,Accessory,Average
31,106.91,Unique,Average
32,-4.27,Core,Average
32,251.11,Accessory,Average
32,108.81,Unique,Average
33,-4.24,Core,Average
33,249.40,Accessory,Average
33,101.43,Unique,Average
34,-4.06,Core,Average
34,247.95,Accessory,Average
34,97.48,Unique,Average
35,-3.94,Core,Average
35,242.67,Accessory,Average
35,87.16,Unique,Average
36,-3.86,Core,Average
36,244.33,Accessory,Average
36,85.51,Unique,Average
37,-3.94,Core,Average
37,242.28,Accessory,Average
37,96.00,Unique,Average
38,-3.58,Core,Average
38,241.70,Accessory,Average
38,81.21,Unique,Average
39,-3.61,Core,Average
39,231.73,Accessory,Average
39,83.07,Unique,Average
40,-3.69,Core,Average
40,225.04,Accessory,Average
40,90.84,Unique,Average
41,-3.21,Core,Average
41,223.83,Accessory,Average
41,65.62,Unique,Average
42,-3.27,Core,Average
42,225.54,Accessory,Average
42,52.51,Unique,Average
43,-3.24,Core,Average
43,227.69,Accessory,Average
43,52.24,Unique,Average
44,-3.39,Core,Average
44,225.48,Accessory,Average
44,55.00,Unique,Average
45,-3.07,Core,Average
45,213.43,Accessory,Average
45,57.18,Unique,Average
46,-3.13,Core,Average
46,221.07,Accessory,Average
46,47.85,Unique,Average
47,-3.12,Core,Average
47,209.61,Accessory,Average
47,66.71,Unique,Average
48,-3.03,Core,Average
48,206.30,Accessory,Average
48,49.24,Unique,Average
49,-3.02,Core,Average
49,194.13,Accessory,Average
49,61.33,Unique,Average
50,-2.96,Core,Average
50,205.40,Accessory,Average
50,57.42,Unique,Average
51,-2.98,Core,Average
51,198.61,Accessory,Average
51,59.37,Unique,Average
52,-2.94,Core,Average
52,196.54,Accessory,Average
52,44.77,Unique,Average
53,-2.75,Core,Average
53,191.64,Accessory,Average
53,35.07,Unique,Average
54,-2.81,Core,Average
54,193.48,Accessory,Average
54,42.84,Unique,Average
55,-2.75,Core,Average
55,191.69,Accessory,Average
55,37.60,Unique,Average
56,-2.47,Core,Average
56,189.22,Accessory,Average
56,34.74,Unique,Average
57,-2.59,Core,Average
57,190.11,Accessory,Average
57,26.30,Unique,Average
58,-2.68,Core,Average
58,181.80,Accessory,Average
58,45.90,Unique,Average
59,-2.52,Core,Average
59,186.35,Accessory,Average
59,28.63,Unique,Average
60,-2.73,Core,Average
60,180.67,Accessory,Average
60,45.98,Unique,Average
61,-2.52,Core,Average
61,185.75,Accessory,Average
61,17.89,Unique,Average
62,-2.62,Core,Average
62,178.00,Accessory,Average
62,38.16,Unique,Average
63,-2.43,Core,Average
63,186.12,Accessory,Average
63,13.78,Unique,Average
64,-2.39,Core,Average
64,169.84,Accessory,Average
64,31.42,Unique,Average
65,-2.40,Core,Average
65,180.93,Accessory,Average
65,13.87,Unique,Average
66,-2.48,Core,Average
66,162.38,Accessory,Average
66,33.41,Unique,Average
67,-2.40,Core,Average
67,172.54,Accessory,Average
67,26.10,Unique,Average
68,-2.37,Core,Average
68,171.04,Accessory,Average
68,26.32,Unique,Average
69,-2.41,Core,Average
69,175.90,Accessory,Average
69,9.20,Unique,Average
70,-2.53,Core,Average
70,166.48,Accessory,Average
70,18.10,Unique,Average
71,-2.23,Core,Average
71,154.61,Accessory,Average
71,25.85,Unique,Average
72,-2.17,Core,Average
72,162.14,Accessory,Average
72,5.27,Unique,Average
73,-2.38,Core,Average
73,162.59,Accessory,Average
73,15.81,Unique,Average
74,-2.29,Core,Average
74,162.72,Accessory,Average
74,12.59,Unique,Average
75,-2.23,Core,Average
75,164.83,Accessory,Average
75,25.15,Unique,Average
76,-2.25,Core,Average
76,152.84,Accessory,Average
76,23.39,Unique,Average
77,-2.24,Core,Average
77,148.76,Accessory,Average
77,12.31,Unique,Average
78,-2.15,Core,Average
78,159.39,Accessory,Average
78,11.29,Unique,Average
