x,y,Category,Metric
4,-166.00,Core,Median
4,1573.00,Accessory,Median
5,-65.00,Core,Median
5,1210.00,Accessory,Median
6,-41.00,Core,Median
6,1087.00,Accessory,Median
7,-27.00,Core,Median
7,971.00,Accessory,Median
8,-18.00,Core,Median
8,886.00,Accessory,Median
9,-15.00,Core,Median
9,799.00,Accessory,Median
10,-12.00,Core,Median
10,734.00,Accessory,Median
11,-10.00,Core,Median
11,709.00,Accessory,Median
12,-9.00,Core,Median
12,615.00,Accessory,Median
13,-8.00,Core,Median
13,633.00,Accessory,Median
14,-6.00,Core,Median
14,569.00,Accessory,Median
15,-6.00,Core,Median
15,561.00,Accessory,Median
16,-6.00,Core,Median
16,541.00,Accessory,Median
17,-5.00,Core,Median
17,531.00,Accessory,Median
18,-5.00,Core,Median
18,517.00,Accessory,Median
19,-4.00,Core,Median
19,458.00,Accessory,Median
20,-4.00,Core,Median
20,467.00,Accessory,Median
21,-4.00,Core,Median
21,440.00,Accessory,Median
22,-4.00,Core,Median
22,425.00,Accessory,Median
23,-3.00,Core,Median
23,422.00,Accessory,Median
24,-3.00,Core,Median
24,404.00,Accessory,Median
25,-3.00,Core,Median
25,402.00,Accessory,Median
26,-3.00,Core,Median
26,382.00,Accessory,Median
27,-3.00,Core,Median
27,370.00,Accessory,Median
28,-2.00,Core,Median
28,349.00,Accessory,Median
29,-3.00,Core,Median
29,352.00,Accessory,Median
30,-2.00,Core,Median
30,332.00,Accessory,Median
31,-2.00,Core,Median
31,326.00,Accessory,Median
32,-2.00,Core,Median
32,332.00,Accessory,Median
33,-2.00,Core,Median
33,323.00,Accessory,Median
34,-2.00,Core,Median
34,310.00,Accessory,Median
35,-2.00,Core,Median
35,311.00,Accessory,Median
36,-2.00,Core,Median
36,309.00,Accessory,Median
37,-2.00,Core,Median
37,309.00,Accessory,Median
38,-2.00,Core,Median
38,307.00,Accessory,Median
39,-2.00,Core,Median
39,292.00,Accessory,Median
40,-2.00,Core,Median
40,286.00,Accessory,Median
41,-2.00,Core,Median
41,263.00,Accessory,Median
42,-2.00,Core,Median
42,260.00,Accessory,Median
43,-2.00,Core,Median
43,262.00,Accessory,Median
44,-2.00,Core,Median
44,260.00,Accessory,Median
45,-1.00,Core,Median
45,244.00,Accessory,Median
46,-1.00,Core,Median
46,245.00,Accessory,Median
47,-2.00,Core,Median
47,254.00,Accessory,Median
48,-1.00,Core,Median
48,231.00,Accessory,Median
49,-1.00,Core,Median
49,232.00,Accessory,Median
50,-1.00,Core,Median
50,244.00,Accessory,Median
51,-1.00,Core,Median
51,233.00,Accessory,Median
52,-1.00,Core,Median
52,206.00,Accessory,Median
53,-1.00,Core,Median
53,185.00,Accessory,Median
54,-1.00,Core,Median
54,221.00,Accessory,Median
55,-1.00,Core,Median
55,192.00,Accessory,Median
56,-1.00,Core,Median
56,197.00,Accessory,Median
57,-1.00,Core,Median
57,175.00,Accessory,Median
58,-1.00,Core,Median
58,184.00,Accessory,Median
59,-1.00,Core,Median
59,172.00,Accessory,Median
60,-1.00,Core,Median
60,193.00,Accessory,Median
61,-1.00,Core,Median
61,150.00,Accessory,Median
62,-1.00,Core,Median
62,176.00,Accessory,Median
63,-1.00,Core,Median
63,134.00,Accessory,Median
64,-1.00,Core,Median
64,165.00,Accessory,Median
65,-1.00,Core,Median
65,148.00,Accessory,Median
66,-1.00,Core,Median
66,143.00,Accessory,Median
67,-1.00,Core,Median
67,134.00,Accessory,Median
68,-1.00,Core,Median
68,158.00,Accessory,Median
69,-1.00,Core,Median
69,122.00,Accessory,Median
70,-1.00,Core,Median
70,129.00,Accessory,Median
71,-1.00,Core,Median
71,123.00,Accessory,Median
72,-1.00,Core,Median
72,108.00,Accessory,Median
73,-1.00,Core,Median
73,118.00,Accessory,Median
74,-1.00,Core,Median
74,119.00,Accessory,Median
75,-1.00,Core,Median
75,152.00,Accessory,Median
76,-1.00,Core,Median
76,119.00,Accessory,Median
77,-1.00,Core,Median
77,100.00,Accessory,Median
78,-1.00,Core,Median
78,108.00,Accessory,Median
79,-1.00,Core,Median
79,115.00,Accessory,Median
80,-1.00,Core,Median
80,109.00,Accessory,Median
81,-1.00,Core,Median
81,116.00,Accessory,Median
82,-1.00,Core,Median
82,108.00,Accessory,Median
83,-1.00,Core,Median
83,108.00,Accessory,Median
84,-1.00,Core,Median
84,97.00,Accessory,Median
