x,y,Category
14,5915,Dispensable
6,3309,Dispensable
13,5431,Dispensable
22,9658,Dispensable
13,5668,Dispensable
19,7396,Dispensable
3,5,Core
16,5692,Dispensable
15,6870,Dispensable
20,8793,Dispensable
30,11944,Dispensable
23,9905,Dispensable
25,10652,Dispensable
18,8574,Dispensable
27,10893,Dispensable
16,7135,Dispensable
2,1121,Dispensable
15,6649,Dispensable
20,8440,Dispensable
23,10764,Dispensable
18,8221,Dispensable
20,8677,Dispensable
30,12183,Dispensable
21,8819,Dispensable
9,3675,Dispensable
21,8935,Dispensable
12,4829,Dispensable
12,4934,Dispensable
17,6299,Dispensable
18,8105,Dispensable
18,8116,Dispensable
22,9316,Dispensable
3,1721,Dispensable
3,1605,Dispensable
17,7619,Dispensable
27,10319,Dispensable
27,10308,Dispensable
17,7724,Dispensable
17,7735,Dispensable
27,10435,Dispensable
4,2102,Dispensable
33,12732,Dispensable
22,7851,Dispensable
3,1710,Dispensable
13,5442,Dispensable
13,5679,Dispensable
25,10310,Dispensable
32,11843,Dispensable
13,5657,Dispensable
19,7385,Dispensable
22,9432,Dispensable
26,9824,Dispensable
26,9802,Dispensable
29,10654,Dispensable
30,11933,Dispensable
16,7240,Dispensable
20,8208,Dispensable
29,10770,Dispensable
16,7262,Dispensable
29,10792,Dispensable
16,7124,Dispensable
9,3322,Dispensable
20,8346,Dispensable
24,9093,Dispensable
14,6496,Dispensable
15,6638,Dispensable
18,8447,Dispensable
23,8585,Dispensable
14,6143,Dispensable
14,6281,Dispensable
22,9763,Dispensable
22,9785,Dispensable
31,12844,Dispensable
32,11727,Dispensable
13,5795,Dispensable
14,6049,Dispensable
25,9682,Dispensable
10,3611,Dispensable
28,11324,Dispensable
26,9940,Dispensable
14,5700,Dispensable
19,7374,Dispensable
25,10321,Dispensable
25,10514,Dispensable
27,10562,Dispensable
27,10755,Dispensable
30,11966,Dispensable
13,5100,Dispensable
24,8970,Dispensable
12,4807,Dispensable
15,6776,Dispensable
16,7113,Dispensable
6,3210,Dispensable
12,5046,Dispensable
11,4472,Dispensable
19,8727,Dispensable
15,6627,Dispensable
10,4192,Dispensable
18,8210,Dispensable
30,12172,Dispensable
15,6969,Dispensable
21,8946,Dispensable
18,6684,Dispensable
8,4417,Dispensable
18,8254,Dispensable
8,4428,Dispensable
26,10094,Dispensable
17,6277,Dispensable
21,7488,Dispensable
18,8127,Dispensable
25,9897,Dispensable
3,1732,Dispensable
3,1627,Dispensable
4,2113,Dispensable
4,2124,Dispensable
16,7582,Dispensable
22,9443,Dispensable
25,9886,Dispensable
25,10525,Dispensable
31,12717,Dispensable
10,3644,Dispensable
28,11688,Dispensable
19,9275,Dispensable
22,9101,Dispensable
27,10766,Dispensable
12,5195,Dispensable
21,9163,Dispensable
18,6982,Dispensable
21,9069,Dispensable
19,8832,Dispensable
23,10659,Dispensable
8,3191,Dispensable
6,3221,Dispensable
2,1154,Dispensable
21,9025,Dispensable
27,10860,Dispensable
15,6721,Dispensable
2,1110,Dispensable
2,936,Dispensable
15,4820,Dispensable
19,8738,Dispensable
21,8615,Dispensable
23,10753,Dispensable
20,8473,Dispensable
18,6888,Dispensable
23,8596,Dispensable
3,24,Core
15,6434,Dispensable
25,9417,Dispensable
