x,y,Category
21,8622,Total
13,5668,Dispensable
19,7396,Dispensable
3,5,Core
10,4262,Total
8,3212,Total
30,11944,Dispensable
31,11548,Total
23,9905,Dispensable
11,5593,Total
18,8574,Dispensable
9,4822,Total
26,11248,Total
16,7135,Dispensable
30,10799,Total
2,1121,Dispensable
23,9614,Total
30,10706,Total
25,10499,Total
18,8221,Dispensable
21,8343,Total
20,8677,Dispensable
30,12183,Dispensable
25,9903,Total
21,8819,Dispensable
20,9664,Total
9,3675,Dispensable
11,5500,Total
23,9056,Total
8,3584,Total
12,4934,Dispensable
17,6299,Dispensable
27,10368,Total
31,11827,Total
3,1605,Dispensable
17,7619,Dispensable
27,10435,Dispensable
6,2871,Total
22,7851,Dispensable
13,5679,Dispensable
30,12080,Total
32,11843,Dispensable
13,5657,Dispensable
19,7385,Dispensable
22,9432,Dispensable
26,9824,Dispensable
26,9802,Dispensable
29,10654,Dispensable
5,2628,Total
4,2210,Total
25,10778,Total
13,5882,Total
17,8569,Total
30,11933,Dispensable
6,3202,Total
18,7899,Total
15,6595,Total
21,9325,Total
6,3295,Total
16,7124,Dispensable
30,11061,Total
9,3322,Dispensable
20,8346,Dispensable
3,1636,Total
24,9647,Total
32,12018,Total
19,8579,Total
15,7577,Total
23,8585,Dispensable
9,3909,Total
14,6281,Dispensable
30,11409,Total
22,9763,Dispensable
18,8161,Total
22,9785,Dispensable
14,6049,Dispensable
25,9682,Dispensable
33,12157,Total
17,7587,Total
10,5281,Total
18,6160,Total
27,11387,Total
25,9624,Total
8,4231,Total
14,5700,Dispensable
19,7374,Dispensable
25,10514,Dispensable
30,11446,Total
26,10160,Total
27,10755,Dispensable
30,11966,Dispensable
3,1530,Total
24,8970,Dispensable
15,6776,Dispensable
16,7113,Dispensable
15,6558,Total
20,8310,Total
21,7975,Total
11,4472,Dispensable
19,8727,Dispensable
19,7597,Total
10,4926,Total
18,8210,Dispensable
30,12172,Dispensable
5,2280,Total
15,5892,Total
18,6684,Dispensable
18,8254,Dispensable
30,11167,Total
7,2811,Total
33,12436,Total
17,6277,Dispensable
21,7488,Dispensable
14,6804,Total
21,9604,Total
3,1357,Total
32,11687,Total
3,1627,Dispensable
19,8194,Total
22,9443,Dispensable
26,10508,Total
25,11146,Total
25,10525,Dispensable
10,4820,Total
10,4647,Total
31,12717,Dispensable
19,9275,Dispensable
15,5855,Total
22,9101,Dispensable
27,10766,Dispensable
19,7491,Total
12,5195,Dispensable
18,6982,Dispensable
21,9069,Dispensable
23,10659,Dispensable
8,3191,Dispensable
14,6246,Total
9,4264,Total
29,11256,Total
2,1154,Dispensable
15,7800,Total
21,9025,Dispensable
30,12043,Total
33,12715,Total
15,6721,Dispensable
2,1110,Dispensable
15,4820,Dispensable
19,8738,Dispensable
32,11966,Total
20,8087,Total
8,3268,Total
23,8596,Dispensable
15,6434,Dispensable
25,9417,Dispensable
14,6292,Dispensable
9,3840,Total
32,12669,Total
10,5244,Total
19,8802,Total
29,10832,Total
22,9674,Total
20,7384,Total
30,12149,Total
11,4959,Total
28,11219,Dispensable
15,6837,Total
14,6016,Dispensable
9,4543,Total
23,9986,Total
29,11535,Total
21,8449,Total
33,12925,Dispensable
12,5217,Total
22,7779,Total
25,9373,Dispensable
29,10974,Dispensable
27,10262,Total
4,2251,Dispensable
12,5140,Dispensable
13,6250,Total
10,3771,Dispensable
10,4597,Total
20,9050,Total
25,10845,Dispensable
19,8523,Total
2,1165,Dispensable
9,4878,Total
24,8992,Dispensable
26,11142,Total
21,9014,Dispensable
23,8894,Dispensable
20,8379,Dispensable
6,3116,Dispensable
19,7352,Dispensable
16,7132,Total
20,8788,Total
24,8650,Dispensable
2,1045,Total
32,12391,Dispensable
17,7884,Dispensable
22,9916,Total
9,4599,Total
10,4225,Total
25,10021,Total
9,4649,Total
31,11163,Total
27,10468,Dispensable
3,1638,Dispensable
15,7192,Total
26,9868,Dispensable
26,9846,Dispensable
22,8320,Total
31,12145,Total
8,4181,Total
20,8015,Dispensable
17,6741,Total
17,7939,Dispensable
32,11929,Total
11,4029,Total
20,8368,Dispensable
24,9286,Dispensable
12,5291,Total
19,7341,Dispensable
26,10123,Total
13,5028,Dispensable
28,10749,Total
31,12424,Total
5,2206,Total
25,9428,Dispensable
11,4869,Dispensable
30,10972,Total
11,4163,Dispensable
2,958,Total
12,5570,Total
26,11700,Total
27,10126,Dispensable
9,4506,Total
17,7542,Dispensable
8,3318,Total
13,5613,Dispensable
25,10951,Total
15,6173,Total
21,7746,Total
32,11810,Dispensable
17,7211,Dispensable
18,6508,Total
30,11613,Dispensable
16,7466,Dispensable
26,10495,Total
9,3803,Total
21,9345,Dispensable
32,11898,Dispensable
15,5998,Total
14,6668,Total
22,9079,Total
25,9308,Total
