x,y,Category,Metric
4,-20.53,Core,Average
4,55.59,Accessory,Average
4,466.99,Unique,Average
5,-3.86,Core,Average
5,47.10,Accessory,Average
5,446.15,Unique,Average
6,-1.28,Core,Average
6,61.83,Accessory,Average
6,409.60,Unique,Average
7,-0.70,Core,Average
7,66.08,Accessory,Average
7,387.47,Unique,Average
8,-0.52,Core,Average
8,70.84,Accessory,Average
8,372.92,Unique,Average
9,-0.26,Core,Average
9,74.97,Accessory,Average
9,366.77,Unique,Average
10,-0.23,Core,Average
10,88.31,Accessory,Average
10,335.71,Unique,Average
11,-0.16,Core,Average
11,78.92,Accessory,Average
11,338.15,Unique,Average
12,-0.15,Core,Average
12,88.22,Accessory,Average
12,316.57,Unique,Average
13,-0.11,Core,Average
13,97.06,Accessory,Average
13,293.34,Unique,Average
14,-0.10,Core,Average
14,104.93,Accessory,Average
14,272.02,Unique,Average
15,-0.05,Core,Average
15,94.28,Accessory,Average
15,285.11,Unique,Average
16,-0.05,Core,Average
16,90.22,Accessory,Average
16,275.10,Unique,Average
17,-0.05,Core,Average
17,95.11,Accessory,Average
17,269.74,Unique,Average
18,-0.05,Core,Average
18,85.05,Accessory,Average
18,277.11,Unique,Average
19,-0.03,Core,Average
19,85.51,Accessory,Average
19,289.11,Unique,Average
20,-0.03,Core,Average
20,95.17,Accessory,Average
20,260.67,Unique,Average
21,-0.02,Core,Average
21,86.40,Accessory,Average
21,255.95,Unique,Average
22,-0.01,Core,Average
22,86.87,Accessory,Average
22,262.25,Unique,Average
23,-0.02,Core,Average
23,87.57,Accessory,Average
23,245.64,Unique,Average
24,-0.01,Core,Average
24,73.68,Accessory,Average
24,262.31,Unique,Average
25,-0.01,Core,Average
25,84.07,Accessory,Average
25,237.88,Unique,Average
26,-0.01,Core,Average
26,75.99,Accessory,Average
26,262.32,Unique,Average
27,-0.01,Core,Average
27,83.56,Accessory,Average
27,234.28,Unique,Average
28,-0.01,Core,Average
28,74.40,Accessory,Average
28,255.67,Unique,Average
29,-0.01,Core,Average
29,80.84,Accessory,Average
29,232.33,Unique,Average
30,-0.00,Core,Average
30,75.67,Accessory,Average
30,229.74,Unique,Average
31,-0.00,Core,Average
31,79.65,Accessory,Average
31,241.64,Unique,Average
32,-0.00,Core,Average
32,69.73,Accessory,Average
32,247.52,Unique,Average
33,-0.00,Core,Average
33,67.97,Accessory,Average
33,253.30,Unique,Average
34,-0.00,Core,Average
34,76.07,Accessory,Average
34,236.94,Unique,Average
35,0.00,Core,Average
35,75.98,Accessory,Average
35,228.49,Unique,Average
36,0.00,Core,Average
36,77.34,Accessory,Average
36,223.90,Unique,Average
