x,y,Category,Metric
4,-1.00,Core,Median
4,561.00,Accessory,Median
5,0.00,Core,Median
5,543.00,Accessory,Median
6,0.00,Core,Median
6,538.00,Accessory,Median
7,0.00,Core,Median
7,526.00,Accessory,Median
8,0.00,Core,Median
8,521.00,Accessory,Median
9,0.00,Core,Median
9,521.00,Accessory,Median
10,0.00,Core,Median
10,519.00,Accessory,Median
11,0.00,Core,Median
11,514.00,Accessory,Median
12,0.00,Core,Median
12,510.00,Accessory,Median
13,0.00,Core,Median
13,505.00,Accessory,Median
14,0.00,Core,Median
14,499.00,Accessory,Median
15,0.00,Core,Median
15,502.00,Accessory,Median
16,0.00,Core,Median
16,499.00,Accessory,Median
17,0.00,Core,Median
17,489.00,Accessory,Median
18,0.00,Core,Median
18,453.00,Accessory,Median
19,0.00,Core,Median
19,489.00,Accessory,Median
20,0.00,Core,Median
20,453.00,Accessory,Median
21,0.00,Core,Median
21,453.00,Accessory,Median
22,0.00,Core,Median
22,453.00,Accessory,Median
23,0.00,Core,Median
23,449.00,Accessory,Median
24,0.00,Core,Median
24,450.00,Accessory,Median
25,0.00,Core,Median
25,388.00,Accessory,Median
26,0.00,Core,Median
26,449.00,Accessory,Median
27,0.00,Core,Median
27,386.00,Accessory,Median
28,0.00,Core,Median
28,389.00,Accessory,Median
29,0.00,Core,Median
29,386.00,Accessory,Median
30,0.00,Core,Median
30,381.00,Accessory,Median
31,0.00,Core,Median
31,388.00,Accessory,Median
32,0.00,Core,Median
32,386.00,Accessory,Median
33,0.00,Core,Median
33,386.00,Accessory,Median
34,0.00,Core,Median
34,386.00,Accessory,Median
35,0.00,Core,Median
35,380.00,Accessory,Median
36,0.00,Core,Median
36,380.00,Accessory,Median
