Two overviews of homology group sizes based on number of proteins and number of genomes
#Group size based on number of proteins, occurrences
1, 1765
2, 746
3, 524
4, 341
5, 257
6, 171
7, 150
8, 140
9, 110
10, 94
11, 90
12, 79
13, 63
14, 45
15, 40
16, 30
17, 54
18, 56
19, 57
20, 31
21, 27
22, 27
23, 63
24, 26
25, 32
26, 22
27, 24
28, 14
29, 14
30, 22
31, 22
32, 18
33, 11
34, 11
35, 10
36, 11
37, 14
38, 14
39, 11
40, 11
41, 18
42, 27
43, 8
44, 9
45, 8
46, 6
47, 13
48, 13
49, 12
50, 2
51, 4
52, 10
53, 8
54, 41
55, 19
56, 12
57, 12
58, 9
59, 12
60, 11
61, 12
62, 12
63, 10
64, 6
65, 9
66, 7
67, 5
68, 3
69, 8
70, 2
71, 8
72, 5
73, 9
74, 5
75, 4
76, 9
77, 8
78, 6
79, 5
80, 11
81, 7
82, 5
83, 6
84, 2
85, 7
86, 9
87, 3
88, 8
89, 1
90, 3
91, 3
92, 4
93, 4
94, 2
95, 4
96, 3
97, 5
98, 2
99, 4
100, 11
101, 6
102, 4
103, 1
105, 3
106, 2
107, 2
108, 2
109, 2
110, 2
111, 3
112, 5
113, 3
114, 5
115, 4
116, 2
117, 3
118, 3
119, 2
120, 3
121, 3
122, 5
123, 2
124, 3
125, 6
126, 2
127, 4
128, 3
129, 1
130, 1
131, 3
132, 3
133, 2
135, 1
136, 4
137, 1
139, 3
140, 1
141, 1
142, 4
144, 2
145, 3
146, 1
147, 1
148, 1
149, 1
150, 1
151, 1
152, 1
154, 1
155, 5
157, 3
158, 5
159, 1
161, 1
162, 1
163, 2
164, 4
165, 1
166, 1
168, 2
169, 2
170, 3
171, 1
172, 1
173, 2
174, 1
175, 3
176, 3
177, 5
178, 1
179, 1
180, 2
181, 4
182, 2
184, 2
187, 1
190, 2
191, 1
193, 1
194, 2
195, 2
196, 1
197, 1
198, 1
200, 2
202, 2
203, 4
204, 1
206, 2
207, 2
208, 1
209, 1
210, 1
212, 1
213, 3
215, 1
217, 1
218, 3
219, 2
220, 3
221, 2
222, 4
223, 8
224, 11
225, 12
226, 9
227, 5
228, 7
229, 5
230, 9
231, 24
232, 35
233, 90
234, 906
235, 125
236, 25
237, 11
238, 3
239, 2
241, 1
242, 2
243, 3
244, 1
245, 2
247, 1
248, 2
249, 1
250, 1
251, 1
254, 1
255, 1
284, 1
286, 1
290, 1
291, 1
440, 1
578, 1


#Group size based on number of genomes (maximum of 234), occurrences
1, 1788
2, 755
3, 520
4, 337
5, 255
6, 172
7, 138
8, 151
9, 107
10, 98
11, 94
12, 81
13, 46
14, 46
15, 39
16, 34
17, 56
18, 58
19, 56
20, 30
21, 38
22, 30
23, 62
24, 24
25, 32
26, 20
27, 20
28, 15
29, 18
30, 20
31, 14
32, 16
33, 12
34, 13
35, 10
36, 14
37, 10
38, 15
39, 11
40, 10
41, 17
42, 25
43, 7
44, 9
45, 8
46, 9
47, 12
48, 8
49, 11
50, 2
51, 7
52, 7
53, 8
54, 45
55, 17
56, 14
57, 10
58, 10
59, 12
60, 12
61, 14
62, 8
63, 10
64, 9
65, 4
66, 6
67, 6
68, 2
69, 9
70, 5
71, 7
72, 5
73, 15
74, 7
75, 3
76, 8
77, 9
78, 7
79, 4
80, 7
81, 3
82, 3
83, 15
84, 1
85, 1
86, 6
87, 3
88, 9
89, 3
90, 1
91, 5
92, 2
93, 9
94, 2
95, 9
96, 1
97, 7
98, 8
99, 6
100, 6
101, 4
102, 4
103, 1
104, 1
105, 3
107, 2
108, 2
109, 2
110, 2
111, 3
112, 2
113, 3
114, 4
115, 2
116, 3
117, 2
118, 3
119, 3
120, 1
121, 5
122, 3
123, 3
125, 8
126, 2
127, 5
128, 2
129, 1
130, 1
131, 3
132, 2
133, 1
135, 1
136, 2
137, 1
139, 4
140, 1
141, 1
142, 2
143, 1
144, 1
145, 2
146, 1
147, 2
148, 1
149, 1
150, 2
152, 2
154, 1
155, 5
156, 1
157, 2
159, 1
161, 2
162, 1
163, 2
164, 3
165, 1
166, 2
168, 1
169, 1
170, 5
171, 1
172, 2
173, 4
175, 5
176, 4
177, 5
178, 1
180, 3
181, 1
182, 2
184, 1
187, 1
190, 1
191, 2
193, 1
194, 3
195, 2
196, 2
197, 1
200, 2
202, 2
203, 4
204, 1
206, 2
207, 3
209, 1
210, 1
211, 1
213, 2
214, 1
215, 2
217, 1
218, 4
219, 8
220, 2
222, 5
223, 6
224, 11
225, 11
226, 8
227, 4
228, 11
229, 4
230, 10
231, 29
232, 34
233, 95
234, 1075
