x,y,Category
109,1693,Unique
141,1432,Unique
97,3119,Accessory
163,1734,Unique
6,555,Accessory
20,1260,Core
154,1558,Unique
106,3392,Accessory
170,1723,Unique
156,1517,Unique
161,1547,Unique
231,4408,Accessory
183,1849,Unique
50,1821,Unique
202,1732,Unique
27,1439,Unique
101,2945,Accessory
178,1819,Unique
3,892,Unique
97,1260,Unique
3,436,Unique
140,1520,Unique
87,2804,Accessory
153,1646,Unique
78,2795,Accessory
108,1781,Unique
119,1781,Unique
171,1635,Unique
2,1470,Core
105,1380,Unique
136,1569,Unique
171,3983,Accessory
69,1183,Unique
131,3588,Accessory
38,2139,Accessory
175,3853,Accessory
54,1604,Unique
147,1704,Unique
16,1137,Unique
35,1237,Core
87,1124,Core
118,1413,Unique
43,1971,Accessory
45,1428,Unique
181,1723,Unique
70,1158,Core
193,4145,Accessory
218,1729,Unique
139,3589,Accessory
172,1547,Unique
26,1481,Accessory
135,1657,Unique
43,1469,Unique
67,2737,Accessory
140,1687,Unique
93,3249,Accessory
30,1343,Unique
128,1594,Unique
48,1189,Core
162,1139,Core
21,1167,Unique
34,2008,Accessory
11,1079,Unique
164,1948,Unique
168,3962,Accessory
49,2197,Accessory
197,4051,Accessory
122,1531,Unique
151,3655,Accessory
58,2467,Accessory
70,2533,Accessory
160,3925,Accessory
196,1808,Unique
179,1105,Core
218,4320,Accessory
75,2957,Accessory
108,1325,Unique
12,692,Unique
66,2687,Accessory
203,1644,Unique
35,1751,Accessory
74,1175,Core
130,1599,Unique
61,2263,Accessory
23,1607,Accessory
146,1583,Unique
56,2088,Accessory
110,3202,Accessory
204,4094,Accessory
14,1130,Accessory
43,1302,Unique
182,4123,Accessory
34,1126,Unique
90,1749,Unique
122,1698,Unique
73,1505,Unique
116,3216,Accessory
229,1729,Unique
64,1329,Unique
27,1738,Accessory
131,3363,Accessory
114,3333,Accessory
128,3567,Accessory
109,1600,Unique
95,2789,Accessory
151,3691,Accessory
159,3656,Accessory
87,3052,Accessory
41,1252,Core
113,1355,Unique
111,1162,Core
176,1786,Unique
24,1038,Unique
95,1807,Unique
10,765,Unique
50,2205,Accessory
228,1817,Unique
85,1719,Unique
186,4218,Accessory
198,4101,Accessory
22,1350,Accessory
129,1715,Unique
27,804,Unique
192,4095,Accessory
26,1445,Accessory
125,1569,Unique
6,591,Accessory
39,1882,Accessory
208,1795,Unique
86,2718,Accessory
54,2336,Accessory
212,1820,Unique
186,1874,Unique
19,1554,Accessory
177,1698,Unique
135,3458,Accessory
142,3620,Accessory
109,3194,Accessory
143,3471,Accessory
74,1287,Unique
74,2664,Accessory
22,1314,Accessory
155,3786,Accessory
107,1118,Core
69,1257,Unique
139,1803,Unique
103,1630,Unique
127,3238,Accessory
38,1439,Unique
134,3400,Accessory
37,1208,Core
95,1510,Unique
211,1619,Unique
144,1833,Unique
222,4399,Accessory
22,1079,Unique
145,1671,Unique
41,1948,Accessory
60,1144,Core
103,3311,Accessory
101,1671,Unique
86,2979,Accessory
98,2862,Accessory
6,598,Unique
100,1184,Core
177,1531,Unique
33,1214,Unique
179,3984,Accessory
119,1121,Core
30,1534,Accessory
170,3897,Accessory
166,1605,Unique
74,1417,Unique
98,3205,Accessory
106,2901,Accessory
180,1811,Unique
134,1745,Unique
42,1557,Unique
189,1119,Core
19,1008,Unique
44,1190,Core
85,1422,Unique
48,1453,Unique
72,2520,Accessory
102,1885,Unique
53,1483,Unique
166,3939,Accessory
63,2642,Accessory
94,1765,Unique
195,4028,Accessory
28,1860,Accessory
17,1410,Accessory
54,2372,Accessory
67,1433,Unique
38,1142,Unique
72,1463,Unique
192,4059,Accessory
63,1287,Unique
83,2970,Accessory
9,667,Unique
122,1828,Unique
80,2740,Accessory
97,1636,Unique
199,1833,Unique
203,4157,Accessory
58,1257,Unique
46,2152,Accessory
112,1517,Unique
195,1687,Unique
227,1696,Unique
220,4255,Accessory
55,1386,Unique
43,1395,Unique
70,1104,Unique
29,1189,Unique
59,1532,Unique
199,4159,Accessory
47,1541,Unique
78,1656,Unique
151,3619,Accessory
168,1127,Core
77,1521,Unique
153,3799,Accessory
28,1054,Unique
73,1375,Unique
73,2813,Accessory
52,2453,Accessory
184,4110,Accessory
55,2422,Accessory
59,1169,Unique
162,3808,Accessory
25,1183,Unique
124,1111,Core
20,1327,Accessory
179,3948,Accessory
194,1775,Unique
102,1429,Unique
21,1206,Core
54,1474,Unique
113,1885,Unique
45,1298,Unique
108,1855,Unique
101,2981,Accessory
79,1568,Unique
213,4328,Accessory
12,822,Unique
17,762,Unique
27,1142,Unique
212,1690,Unique
102,3225,Accessory
104,1839,Unique
13,865,Accessory
103,1704,Unique
120,3174,Accessory
34,1582,Unique
174,1660,Unique
8,928,Accessory
122,3553,Accessory
215,1081,Core
137,3481,Accessory
178,1522,Unique
198,1791,Unique
145,3850,Accessory
68,2674,Accessory
173,1117,Core
19,1241,Unique
52,1571,Unique
38,1365,Unique
9,951,Unique
37,1230,Unique
223,4224,Accessory
55,1154,Core
4,1312,Core
95,1677,Unique
83,1686,Unique
173,3866,Accessory
82,1551,Unique
120,1339,Unique
39,1640,Unique
68,1345,Unique
127,3274,Accessory
189,1745,Unique
188,1610,Unique
11,952,Accessory
140,3398,Accessory
28,1589,Accessory
9,1072,Unique
111,1605,Unique
121,3467,Accessory
86,1790,Unique
65,1604,Unique
129,3617,Accessory
25,1787,Accessory
70,1634,Unique
18,830,Unique
83,1309,Unique
61,1458,Unique
135,3494,Accessory
161,3862,Accessory
185,1120,Core
141,3795,Accessory
126,1844,Unique
144,3764,Accessory
133,3314,Accessory
56,1428,Unique
156,3611,Accessory
90,1526,Unique
60,1170,Unique
229,4342,Accessory
31,1620,Accessory
106,1172,Core
117,1150,Core
153,3642,Accessory
163,1660,Unique
113,3247,Accessory
221,1633,Unique
27,1197,Core
154,1484,Unique
6,961,Unique
136,3544,Accessory
204,1100,Core
158,1630,Unique
117,3302,Accessory
133,3575,Accessory
149,1454,Unique
49,2432,Accessory
190,1099,Core
147,1495,Unique
11,754,Unique
188,4205,Accessory
168,3926,Accessory
50,1235,Unique
36,1029,Unique
95,1167,Core
125,1932,Unique
55,1516,Unique
216,1603,Unique
121,1786,Unique
35,1715,Accessory
72,2677,Accessory
159,1918,Unique
80,1438,Unique
164,1572,Unique
22,1231,Core
14,1183,Unique
37,1895,Accessory
43,1935,Accessory
116,1380,Unique
80,2897,Accessory
164,3831,Accessory
32,1913,Accessory
178,4070,Accessory
8,729,Unique
65,2394,Accessory
25,1313,Unique
50,1458,Unique
111,1452,Unique
35,1117,Unique
40,1147,Unique
45,2066,Accessory
125,3522,Accessory
196,4114,Accessory
9,747,Accessory
24,1271,Unique
15,1095,Unique
169,1630,Unique
157,1959,Unique
178,3898,Accessory
216,1696,Unique
194,4082,Accessory
184,3888,Accessory
141,1808,Unique
15,1225,Unique
60,1546,Unique
121,1540,Unique
45,1205,Unique
84,1189,Core
212,4202,Accessory
64,2507,Accessory
29,1725,Accessory
205,4180,Accessory
220,1721,Unique
5,739,Unique
13,1044,Accessory
52,2349,Accessory
56,1229,Core
184,1464,Unique
17,1139,Accessory
21,1264,Accessory
98,1548,Unique
159,1542,Unique
226,1784,Unique
185,1599,Unique
170,3821,Accessory
79,2696,Accessory
164,1869,Unique
146,1713,Unique
88,2966,Accessory
124,3540,Accessory
137,1537,Unique
213,1811,Unique
114,3500,Accessory
149,1106,Core
141,3484,Accessory
107,3050,Accessory
90,3019,Accessory
14,1257,Unique
138,1761,Unique
88,2705,Accessory
138,1812,Unique
182,1714,Unique
130,3426,Accessory
40,1510,Unique
166,4030,Accessory
31,1334,Unique
129,1585,Unique
67,1280,Unique
22,1158,Unique
48,1606,Unique
4,881,Unique
225,4368,Accessory
56,1507,Unique
142,3777,Accessory
191,4194,Accessory
84,2835,Accessory
98,1395,Unique
129,1636,Unique
137,1117,Core
108,3343,Accessory
108,1143,Core
95,1380,Unique
170,1500,Unique
99,1670,Unique
229,1808,Unique
117,1371,Unique
75,2565,Accessory
124,1578,Unique
221,4237,Accessory
160,3533,Accessory
60,2637,Accessory
20,1032,Unique
80,1801,Unique
12,1332,Core
71,1625,Unique
161,3826,Accessory
19,1162,Accessory
124,1890,Unique
160,1579,Unique
152,3556,Accessory
157,3737,Accessory
51,2367,Accessory
106,1422,Unique
48,2035,Accessory
158,3755,Accessory
2,447,Unique
45,1922,Accessory
155,1526,Unique
5,1275,Core
201,1741,Unique
57,2305,Accessory
134,1522,Unique
40,1227,Core
85,2853,Accessory
124,3269,Accessory
48,2296,Accessory
163,1813,Unique
81,2947,Accessory
16,1216,Unique
47,2513,Accessory
216,1849,Unique
140,1390,Unique
214,1867,Unique
131,3719,Accessory
114,3229,Accessory
161,1831,Unique
194,4046,Accessory
36,1652,Accessory
41,1984,Accessory
2,1653,Core
75,1408,Unique
112,1108,Core
171,3879,Accessory
124,1411,Unique
133,1754,Unique
16,1013,Accessory
169,1876,Unique
3,327,Accessory
98,1781,Unique
17,1241,Core
62,2389,Accessory
147,3733,Accessory
227,4391,Accessory
7,950,Unique
31,1696,Accessory
119,1404,Unique
53,1613,Unique
214,1700,Unique
183,1603,Unique
44,1437,Unique
162,3912,Accessory
215,4315,Accessory
58,2310,Accessory
90,1373,Unique
119,1911,Unique
184,1098,Core
98,3241,Accessory
123,1522,Unique
173,3970,Accessory
188,4137,Accessory
226,4373,Accessory
44,1176,Core
53,2435,Accessory
223,4260,Accessory
177,1777,Unique
137,1923,Unique
176,4083,Accessory
202,4175,Accessory
154,1637,Unique
170,1644,Unique
114,1853,Unique
165,1563,Unique
30,1589,Unique
84,1728,Unique
8,572,Accessory
195,4132,Accessory
75,1255,Unique
78,1188,Core
53,1106,Unique
115,3315,Accessory
9,1292,Core
146,3715,Accessory
185,1106,Core
23,1251,Accessory
145,1592,Unique
207,1660,Unique
62,1449,Unique
130,3462,Accessory
123,1689,Unique
125,1272,Unique
9,718,Unique
34,2112,Accessory
44,1140,Unique
14,1303,Core
37,1397,Unique
208,4189,Accessory
215,4351,Accessory
96,1645,Unique
145,1968,Unique
177,1828,Unique
63,1650,Unique
190,4176,Accessory
63,1571,Unique
103,3207,Accessory
42,2021,Accessory
27,1216,Unique
80,1415,Unique
47,2017,Accessory
122,3517,Accessory
128,1747,Unique
150,1831,Unique
180,1681,Unique
81,2983,Accessory
154,3624,Accessory
210,1101,Core
12,771,Accessory
43,2079,Accessory
232,1712,Unique
38,1720,Accessory
11,907,Unique
58,1490,Unique
200,1852,Unique
116,3252,Accessory
161,1468,Unique
135,3562,Accessory
81,2722,Accessory
60,2281,Accessory
43,1172,Unique
31,1181,Unique
109,1846,Unique
11,1057,Accessory
88,1600,Unique
178,1443,Unique
24,958,Unique
30,1759,Accessory
88,3034,Accessory
24,1458,Accessory
85,2921,Accessory
193,4077,Accessory
73,2682,Accessory
23,1280,Unique
68,1218,Core
182,1561,Unique
187,3893,Accessory
172,3848,Accessory
63,2250,Accessory
91,3105,Accessory
19,1385,Unique
175,3817,Accessory
21,1489,Accessory
54,1395,Unique
12,989,Unique
123,3454,Accessory
126,1923,Unique
27,1842,Accessory
61,2159,Accessory
214,4346,Accessory
70,2844,Accessory
21,1228,Accessory
27,1063,Unique
79,1647,Unique
106,1719,Unique
210,4215,Accessory
15,1188,Accessory
132,3309,Accessory
18,1157,Accessory
157,3669,Accessory
13,834,Unique
193,1784,Unique
101,1438,Unique
138,3531,Accessory
11,833,Unique
57,1289,Unique
121,3192,Accessory
38,1286,Unique
150,1905,Unique
172,3965,Accessory
76,1753,Unique
77,1600,Unique
67,1577,Unique
68,1424,Unique
147,3801,Accessory
77,2944,Accessory
103,3076,Accessory
129,3653,Accessory
46,1573,Unique
63,1338,Unique
134,3593,Accessory
189,1666,Unique
153,1493,Unique
6,519,Accessory
28,1105,Unique
181,1570,Unique
136,1100,Core
196,1678,Unique
87,1469,Unique
131,3431,Accessory
66,1465,Unique
219,1094,Core
115,1788,Unique
56,2219,Accessory
143,3602,Accessory
32,1223,Unique
79,2620,Accessory
100,3238,Accessory
185,1962,Unique
143,1118,Core
113,3283,Accessory
56,1354,Unique
35,1350,Unique
105,1677,Unique
70,2961,Accessory
107,3338,Accessory
77,1688,Unique
227,1775,Unique
158,1551,Unique
41,1238,Core
96,1422,Unique
25,1395,Accessory
68,2327,Accessory
208,1651,Unique
168,1885,Unique
78,1577,Unique
99,2844,Accessory
191,4001,Accessory
