x,y,Category
149,5424,Dispensable
150,5396,Dispensable
104,4522,Dispensable
91,4487,Dispensable
229,6195,Dispensable
13,2094,Dispensable
20,1260,Core
112,4794,Dispensable
206,6046,Dispensable
148,5293,Dispensable
22,2155,Dispensable
223,6026,Dispensable
62,4196,Dispensable
32,2921,Dispensable
62,3946,Dispensable
36,3552,Dispensable
98,4445,Dispensable
53,3532,Dispensable
22,2497,Dispensable
178,5715,Dispensable
134,5205,Dispensable
23,2639,Dispensable
74,4154,Dispensable
92,4629,Dispensable
222,5987,Dispensable
133,5063,Dispensable
2,1470,Core
69,3904,Dispensable
45,3613,Dispensable
89,4373,Dispensable
157,5354,Dispensable
5,1040,Dispensable
186,5634,Dispensable
35,1237,Core
87,1124,Core
174,5687,Dispensable
17,1905,Dispensable
70,1158,Core
57,4163,Dispensable
192,6026,Dispensable
48,1189,Core
130,4916,Dispensable
162,1139,Core
76,3681,Dispensable
179,1105,Core
113,4936,Dispensable
100,4494,Dispensable
14,2236,Dispensable
166,5768,Dispensable
121,4855,Dispensable
74,1175,Core
215,6107,Dispensable
142,5466,Dispensable
86,4145,Dispensable
41,3243,Dispensable
69,4165,Dispensable
211,6035,Dispensable
35,2851,Dispensable
96,4911,Dispensable
17,2464,Dispensable
128,5074,Dispensable
17,1916,Dispensable
5,1128,Dispensable
191,5678,Dispensable
26,2525,Dispensable
78,4226,Dispensable
50,3602,Dispensable
163,5750,Dispensable
41,1252,Core
27,2932,Dispensable
137,5135,Dispensable
111,1162,Core
18,2606,Dispensable
203,6116,Dispensable
154,5413,Dispensable
154,5424,Dispensable
183,5759,Dispensable
101,4989,Dispensable
50,3657,Dispensable
50,3646,Dispensable
217,5998,Dispensable
101,4934,Dispensable
18,2871,Dispensable
65,3887,Dispensable
129,5216,Dispensable
191,5976,Dispensable
153,5271,Dispensable
214,5980,Dispensable
31,2569,Dispensable
202,5768,Dispensable
104,4864,Dispensable
107,1118,Core
83,4557,Dispensable
151,5538,Dispensable
145,5352,Dispensable
37,1208,Core
145,5065,Dispensable
169,5698,Dispensable
169,5654,Dispensable
60,1144,Core
18,2308,Dispensable
100,1184,Core
119,1121,Core
50,3944,Dispensable
20,2621,Dispensable
75,4638,Dispensable
69,4452,Dispensable
137,5433,Dispensable
189,1119,Core
44,1190,Core
74,4496,Dispensable
142,5477,Dispensable
136,5291,Dispensable
70,4071,Dispensable
227,6109,Dispensable
191,5965,Dispensable
229,6151,Dispensable
166,5713,Dispensable
113,5131,Dispensable
66,4279,Dispensable
174,5632,Dispensable
125,5188,Dispensable
209,5980,Dispensable
189,5862,Dispensable
207,6100,Dispensable
210,5985,Dispensable
53,3587,Dispensable
110,4708,Dispensable
22,2453,Dispensable
178,5759,Dispensable
133,4857,Dispensable
198,5923,Dispensable
30,3438,Dispensable
168,1127,Core
29,2753,Dispensable
134,5249,Dispensable
71,4213,Dispensable
74,4198,Dispensable
197,5781,Dispensable
197,5792,Dispensable
182,5562,Dispensable
182,5551,Dispensable
112,4496,Dispensable
124,1111,Core
21,1206,Core
133,5361,Dispensable
198,5890,Dispensable
150,5098,Dispensable
107,5099,Dispensable
215,1081,Core
209,5991,Dispensable
130,5122,Dispensable
150,5341,Dispensable
104,4577,Dispensable
173,1117,Core
121,5061,Dispensable
162,5685,Dispensable
55,1154,Core
141,5280,Dispensable
4,1312,Core
98,4743,Dispensable
53,3830,Dispensable
13,1888,Dispensable
50,3304,Dispensable
73,4089,Dispensable
157,5056,Dispensable
218,6048,Dispensable
71,3709,Dispensable
178,5417,Dispensable
117,5269,Dispensable
122,5203,Dispensable
95,4471,Dispensable
142,5422,Dispensable
51,3700,Dispensable
34,2797,Dispensable
154,5380,Dispensable
121,4568,Dispensable
133,5350,Dispensable
65,3876,Dispensable
100,4538,Dispensable
185,1120,Core
161,5289,Dispensable
101,4636,Dispensable
97,4590,Dispensable
149,5137,Dispensable
128,5107,Dispensable
48,3543,Dispensable
2,754,Dispensable
83,4502,Dispensable
106,1172,Core
117,1150,Core
27,1197,Core
57,3604,Dispensable
9,1752,Dispensable
148,5580,Dispensable
204,1100,Core
192,6015,Dispensable
168,5589,Dispensable
190,1099,Core
198,5934,Dispensable
189,5608,Dispensable
119,5046,Dispensable
39,3482,Dispensable
95,1167,Core
146,5461,Dispensable
222,6182,Dispensable
54,3729,Dispensable
213,5871,Dispensable
22,1231,Core
39,3217,Dispensable
220,6063,Dispensable
136,5379,Dispensable
183,5704,Dispensable
41,3232,Dispensable
38,3075,Dispensable
45,3668,Dispensable
68,4056,Dispensable
171,5757,Dispensable
35,2939,Dispensable
9,1410,Dispensable
173,5490,Dispensable
77,4117,Dispensable
5,1117,Dispensable
