x,y,Category
150,5396,Dispensable
107,5787,Total
91,4487,Dispensable
15,3203,Total
145,6534,Total
112,4794,Dispensable
148,5293,Dispensable
223,6026,Dispensable
62,3946,Dispensable
222,7223,Total
98,4445,Dispensable
53,3532,Dispensable
178,5715,Dispensable
62,5131,Total
134,5205,Dispensable
148,6298,Total
23,2639,Dispensable
44,4811,Total
133,6422,Total
69,5436,Total
222,5987,Dispensable
35,4463,Total
118,5866,Total
59,4687,Total
69,3904,Dispensable
89,4373,Dispensable
157,5354,Dispensable
25,3900,Total
5,1040,Dispensable
26,3933,Total
87,1124,Core
189,6943,Total
17,1905,Dispensable
57,4163,Dispensable
223,7256,Total
96,6104,Total
130,4916,Dispensable
162,1139,Core
19,3874,Total
76,3681,Dispensable
100,4494,Dispensable
36,4496,Total
63,5164,Total
146,6567,Total
14,2236,Dispensable
166,5768,Dispensable
216,7197,Total
121,4855,Dispensable
2,2027,Total
34,4430,Total
86,4145,Dispensable
41,3243,Dispensable
97,5750,Total
152,6072,Total
188,6910,Total
127,6396,Total
97,5819,Total
35,2851,Dispensable
96,4911,Dispensable
17,2464,Dispensable
17,1916,Dispensable
5,1128,Dispensable
191,5678,Dispensable
26,2525,Dispensable
155,6357,Total
41,1252,Core
19,4192,Total
110,5863,Total
166,6436,Total
203,6116,Dispensable
61,5433,Total
64,5197,Total
50,3657,Dispensable
50,3646,Dispensable
217,5998,Dispensable
101,4934,Dispensable
135,6488,Total
81,5302,Total
144,6501,Total
129,5216,Dispensable
98,5783,Total
153,5271,Dispensable
23,3717,Total
7,2532,Total
37,1208,Core
145,5065,Dispensable
159,6377,Total
69,5101,Total
169,5654,Dispensable
60,1144,Core
18,2308,Dispensable
75,5276,Total
75,4638,Dispensable
69,4452,Dispensable
137,5433,Dispensable
24,3681,Total
2,1975,Total
134,6455,Total
189,1119,Core
120,6091,Total
227,6109,Dispensable
229,6151,Dispensable
47,4240,Total
148,6750,Total
134,6120,Total
174,5632,Dispensable
175,6648,Total
207,6100,Dispensable
15,3538,Total
22,2453,Dispensable
6,2698,Total
29,2753,Dispensable
71,4213,Dispensable
74,4198,Dispensable
126,6363,Total
203,7052,Total
197,5781,Dispensable
197,5792,Dispensable
124,1111,Core
21,1206,Core
133,5361,Dispensable
198,5890,Dispensable
115,6284,Total
107,5099,Dispensable
215,1081,Core
14,3505,Total
130,5122,Dispensable
146,6232,Total
139,6086,Total
104,4577,Dispensable
173,1117,Core
121,5061,Dispensable
174,6615,Total
162,5685,Dispensable
143,6667,Total
19,3608,Total
52,4903,Total
4,1312,Core
50,3304,Dispensable
73,4089,Dispensable
218,6048,Dispensable
154,6590,Total
117,5269,Dispensable
95,4471,Dispensable
142,5422,Dispensable
118,6184,Total
154,5380,Dispensable
80,5604,Total
133,5350,Dispensable
185,1120,Core
97,4590,Dispensable
149,5137,Dispensable
56,4787,Total
128,5107,Dispensable
48,3543,Dispensable
2,754,Dispensable
83,4502,Dispensable
106,1172,Core
117,1150,Core
27,1197,Core
57,3604,Dispensable
190,1099,Core
136,6186,Total
174,6881,Total
119,6403,Total
119,5046,Dispensable
39,3482,Dispensable
95,1167,Core
222,6182,Dispensable
54,3729,Dispensable
215,7164,Total
117,6151,Total
154,6746,Total
22,1231,Core
39,3217,Dispensable
116,5800,Total
220,6063,Dispensable
55,5072,Total
183,5704,Dispensable
106,6072,Total
41,3232,Dispensable
45,3668,Dispensable
81,5637,Total
171,5757,Dispensable
35,2939,Dispensable
5,1117,Dispensable
180,5818,Dispensable
144,5298,Dispensable
57,3615,Dispensable
115,5966,Total
194,6750,Total
116,4866,Dispensable
162,5696,Dispensable
60,4022,Dispensable
26,2878,Dispensable
214,7131,Total
84,1189,Core
135,6153,Total
68,5403,Total
