x,y,Category,Metric
4,-65.09,Core,Average
4,198.40,Accessory,Average
4,74.25,Unique,Average
5,-27.73,Core,Average
5,135.86,Accessory,Average
5,61.02,Unique,Average
6,-16.91,Core,Average
6,113.44,Accessory,Average
6,47.28,Unique,Average
7,-11.67,Core,Average
7,98.93,Accessory,Average
7,38.95,Unique,Average
8,-9.56,Core,Average
8,88.79,Accessory,Average
8,37.64,Unique,Average
9,-7.79,Core,Average
9,78.82,Accessory,Average
9,34.66,Unique,Average
10,-6.39,Core,Average
10,75.48,Accessory,Average
10,28.57,Unique,Average
11,-5.99,Core,Average
11,68.29,Accessory,Average
11,28.03,Unique,Average
12,-4.53,Core,Average
12,64.03,Accessory,Average
12,23.21,Unique,Average
13,-4.47,Core,Average
13,58.37,Accessory,Average
13,23.53,Unique,Average
14,-3.80,Core,Average
14,54.25,Accessory,Average
14,23.11,Unique,Average
15,-3.82,Core,Average
15,52.12,Accessory,Average
15,19.21,Unique,Average
16,-3.76,Core,Average
16,51.80,Accessory,Average
16,18.33,Unique,Average
17,-3.09,Core,Average
17,49.12,Accessory,Average
17,16.20,Unique,Average
18,-3.54,Core,Average
18,46.25,Accessory,Average
18,18.55,Unique,Average
19,-3.08,Core,Average
19,43.75,Accessory,Average
19,17.85,Unique,Average
20,-3.13,Core,Average
20,43.07,Accessory,Average
20,19.24,Unique,Average
21,-2.78,Core,Average
21,43.58,Accessory,Average
21,14.28,Unique,Average
22,-2.36,Core,Average
22,39.35,Accessory,Average
22,12.00,Unique,Average
23,-2.55,Core,Average
23,40.14,Accessory,Average
23,13.66,Unique,Average
24,-2.48,Core,Average
24,38.48,Accessory,Average
24,13.32,Unique,Average
25,-2.37,Core,Average
25,35.78,Accessory,Average
25,12.07,Unique,Average
26,-2.48,Core,Average
26,35.58,Accessory,Average
26,13.39,Unique,Average
27,-2.23,Core,Average
27,35.27,Accessory,Average
27,9.29,Unique,Average
28,-2.14,Core,Average
28,35.31,Accessory,Average
28,10.96,Unique,Average
29,-2.06,Core,Average
29,32.25,Accessory,Average
29,11.15,Unique,Average
30,-2.01,Core,Average
30,31.98,Accessory,Average
30,11.46,Unique,Average
31,-2.08,Core,Average
31,31.29,Accessory,Average
31,10.54,Unique,Average
32,-1.78,Core,Average
32,31.40,Accessory,Average
32,8.99,Unique,Average
33,-1.86,Core,Average
33,29.85,Accessory,Average
33,9.95,Unique,Average
34,-1.85,Core,Average
34,28.12,Accessory,Average
34,11.05,Unique,Average
35,-2.01,Core,Average
35,30.04,Accessory,Average
35,9.92,Unique,Average
36,-1.83,Core,Average
36,29.47,Accessory,Average
36,8.11,Unique,Average
37,-1.68,Core,Average
37,28.35,Accessory,Average
37,8.61,Unique,Average
38,-1.71,Core,Average
38,27.22,Accessory,Average
38,9.93,Unique,Average
39,-1.80,Core,Average
39,27.25,Accessory,Average
39,7.97,Unique,Average
40,-1.52,Core,Average
40,27.57,Accessory,Average
40,6.58,Unique,Average
41,-1.85,Core,Average
41,25.63,Accessory,Average
41,9.84,Unique,Average
42,-1.72,Core,Average
42,26.35,Accessory,Average
42,8.12,Unique,Average
43,-1.64,Core,Average
43,25.37,Accessory,Average
43,7.93,Unique,Average
44,-1.60,Core,Average
44,25.28,Accessory,Average
44,6.61,Unique,Average
45,-1.60,Core,Average
45,24.88,Accessory,Average
45,6.94,Unique,Average
46,-1.58,Core,Average
46,24.03,Accessory,Average
46,8.07,Unique,Average
47,-1.48,Core,Average
47,23.93,Accessory,Average
47,6.58,Unique,Average
48,-1.52,Core,Average
48,23.44,Accessory,Average
48,7.55,Unique,Average
49,-1.49,Core,Average
49,23.10,Accessory,Average
49,7.44,Unique,Average
50,-1.36,Core,Average
50,22.33,Accessory,Average
50,6.63,Unique,Average
51,-1.30,Core,Average
51,22.13,Accessory,Average
51,6.58,Unique,Average
52,-1.14,Core,Average
52,20.57,Accessory,Average
52,6.63,Unique,Average
53,-1.31,Core,Average
53,22.26,Accessory,Average
53,6.86,Unique,Average
54,-1.13,Core,Average
54,21.23,Accessory,Average
54,4.36,Unique,Average
55,-1.31,Core,Average
55,22.19,Accessory,Average
55,5.94,Unique,Average
56,-1.34,Core,Average
56,21.58,Accessory,Average
56,6.89,Unique,Average
57,-1.19,Core,Average
57,21.25,Accessory,Average
57,4.23,Unique,Average
58,-1.17,Core,Average
58,20.05,Accessory,Average
58,5.45,Unique,Average
59,-1.01,Core,Average
59,19.88,Accessory,Average
59,4.75,Unique,Average
60,-1.14,Core,Average
60,19.20,Accessory,Average
60,5.43,Unique,Average
61,-1.12,Core,Average
61,19.89,Accessory,Average
61,5.34,Unique,Average
62,-1.19,Core,Average
62,20.63,Accessory,Average
62,4.28,Unique,Average
63,-1.06,Core,Average
63,21.16,Accessory,Average
63,3.88,Unique,Average
64,-1.14,Core,Average
64,19.62,Accessory,Average
64,5.92,Unique,Average
65,-1.08,Core,Average
65,19.77,Accessory,Average
65,4.19,Unique,Average
66,-1.10,Core,Average
66,19.45,Accessory,Average
66,4.91,Unique,Average
67,-1.07,Core,Average
67,18.34,Accessory,Average
67,4.36,Unique,Average
68,-0.97,Core,Average
68,18.12,Accessory,Average
68,2.04,Unique,Average
69,-1.10,Core,Average
69,19.07,Accessory,Average
69,5.80,Unique,Average
70,-1.01,Core,Average
70,17.64,Accessory,Average
70,4.08,Unique,Average
71,-1.09,Core,Average
71,17.75,Accessory,Average
71,4.48,Unique,Average
72,-0.98,Core,Average
72,17.31,Accessory,Average
72,3.96,Unique,Average
73,-1.09,Core,Average
73,18.30,Accessory,Average
73,4.68,Unique,Average
74,-0.94,Core,Average
74,16.39,Accessory,Average
74,2.98,Unique,Average
75,-0.96,Core,Average
75,16.47,Accessory,Average
75,3.75,Unique,Average
76,-0.90,Core,Average
76,16.94,Accessory,Average
76,2.97,Unique,Average
77,-1.04,Core,Average
77,17.32,Accessory,Average
77,5.52,Unique,Average
78,-0.96,Core,Average
78,16.92,Accessory,Average
78,3.80,Unique,Average
79,-0.95,Core,Average
79,15.93,Accessory,Average
79,4.52,Unique,Average
80,-0.91,Core,Average
80,17.67,Accessory,Average
80,3.08,Unique,Average
81,-0.87,Core,Average
81,16.09,Accessory,Average
81,4.14,Unique,Average
82,-0.97,Core,Average
82,15.89,Accessory,Average
82,4.61,Unique,Average
83,-0.89,Core,Average
83,17.08,Accessory,Average
83,3.40,Unique,Average
84,-0.95,Core,Average
84,16.69,Accessory,Average
84,2.93,Unique,Average
85,-0.82,Core,Average
85,15.40,Accessory,Average
85,3.69,Unique,Average
86,-0.83,Core,Average
86,15.85,Accessory,Average
86,3.04,Unique,Average
87,-0.81,Core,Average
87,14.87,Accessory,Average
87,2.92,Unique,Average
88,-0.96,Core,Average
88,15.80,Accessory,Average
88,4.54,Unique,Average
89,-0.86,Core,Average
89,16.02,Accessory,Average
89,4.18,Unique,Average
90,-0.86,Core,Average
90,15.34,Accessory,Average
90,2.69,Unique,Average
91,-0.84,Core,Average
91,14.83,Accessory,Average
91,3.84,Unique,Average
92,-0.79,Core,Average
92,14.44,Accessory,Average
92,2.92,Unique,Average
93,-0.79,Core,Average
93,14.29,Accessory,Average
93,3.24,Unique,Average
94,-0.79,Core,Average
94,14.34,Accessory,Average
94,2.90,Unique,Average
95,-0.96,Core,Average
95,16.07,Accessory,Average
95,2.79,Unique,Average
96,-0.77,Core,Average
96,14.81,Accessory,Average
96,3.11,Unique,Average
97,-0.85,Core,Average
97,14.73,Accessory,Average
97,2.86,Unique,Average
98,-0.74,Core,Average
98,13.94,Accessory,Average
98,3.03,Unique,Average
99,-0.84,Core,Average
99,14.37,Accessory,Average
99,3.16,Unique,Average
100,-0.83,Core,Average
100,13.69,Accessory,Average
100,2.82,Unique,Average
101,-0.95,Core,Average
101,14.05,Accessory,Average
101,4.15,Unique,Average
102,-0.74,Core,Average
102,13.50,Accessory,Average
102,2.34,Unique,Average
103,-0.80,Core,Average
103,13.64,Accessory,Average
103,4.16,Unique,Average
104,-0.79,Core,Average
104,13.73,Accessory,Average
104,2.62,Unique,Average
105,-0.76,Core,Average
105,14.08,Accessory,Average
105,3.43,Unique,Average
106,-0.68,Core,Average
106,13.99,Accessory,Average
106,1.86,Unique,Average
107,-0.81,Core,Average
107,13.95,Accessory,Average
107,2.84,Unique,Average
108,-0.76,Core,Average
108,12.89,Accessory,Average
108,3.85,Unique,Average
109,-0.66,Core,Average
109,13.19,Accessory,Average
109,1.54,Unique,Average
110,-0.69,Core,Average
110,12.82,Accessory,Average
110,2.22,Unique,Average
111,-0.79,Core,Average
111,12.58,Accessory,Average
111,2.21,Unique,Average
112,-0.71,Core,Average
112,12.98,Accessory,Average
112,1.99,Unique,Average
113,-0.74,Core,Average
113,12.74,Accessory,Average
113,1.91,Unique,Average
114,-0.71,Core,Average
114,12.49,Accessory,Average
114,2.31,Unique,Average
115,-0.84,Core,Average
115,13.61,Accessory,Average
115,2.04,Unique,Average
116,-0.80,Core,Average
116,12.81,Accessory,Average
116,1.42,Unique,Average
117,-0.68,Core,Average
117,12.23,Accessory,Average
117,2.21,Unique,Average
118,-0.71,Core,Average
118,11.54,Accessory,Average
118,2.53,Unique,Average
119,-0.75,Core,Average
119,11.97,Accessory,Average
119,3.04,Unique,Average
120,-0.63,Core,Average
