#This file contains six matrices: shared distinct genes (1), unshared distinct genes (2), shared informative distinct genes (3), unshared informative distinct genes (4), total shared genes (5) and total unshared genes (6).

#shared distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
1,3893,5,2882,3151,2914,3119,2751,2927,2800,3062,3,4,2878,1917,3182,2868,2891,1921,2950,2792,1932,2868,3074,2853,2918,5,2926,3061,2925,2861,3129,7,3,3043,2864,7,3062,2875,2867,3148,6,2848,2871,1846,2953,2907,2814,5,3303,2846,
2,5,3169,5,6,6,6,6,6,6,6,2,2,5,5,5,6,6,5,6,5,5,6,6,6,5,3167,6,6,6,6,6,1896,2,6,6,1903,6,5,6,5,1896,6,6,5,6,6,6,3161,5,6,
3,2882,5,3444,2914,2852,2899,2618,2858,2667,2843,3,5,3368,1890,2881,2862,2673,1898,2857,2703,1916,2872,2672,2887,2923,5,2855,2844,2683,2918,2903,7,4,2858,2874,7,2844,2911,2895,2912,6,2853,2865,1806,2863,2685,2823,5,2880,2850,
4,3151,6,2914,3847,2987,3381,2768,2993,2836,3119,3,4,2909,1930,3062,2924,2804,1934,3003,2710,1955,2902,2830,2868,2855,6,3035,3117,2835,2882,3379,8,3,3127,2927,8,3108,2870,2937,3729,7,2882,2925,1866,3016,2828,2859,6,3055,2880,
5,2914,6,2852,2987,3733,3020,2730,3290,2784,2954,3,5,2847,1925,2915,3106,2770,1932,3530,2699,1953,3129,2757,3022,2839,6,3485,2958,2790,2870,3022,11,3,2940,3132,8,2926,2855,3123,2996,10,3110,3107,1844,3288,2783,3081,6,2892,3104,
6,3119,6,2899,3381,3020,4180,2798,3069,2936,3100,3,4,2897,1930,3039,2953,2816,1936,3037,2711,1950,2964,3001,2892,2882,6,3050,3100,2835,2904,4108,8,3,3130,2983,8,3098,2872,2953,3364,7,2938,2955,1856,3067,2831,2898,6,3048,2934,
7,2751,6,2618,2768,2730,2798,3799,2736,2813,2765,3,5,2616,1905,2726,2703,2864,1911,2748,2596,1930,2694,2857,2665,2626,6,2760,2763,2882,2678,2797,11,3,2777,2714,8,2754,2637,2679,2769,10,2673,2705,1816,2740,2883,2649,6,2730,2668,
8,2927,6,2858,2993,3290,3069,2736,3611,2766,2915,3,5,2862,1917,2921,3120,2759,1922,3363,2698,1956,3126,2785,3035,2833,6,3293,2915,2787,2880,3073,8,4,2934,3146,8,2916,2836,3152,2990,7,3105,3117,1851,3286,2774,3078,6,2894,3102,
9,2800,6,2667,2836,2784,2936,2813,2766,3851,2790,3,5,2669,1905,2794,2706,3233,1908,2780,2658,1945,2716,3474,2683,2675,6,2791,2793,3266,2632,2936,8,4,2810,2720,8,2793,2673,2726,2882,7,2694,2708,1835,2757,3249,2672,6,2785,2694,
10,3062,6,2843,3119,2954,3100,2765,2915,2790,3699,3,5,2845,1917,3037,2857,2776,1921,2957,2676,1943,2854,2781,2859,2845,6,2933,3670,2801,2862,3098,10,4,3323,2887,8,3533,2876,2898,3117,9,2832,2859,1841,2927,2796,2803,6,3018,2829,
11,3,2,3,3,3,3,3,3,3,3,2908,930,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1742,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,
12,4,2,5,4,5,4,5,5,5,5,930,2542,5,4,6,6,6,4,5,4,4,5,5,5,4,2,4,5,7,5,4,2,933,5,5,2,5,4,5,4,2,5,6,6,4,6,5,2,5,5,
13,2878,5,3368,2909,2847,2897,2616,2862,2669,2845,3,5,3505,1891,2880,2858,2659,1899,2843,2714,1915,2869,2671,2886,2926,5,2855,2846,2680,2914,2894,7,4,2863,2871,7,2846,2909,2897,2908,6,2847,2861,1805,2864,2671,2819,5,2878,2845,
14,1917,5,1890,1930,1925,1930,1905,1917,1905,1917,3,4,1891,3625,1911,1926,1901,3597,1915,1891,2824,1934,1902,1903,1908,5,1918,1916,1905,1898,1931,5,4,1927,1913,5,1917,1931,1921,1932,4,1923,1927,2925,1920,1903,1912,5,1907,1924,
