x,y,Category
19,8862,Accessory
22,8126,Accessory
13,5669,Accessory
43,15056,Accessory
7,5481,Accessory
6,4974,Unique
18,9477,Unique
44,9502,Unique
31,11992,Accessory
26,7814,Unique
10,6040,Unique
11,9065,Unique
34,13213,Accessory
33,9367,Unique
20,10715,Unique
3,892,Unique
8,4692,Accessory
5,3511,Accessory
13,5408,Accessory
5,3258,Accessory
21,9176,Accessory
36,9601,Unique
30,10130,Unique
19,11158,Unique
23,11431,Unique
25,11631,Accessory
31,11799,Unique
38,13337,Accessory
36,13541,Accessory
30,13332,Accessory
33,9595,Unique
10,7454,Unique
37,9741,Unique
19,8348,Accessory
23,9112,Unique
32,9455,Unique
44,7803,Unique
26,9610,Accessory
12,10379,Unique
39,15023,Accessory
8,7713,Accessory
14,7237,Unique
38,13851,Accessory
9,6316,Unique
46,15965,Accessory
31,11404,Unique
36,7539,Unique
31,11478,Accessory
41,9101,Unique
45,9870,Unique
25,12956,Accessory
17,9337,Unique
39,15005,Accessory
30,12493,Accessory
23,11203,Unique
44,13698,Accessory
44,15898,Accessory
6,2226,Accessory
7,6055,Unique
34,8000,Unique
31,9543,Unique
36,13523,Accessory
10,5755,Unique
22,9367,Unique
12,6166,Unique
41,7569,Unique
44,9669,Unique
31,4368,Unique
30,10432,Unique
14,7767,Unique
14,7009,Unique
13,3740,Accessory
3,1306,Accessory
14,7067,Accessory
36,9768,Unique
11,7743,Accessory
45,9642,Unique
6,7329,Unique
25,11378,Accessory
40,9356,Unique
20,6435,Accessory
45,9414,Unique
2,7546,Unique
9,4985,Accessory
12,7811,Accessory
22,9139,Unique
5,6761,Unique
15,8992,Accessory
17,6639,Accessory
41,9631,Unique
47,9694,Unique
43,9529,Unique
32,10319,Unique
45,10300,Unique
46,15929,Accessory
26,4794,Unique
12,6476,Accessory
40,9886,Unique
37,13869,Accessory
13,7869,Accessory
9,6072,Accessory
35,9856,Unique
16,6103,Accessory
8,4196,Accessory
25,10296,Accessory
8,6799,Unique
8,10004,Unique
12,7715,Unique
13,5904,Accessory
11,5561,Accessory
4,2742,Core
38,8541,Unique
46,16195,Accessory
30,9798,Unique
13,9326,Unique
15,8478,Accessory
34,9944,Unique
45,15348,Accessory
28,12292,Accessory
3,5229,Unique
11,5029,Accessory
15,10717,Unique
14,7320,Accessory
19,9448,Accessory
35,14024,Accessory
12,8525,Unique
31,12335,Accessory
32,13128,Accessory
4,5732,Unique
38,13355,Accessory
40,14178,Accessory
47,15415,Accessory
26,9513,Unique
22,8181,Unique
37,8926,Unique
42,10622,Unique
8,5999,Accessory
35,10374,Unique
43,15908,Accessory
6,1369,Accessory
15,5678,Unique
46,9326,Unique
6,3587,Accessory
17,10986,Unique
22,8613,Unique
41,15242,Accessory
33,12663,Accessory
34,13456,Accessory
36,13027,Accessory
17,8483,Accessory
6,10284,Unique
10,4524,Accessory
3,4573,Unique
6,6673,Unique
34,14799,Accessory
45,15141,Accessory
5,1311,Accessory
32,14003,Accessory
14,9763,Accessory
31,14517,Accessory
12,6301,Unique
26,10159,Unique
8,4431,Accessory
38,8843,Unique
21,11272,Accessory
32,11129,Unique
36,7902,Unique
29,11512,Accessory
15,7080,Unique
35,8967,Unique
26,8494,Unique
42,15588,Accessory
21,9757,Unique
11,6556,Unique
39,9700,Unique
43,10119,Unique
16,8313,Unique
13,6966,Unique
43,14695,Accessory
30,12849,Accessory
22,12935,Accessory
46,16308,Accessory
15,2793,Unique
25,11153,Accessory
10,1731,Core
11,8255,Unique
18,8667,Unique
35,14520,Accessory
40,7053,Unique
10,4717,Unique
30,7193,Unique
8,4101,Unique
8,7670,Unique
5,10331,Unique
33,9804,Unique
19,8942,Unique
10,9813,Unique
12,4754,Accessory
30,10729,Unique
40,8602,Unique
3,5234,Unique
9,2579,Core
15,8796,Unique
46,9252,Unique
3,3524,Accessory
9,8903,Unique
44,16102,Accessory
23,5579,Unique
40,13538,Accessory
4,1653,Accessory
7,5245,Unique
11,4629,Unique
14,9709,Accessory
29,8895,Unique
9,4282,Accessory
15,7382,Unique
17,5414,Unique
15,5656,Accessory
26,5985,Unique
15,3449,Unique
18,8758,Accessory
43,9381,Unique
22,10100,Accessory
