x,y,Category
25,19714,Dispensable
27,19955,Dispensable
47,25321,Dispensable
3,5,Core
28,22390,Dispensable
24,17036,Dispensable
19,17875,Dispensable
3,7562,Dispensable
26,20016,Dispensable
14,16951,Dispensable
3,2534,Core
40,24862,Dispensable
33,23213,Dispensable
42,24750,Dispensable
42,24761,Dispensable
31,16431,Dispensable
31,21766,Dispensable
40,24520,Dispensable
21,16364,Dispensable
13,12372,Dispensable
21,16353,Dispensable
22,19049,Dispensable
46,22746,Dispensable
47,25674,Dispensable
9,12308,Dispensable
16,15298,Dispensable
45,25422,Dispensable
2,1463,Dispensable
6,2472,Core
37,23000,Dispensable
45,25433,Dispensable
5,4945,Dispensable
10,11468,Dispensable
24,20691,Dispensable
35,21200,Dispensable
20,19040,Dispensable
9,7499,Dispensable
21,21346,Dispensable
22,15578,Dispensable
22,20450,Dispensable
20,19382,Dispensable
11,2367,Core
15,15823,Dispensable
30,20993,Dispensable
21,21015,Dispensable
26,20005,Dispensable
39,21671,Dispensable
4,4461,Dispensable
9,10738,Dispensable
8,11877,Dispensable
26,20027,Dispensable
34,22438,Dispensable
33,23577,Dispensable
25,21122,Dispensable
9,12540,Dispensable
29,19501,Dispensable
6,9371,Dispensable
6,9393,Dispensable
28,20268,Dispensable
8,11855,Dispensable
15,19636,Dispensable
30,20640,Dispensable
33,21665,Dispensable
28,22147,Dispensable
39,23583,Dispensable
21,18265,Dispensable
35,21884,Dispensable
13,14262,Dispensable
45,25775,Dispensable
45,25797,Dispensable
42,22860,Dispensable
43,25556,Dispensable
3,1936,Dispensable
10,13358,Dispensable
41,23745,Dispensable
12,15169,Dispensable
35,23101,Dispensable
20,20562,Dispensable
25,17824,Dispensable
23,19826,Dispensable
16,14706,Dispensable
44,24417,Dispensable
19,17544,Dispensable
21,16033,Dispensable
27,19977,Dispensable
16,16949,Dispensable
7,14531,Dispensable
24,20371,Dispensable
35,23785,Dispensable
4,4450,Dispensable
40,24884,Dispensable
3,7584,Dispensable
25,21111,Dispensable
27,20804,Dispensable
7,6270,Dispensable
17,21296,Dispensable
35,21575,Dispensable
6,11603,Dispensable
29,21019,Dispensable
5,12422,Dispensable
28,20235,Dispensable
38,24468,Dispensable
16,12816,Dispensable
20,13105,Dispensable
4,2742,Core
33,23202,Dispensable
10,13281,Dispensable
24,20459,Dispensable
47,25696,Dispensable
25,20905,Dispensable
47,25652,Dispensable
47,25641,Dispensable
47,25685,Dispensable
22,19027,Dispensable
27,21396,Dispensable
29,21593,Dispensable
37,23011,Dispensable
43,23644,Dispensable
45,25444,Dispensable
14,14807,Dispensable
45,25455,Dispensable
2,1496,Dispensable
19,16191,Dispensable
10,11446,Dispensable
45,25400,Dispensable
10,11435,Dispensable
23,18186,Dispensable
6,3745,Dispensable
45,25113,Dispensable
48,24866,Dispensable
46,24625,Dispensable
10,5749,Dispensable
24,17356,Dispensable
3,7242,Dispensable
15,12271,Dispensable
12,11676,Dispensable
4,2648,Dispensable
35,21542,Dispensable
12,15390,Dispensable
37,23684,Dispensable
4,2593,Dispensable
31,20071,Dispensable
30,19217,Dispensable
3,7871,Dispensable
15,16084,Dispensable
24,20128,Dispensable
26,20325,Dispensable
29,21251,Dispensable
11,14076,Dispensable
11,10892,Dispensable
43,23975,Dispensable
4,8263,Dispensable
26,21921,Dispensable
45,25742,Dispensable
36,22999,Dispensable
19,18092,Dispensable
35,23112,Dispensable
20,20319,Dispensable
23,19837,Dispensable
22,18711,Dispensable
19,15643,Dispensable
2,3397,Dispensable
21,18232,Dispensable
19,20614,Dispensable
35,22906,Dispensable
38,22269,Dispensable
22,16821,Dispensable
45,25124,Dispensable
31,23634,Dispensable
11,8230,Dispensable
7,10773,Dispensable
30,20673,Dispensable
10,9496,Dispensable
27,20826,Dispensable
10,1731,Core
30,20717,Dispensable
35,23498,Dispensable
16,12838,Dispensable
35,23410,Dispensable
37,18779,Dispensable
20,20882,Dispensable
26,21601,Dispensable
20,20871,Dispensable
30,22618,Dispensable
27,21330,Dispensable
49,25860,Dispensable
10,7231,Dispensable
16,15254,Dispensable
23,18120,Dispensable
47,23839,Dispensable
28,22467,Dispensable
5,8350,Dispensable
45,25466,Dispensable
33,21003,Dispensable
10,11413,Dispensable
10,11424,Dispensable
14,12840,Dispensable
14,15024,Dispensable
18,14870,Dispensable
9,2579,Core
29,20703,Dispensable
3,2495,Dispensable
8,13745,Dispensable
27,19657,Dispensable
13,15648,Dispensable
18,16826,Dispensable
6,8834,Dispensable
25,18118,Dispensable
32,23098,Dispensable
10,11766,Dispensable
8,6721,Dispensable
32,21186,Dispensable
14,19179,Dispensable
18,18738,Dispensable
4,2613,Core
10,1673,Core
34,22372,Dispensable
34,19302,Dispensable
37,25287,Dispensable
3,7882,Dispensable
35,21840,Dispensable
14,15388,Dispensable
23,18462,Dispensable
45,25731,Dispensable
8,6743,Dispensable
9,1648,Core
33,21334,Dispensable
41,23767,Dispensable
43,25512,Dispensable
19,19467,Dispensable
28,20555,Dispensable
48,25800,Dispensable
8,8986,Dispensable
40,22641,Dispensable
8,1641,Core
14,14741,Dispensable
27,21672,Dispensable
3,7231,Dispensable
3,7617,Dispensable
46,24945,Dispensable
4,2799,Core
13,15659,Dispensable
47,25729,Dispensable
44,24748,Dispensable
38,24159,Dispensable
27,21087,Dispensable
21,21997,Dispensable
27,22407,Dispensable
30,20342,Dispensable
26,21612,Dispensable
40,22972,Dispensable
3,1732,Core
5,10510,Dispensable
32,22837,Dispensable
18,17087,Dispensable
20,18867,Dispensable
13,16163,Dispensable
40,24531,Dispensable
5,2505,Core
43,23699,Dispensable
14,15035,Dispensable
14,15046,Dispensable
5,8758,Dispensable
23,20951,Dispensable
20,17470,Dispensable
24,17676,Dispensable
25,16548,Dispensable
6,6933,Dispensable
18,16451,Dispensable
7,9237,Dispensable
3,7220,Dispensable
47,25332,Dispensable
18,18021,Dispensable
18,18407,Dispensable
24,17334,Dispensable
45,25135,Dispensable
41,21513,Dispensable
44,24737,Dispensable
8,10171,Dispensable
47,25001,Dispensable
19,15996,Dispensable
48,24888,Dispensable
3,4054,Dispensable
36,22304,Dispensable
7,9568,Dispensable
36,24216,Dispensable
4,2626,Dispensable
38,22589,Dispensable
16,19045,Dispensable
27,21076,Dispensable
4,1739,Core
40,25178,Dispensable
2,3331,Dispensable
28,22114,Dispensable
28,20544,Dispensable
33,21654,Dispensable
26,20347,Dispensable
14,18543,Dispensable
21,16684,Dispensable
