x,y,Category
27,19955,Dispensable
47,25321,Dispensable
12,11171,Total
19,15291,Total
28,17051,Total
24,17036,Dispensable
30,20286,Total
31,21314,Total
16,16581,Total
19,17875,Dispensable
34,21973,Total
26,20016,Dispensable
9,12316,Total
10,13210,Total
44,24296,Total
14,16951,Dispensable
31,23036,Total
12,13451,Total
27,19949,Total
33,23277,Total
33,23213,Dispensable
2,5220,Total
3,8273,Total
40,24520,Dispensable
13,12372,Dispensable
21,16353,Dispensable
22,19049,Dispensable
25,18062,Total
9,12308,Dispensable
15,17461,Total
45,25422,Dispensable
37,23000,Dispensable
5,4945,Dispensable
25,16061,Total
35,21200,Dispensable
20,19040,Dispensable
22,18054,Total
29,21301,Total
17,19610,Total
21,21346,Dispensable
22,15578,Dispensable
29,20003,Total
34,22397,Total
9,10966,Total
28,21255,Total
8,8884,Total
30,20993,Dispensable
4,4461,Dispensable
8,11877,Dispensable
34,22438,Dispensable
9,12540,Dispensable
29,19501,Dispensable
6,9371,Dispensable
6,9393,Dispensable
8,11855,Dispensable
28,22147,Dispensable
21,18265,Dispensable
21,15211,Total
31,20332,Total
13,14262,Dispensable
45,25775,Dispensable
45,25797,Dispensable
42,22860,Dispensable
43,25556,Dispensable
3,1936,Dispensable
41,23745,Dispensable
12,15169,Dispensable
35,23101,Dispensable
37,23387,Total
41,24846,Total
20,20562,Dispensable
24,20126,Total
25,17824,Dispensable
23,21378,Total
6,10028,Total
15,16442,Total
34,24305,Total
16,14706,Dispensable
17,16683,Total
34,22955,Total
21,16033,Dispensable
29,22655,Total
27,19977,Dispensable
42,25632,Total
7,14531,Dispensable
13,15009,Total
4,4450,Dispensable
3,7584,Dispensable
25,21111,Dispensable
27,20804,Dispensable
7,6270,Dispensable
17,21296,Dispensable
35,21575,Dispensable
6,11603,Dispensable
29,21019,Dispensable
28,20235,Dispensable
45,24063,Total
20,13105,Dispensable
4,2742,Core
10,14843,Total
39,23293,Total
10,13281,Dispensable
23,19491,Total
4,9288,Total
47,25696,Dispensable
25,20905,Dispensable
19,18832,Total
47,25641,Dispensable
22,19027,Dispensable
43,23644,Dispensable
45,25444,Dispensable
14,14807,Dispensable
19,18008,Total
2,1496,Dispensable
46,25184,Total
9,11669,Total
45,25400,Dispensable
10,11435,Dispensable
23,18186,Dispensable
6,7576,Total
35,23183,Total
9,11018,Total
48,24866,Dispensable
25,16991,Total
46,24625,Dispensable
10,5749,Dispensable
24,17356,Dispensable
4,9567,Total
12,13557,Total
15,12271,Dispensable
6,12345,Total
12,11676,Dispensable
32,21453,Total
29,21779,Total
40,23446,Total
36,22266,Total
35,21542,Dispensable
4,2593,Dispensable
22,19315,Total
31,20071,Dispensable
30,19217,Dispensable
7,11149,Total
5,7543,Total
3,7871,Dispensable
15,16084,Dispensable
29,21251,Dispensable
11,10892,Dispensable
45,25742,Dispensable
36,22999,Dispensable
45,23602,Total
14,14953,Total
35,23112,Dispensable
17,10135,Total
30,15900,Total
23,19837,Dispensable
22,18711,Dispensable
8,8233,Total
19,15643,Dispensable
30,20230,Total
21,18232,Dispensable
19,20614,Dispensable
25,20228,Total
35,22906,Dispensable
47,25249,Total
10,17318,Total
22,16821,Dispensable
45,25124,Dispensable
31,23634,Dispensable
13,16257,Total
11,8230,Dispensable
9,12353,Total
7,10773,Dispensable
30,20673,Dispensable
33,22959,Total
13,14027,Total
27,20826,Dispensable
10,1731,Core
2,6624,Total
20,20882,Dispensable
36,23019,Total
20,18148,Total
26,21601,Dispensable
21,16844,Total
30,22618,Dispensable
27,21330,Dispensable
49,25860,Dispensable
16,15254,Dispensable
27,21190,Total
47,23839,Dispensable
28,22467,Dispensable
5,8350,Dispensable
33,21003,Dispensable
14,12840,Dispensable
9,2579,Core
29,20703,Dispensable
3,2495,Dispensable
45,24956,Total
43,24858,Total
16,17526,Total
27,19657,Dispensable
13,15648,Dispensable
34,24571,Total
38,23539,Total
25,18118,Dispensable
39,21398,Total
39,23306,Total
32,23098,Dispensable
7,8572,Total
32,21186,Dispensable
11,13734,Total
14,19179,Dispensable
18,18738,Dispensable
10,1673,Core
34,22372,Dispensable
34,19302,Dispensable
37,25287,Dispensable
34,20638,Total
7,7590,Total
22,18389,Total
3,7882,Dispensable
37,23052,Total
21,17039,Total
35,21840,Dispensable
14,15388,Dispensable
46,24829,Total
8,6743,Dispensable
40,25062,Total
33,21334,Dispensable
19,19467,Dispensable
28,20555,Dispensable
40,22641,Dispensable
32,22980,Total
8,1641,Core
3,5303,Total
27,20171,Total
28,21571,Total
18,17767,Total
3,7231,Dispensable
3,7617,Dispensable
20,19409,Total
35,23970,Total
46,24945,Dispensable
41,24617,Total
47,25729,Dispensable
5,6245,Total
44,24748,Dispensable
35,23568,Total
40,23868,Total
38,24159,Dispensable
19,16552,Total
27,21087,Dispensable
12,16155,Total
41,25164,Total
21,21997,Dispensable
14,16303,Total
4,7287,Total
32,22751,Total
26,21612,Dispensable
32,22837,Dispensable
18,17087,Dispensable
20,18867,Dispensable
13,16163,Dispensable
16,17898,Total
42,23737,Total
24,16028,Total
40,24531,Dispensable
5,2505,Core
6,7539,Total
45,24621,Total
30,22988,Total
43,23699,Dispensable
13,14622,Total
14,15035,Dispensable
14,15046,Dispensable
23,20951,Dispensable
5,6524,Total
24,17676,Dispensable
25,16548,Dispensable
6,6933,Dispensable
16,15283,Total
18,16451,Dispensable
41,24740,Total
24,17334,Dispensable
11,12473,Total
41,21513,Dispensable
48,25667,Total
12,13222,Total
8,10171,Dispensable
11,15964,Total
6,6451,Total
19,15996,Dispensable
48,24888,Dispensable
3,4054,Dispensable
36,22304,Dispensable
7,9568,Dispensable
33,22295,Total
36,22967,Total
36,24216,Dispensable
16,16544,Total
16,19045,Dispensable
36,24161,Total
2,3331,Dispensable
28,22114,Dispensable
33,21654,Dispensable
14,18543,Dispensable
21,16684,Dispensable
31,22984,Total
4,7845,Total
14,20679,Dispensable
32,20925,Dispensable
29,21273,Dispensable
48,25388,Total
29,18414,Total
8,6732,Dispensable
8,1756,Core
33,21323,Dispensable
44,24854,Total
43,23504,Total
17,19908,Total
13,16307,Total
48,25811,Dispensable
14,14730,Dispensable
6,4282,Dispensable
8,2385,Core
10,2360,Core
48,24811,Dispensable
34,24255,Total
44,24067,Total
17,17907,Total
15,16117,Dispensable
3,8044,Total
37,22820,Total
7,12218,Total
29,17324,Dispensable
32,21153,Dispensable
9,11253,Dispensable
32,21875,Total
11,14560,Total
39,23627,Dispensable
38,22843,Dispensable
