x,y,Category
8,1178,Dispensable
5,1266,Dispensable
5,813,Dispensable
4,459,Dispensable
5,1778,Core
8,1490,Core
3,1653,Core
9,1429,Dispensable
9,1421,Dispensable
8,1294,Dispensable
6,1516,Core
9,1425,Dispensable
8,1512,Core
8,927,Dispensable
5,1552,Core
8,1287,Dispensable
4,342,Dispensable
4,1667,Core
12,1493,Core
4,451,Dispensable
4,1595,Core
6,1591,Core
9,1526,Core
10,1544,Core
5,1040,Dispensable
5,820,Dispensable
8,1167,Dispensable
5,1559,Core
6,1566,Core
8,1185,Dispensable
8,1189,Dispensable
5,708,Dispensable
3,1603,Core
5,1026,Dispensable
7,1555,Core
6,1613,Core
4,444,Dispensable
5,1160,Dispensable
5,1044,Dispensable
8,1562,Core
4,1545,Core
4,684,Dispensable
8,945,Dispensable
5,1164,Dispensable
8,923,Dispensable
9,1327,Dispensable
5,922,Dispensable
9,1551,Core
5,944,Dispensable
5,828,Dispensable
7,1627,Core
9,1207,Dispensable
6,1541,Core
8,1181,Dispensable
5,1146,Dispensable
8,1163,Dispensable
9,1576,Core
8,1047,Dispensable
8,1156,Dispensable
6,1785,Core
4,1660,Core
8,1196,Dispensable
8,1389,Dispensable
5,1128,Dispensable
8,1519,Core
4,1789,Core
5,948,Dispensable
5,908,Dispensable
5,919,Dispensable
8,1392,Dispensable
8,1381,Dispensable
8,1497,Core
2,1646,Core
4,473,Dispensable
4,440,Dispensable
7,1749,Core
7,896,Dispensable
3,1628,Core
5,1624,Core
4,1642,Core
8,1396,Dispensable
8,1385,Dispensable
4,771,Dispensable
6,1760,Core
6,1313,Dispensable
8,1090,Dispensable
5,959,Dispensable
9,1558,Core
4,1563,Core
5,915,Dispensable
9,1436,Dispensable
5,955,Dispensable
4,673,Dispensable
8,1098,Dispensable
5,1746,Core
3,1621,Core
8,934,Dispensable
5,911,Dispensable
9,1338,Dispensable
5,817,Dispensable
5,1179,Dispensable
8,1192,Dispensable
5,951,Dispensable
5,1135,Dispensable
8,1152,Dispensable
6,1317,Dispensable
2,53,Dispensable
5,1850,Core
4,764,Dispensable
5,1073,Dispensable
8,1134,Dispensable
9,1232,Dispensable
6,1208,Dispensable
4,760,Dispensable
4,1091,Dispensable
8,854,Dispensable
7,881,Dispensable
7,998,Dispensable
6,1204,Dispensable
4,415,Dispensable
4,1782,Core
5,1077,Dispensable
7,1530,Core
2,627,Dispensable
4,877,Dispensable
7,990,Dispensable
4,888,Dispensable
8,1530,Core
4,375,Dispensable
7,889,Dispensable
7,496,Dispensable
3,1685,Core
7,1573,Core
6,1548,Core
4,491,Dispensable
4,873,Dispensable
2,623,Dispensable
12,1451,Dispensable
5,1584,Core
8,865,Dispensable
5,864,Dispensable
5,1062,Dispensable
8,1145,Dispensable
5,1606,Core
9,1221,Dispensable
5,1631,Core
9,1583,Core
8,1537,Core
4,1538,Core
5,726,Dispensable
10,1512,Core
2,630,Dispensable
4,371,Dispensable
7,1548,Core
9,1225,Dispensable
4,426,Dispensable
5,1066,Dispensable
5,860,Dispensable
8,1149,Dispensable
8,1127,Dispensable
6,1598,Core
8,1087,Dispensable
5,1120,Dispensable
8,989,Dispensable
6,1573,Core
10,1537,Core
10,1490,Core
5,1106,Dispensable
3,1840,Core
9,1341,Dispensable
9,1349,Dispensable
7,1523,Core
8,981,Dispensable
8,985,Dispensable
9,1229,Dispensable
