x,y,Category
8,1178,Dispensable
5,1266,Dispensable
5,813,Dispensable
4,459,Dispensable
3,2444,Total
6,2487,Total
5,1778,Core
8,1490,Core
3,1653,Core
9,1429,Dispensable
9,2716,Total
9,1421,Dispensable
8,1294,Dispensable
4,2641,Total
8,2450,Total
7,2858,Total
6,1516,Core
9,1425,Dispensable
8,1512,Core
8,927,Dispensable
4,2472,Total
2,2352,Total
5,2459,Total
5,1552,Core
7,2701,Total
8,1287,Dispensable
4,342,Dispensable
4,1667,Core
12,1493,Core
4,451,Dispensable
4,1595,Core
6,1591,Core
7,2579,Total
7,2689,Total
9,1526,Core
6,2871,Total
10,1544,Core
5,1040,Dispensable
5,820,Dispensable
8,1167,Dispensable
3,2449,Total
6,2482,Total
3,2334,Total
5,1559,Core
6,1566,Core
5,2628,Total
8,1185,Dispensable
8,1189,Dispensable
4,2210,Total
5,708,Dispensable
3,1603,Core
5,1026,Dispensable
5,2454,Total
5,2569,Total
6,2825,Total
7,1555,Core
4,2362,Total
4,2646,Total
6,1613,Core
4,444,Dispensable
3,2229,Total
5,1160,Dispensable
5,1044,Dispensable
8,1562,Core
5,2674,Total
8,2881,Total
7,2748,Total
4,2426,Total
4,1545,Core
4,684,Dispensable
8,945,Dispensable
5,1164,Dispensable
7,2574,Total
3,2508,Total
4,2536,Total
5,2395,Total
8,923,Dispensable
9,1327,Dispensable
5,922,Dispensable
9,1551,Core
5,944,Dispensable
4,2477,Total
5,828,Dispensable
6,2546,Total
6,2656,Total
7,1627,Core
9,1207,Dispensable
6,1541,Core
8,1181,Dispensable
7,2794,Total
3,2165,Total
5,1146,Dispensable
8,1163,Dispensable
9,1576,Core
6,2766,Total
8,1047,Dispensable
8,1156,Dispensable
3,2224,Total
6,1785,Core
4,1660,Core
8,1196,Dispensable
8,1389,Dispensable
5,1128,Dispensable
9,2657,Total
7,2638,Total
8,1519,Core
6,2509,Total
4,1789,Core
5,948,Dispensable
3,2503,Total
7,2799,Total
6,2651,Total
5,908,Dispensable
6,2541,Total
5,919,Dispensable
7,2811,Total
8,1392,Dispensable
8,1381,Dispensable
8,1497,Core
6,2550,Total
2,1646,Core
4,473,Dispensable
4,440,Dispensable
7,1749,Core
7,896,Dispensable
3,1628,Core
5,1624,Core
4,1642,Core
8,1396,Dispensable
8,1385,Dispensable
4,771,Dispensable
6,1760,Core
8,2903,Total
6,1313,Dispensable
6,2710,Total
8,1090,Dispensable
7,2532,Total
8,2844,Total
5,959,Dispensable
9,1558,Core
4,1563,Core
5,915,Dispensable
5,2248,Total
9,1436,Dispensable
5,955,Dispensable
4,673,Dispensable
8,1098,Dispensable
5,2527,Total
5,1746,Core
3,1621,Core
8,2514,Total
5,2775,Total
8,2675,Total
8,934,Dispensable
5,911,Dispensable
9,1338,Dispensable
8,2565,Total
9,2826,Total
5,817,Dispensable
5,1179,Dispensable
8,1192,Dispensable
5,951,Dispensable
5,1135,Dispensable
8,1152,Dispensable
6,1317,Dispensable
2,53,Dispensable
5,1850,Core
4,764,Dispensable
11,2907,Total
5,1073,Dispensable
8,1134,Dispensable
4,2435,Total
9,1232,Dispensable
6,1208,Dispensable
4,760,Dispensable
4,1091,Dispensable
8,2551,Total
8,854,Dispensable
7,881,Dispensable
9,2817,Total
6,2431,Total
3,2407,Total
7,998,Dispensable
6,1204,Dispensable
4,415,Dispensable
4,1782,Core
