x,y,Category,Metric
4,-78.75,Core,Average
4,251.00,Accessory,Average
4,-45.47,Unique,Average
5,-55.23,Core,Average
5,150.86,Accessory,Average
5,6.93,Unique,Average
6,-40.73,Core,Average
6,114.00,Accessory,Average
6,13.70,Unique,Average
7,-28.72,Core,Average
7,84.87,Accessory,Average
7,14.34,Unique,Average
8,-21.57,Core,Average
8,69.20,Accessory,Average
8,12.35,Unique,Average
9,-18.20,Core,Average
9,64.78,Accessory,Average
9,10.29,Unique,Average
10,-14.62,Core,Average
10,57.77,Accessory,Average
10,6.86,Unique,Average
11,-11.56,Core,Average
11,52.17,Accessory,Average
11,3.04,Unique,Average
12,-11.25,Core,Average
12,47.22,Accessory,Average
12,9.38,Unique,Average
13,-9.23,Core,Average
13,43.76,Accessory,Average
13,3.31,Unique,Average
14,-8.15,Core,Average
14,41.38,Accessory,Average
14,0.85,Unique,Average
