x,y,Category,Metric
4,-48.00,Core,Median
4,277.00,Accessory,Median
4,-76.00,Unique,Median
5,-31.00,Core,Median
5,153.00,Accessory,Median
5,-6.00,Unique,Median
6,-21.00,Core,Median
6,101.00,Accessory,Median
6,-2.00,Unique,Median
7,-12.00,Core,Median
7,76.00,Accessory,Median
7,0.00,Unique,Median
8,-5.00,Core,Median
8,59.00,Accessory,Median
8,0.00,Unique,Median
9,-4.00,Core,Median
9,51.00,Accessory,Median
9,0.00,Unique,Median
10,-3.00,Core,Median
10,39.00,Accessory,Median
10,0.00,Unique,Median
11,-2.00,Core,Median
11,30.00,Accessory,Median
11,-1.00,Unique,Median
12,-2.00,Core,Median
12,27.00,Accessory,Median
12,0.00,Unique,Median
13,-1.00,Core,Median
13,26.00,Accessory,Median
13,-1.00,Unique,Median
14,-1.00,Core,Median
14,25.00,Accessory,Median
14,-1.00,Unique,Median
