x,y,Category,Metric
4,-48.00,Core,Median
4,160.00,Accessory,Median
5,-31.00,Core,Median
5,108.00,Accessory,Median
6,-21.00,Core,Median
6,67.00,Accessory,Median
7,-12.00,Core,Median
7,50.00,Accessory,Median
8,-5.00,Core,Median
8,34.00,Accessory,Median
9,-4.00,Core,Median
9,29.00,Accessory,Median
10,-3.00,Core,Median
10,20.00,Accessory,Median
11,-2.00,Core,Median
11,18.00,Accessory,Median
12,-2.00,Core,Median
12,18.00,Accessory,Median
13,-1.00,Core,Median
13,13.00,Accessory,Median
14,-1.00,Core,Median
14,13.00,Accessory,Median
