Two overviews of homology group sizes based on number of proteins and number of genomes
#Group size based on number of proteins, occurrences
1, 849
2, 251
3, 148
4, 72
5, 65
6, 43
7, 57
8, 23
9, 48
10, 29
11, 8
12, 5
13, 9
14, 17
15, 7
16, 78
17, 20
18, 11
19, 13
20, 18
21, 35
22, 16
23, 25
24, 89
25, 32
26, 38
27, 65
28, 17
29, 14
30, 26
31, 24
32, 13
33, 10
34, 12
35, 9
36, 3
37, 6
38, 3
39, 5
40, 12
41, 14
42, 4
43, 6
44, 3
45, 8
46, 9
47, 13
48, 62
49, 21
50, 16
51, 23
52, 16
53, 19
54, 26
55, 29
56, 102
57, 923
58, 207
59, 26
60, 12
61, 3
62, 4
63, 1
64, 4
65, 1
66, 1
67, 2
68, 1
69, 1
70, 1
71, 1
73, 1
75, 2
76, 1
79, 3
80, 1
81, 1
82, 1
83, 2
85, 1
90, 1
92, 1
93, 2
96, 2
97, 1
98, 1
99, 3
100, 1
101, 2
102, 1
103, 1
105, 1
107, 1
141, 1
478, 1
1003, 1
5220, 1


#Group size based on number of genomes (maximum of 57), occurrences
1, 864
2, 255
3, 144
4, 68
5, 68
6, 43
7, 54
8, 23
9, 58
10, 18
11, 6
12, 7
13, 8
14, 16
15, 8
16, 78
17, 19
18, 11
19, 16
20, 15
21, 41
22, 17
23, 25
24, 89
25, 37
26, 38
27, 63
28, 15
29, 15
30, 29
31, 22
32, 13
33, 8
34, 13
35, 9
36, 4
37, 4
38, 4
39, 7
40, 10
41, 14
42, 2
43, 7
44, 3
45, 9
46, 7
47, 11
48, 71
49, 22
50, 17
51, 21
52, 23
53, 17
54, 40
55, 34
56, 108
57, 1171
