x,y,Category
24,1682,Dispensable
29,1240,Core
46,2435,Dispensable
49,2343,Dispensable
5,813,Dispensable
22,1905,Dispensable
8,1290,Dispensable
21,1774,Dispensable
9,1421,Dispensable
20,1260,Core
15,1453,Core
29,2102,Dispensable
5,1382,Dispensable
22,2155,Dispensable
42,2396,Dispensable
37,2374,Dispensable
16,1763,Dispensable
43,2527,Dispensable
8,1512,Core
13,1502,Dispensable
8,927,Dispensable
8,938,Dispensable
30,1835,Dispensable
34,2124,Dispensable
34,2113,Dispensable
5,1333,Core
28,1732,Dispensable
54,2365,Dispensable
45,2293,Dispensable
51,2457,Dispensable
25,1813,Dispensable
25,1824,Dispensable
51,2446,Dispensable
19,1660,Dispensable
19,1671,Dispensable
30,2074,Dispensable
2,1470,Core
30,2085,Dispensable
31,2205,Dispensable
25,2063,Dispensable
31,2216,Dispensable
10,1544,Core
12,1274,Core
25,2052,Dispensable
5,1040,Dispensable
24,1671,Dispensable
4,1441,Core
5,802,Dispensable
35,1237,Core
3,1603,Core
4,466,Dispensable
4,444,Dispensable
13,1513,Dispensable
43,2538,Dispensable
48,1189,Core
18,1316,Core
12,1371,Dispensable
38,2516,Dispensable
2,809,Dispensable
37,2021,Dispensable
13,1866,Dispensable
13,1844,Dispensable
16,1345,Core
6,1541,Core
4,1498,Core
5,824,Dispensable
46,2104,Dispensable
15,949,Dispensable
24,1660,Dispensable
9,1350,Core
22,1927,Dispensable
42,2021,Dispensable
8,1389,Dispensable
16,1509,Dispensable
4,433,Dispensable
17,1916,Dispensable
5,1128,Dispensable
22,2177,Dispensable
43,2505,Dispensable
16,1741,Dispensable
42,2374,Dispensable
43,2549,Dispensable
13,1524,Dispensable
16,1785,Dispensable
5,1360,Dispensable
10,1605,Dispensable
30,1802,Dispensable
34,2146,Dispensable
33,1754,Dispensable
25,1223,Core
28,1710,Dispensable
40,2520,Dispensable
28,1754,Dispensable
54,2387,Dispensable
51,2468,Dispensable
45,2282,Dispensable
25,1802,Dispensable
25,2085,Dispensable
25,1835,Dispensable
19,1417,Dispensable
