x,y,Category
29,1240,Core
6,2592,Total
42,3609,Total
8,1290,Dispensable
26,3375,Total
15,3203,Total
20,1260,Core
19,2855,Total
5,1382,Dispensable
22,2155,Dispensable
31,3182,Total
42,2396,Dispensable
16,1763,Dispensable
16,2812,Total
8,927,Dispensable
34,2124,Dispensable
1,1905,Total
23,3611,Total
45,3583,Total
5,1333,Core
54,2365,Dispensable
51,2457,Dispensable
9,2821,Total
19,1671,Dispensable
30,2074,Dispensable
2,1470,Core
48,3812,Total
25,2063,Dispensable
31,2216,Dispensable
34,3411,Total
50,3459,Total
5,1040,Dispensable
19,3279,Total
14,3263,Total
5,2628,Total
5,802,Dispensable
43,3573,Total
35,1237,Core
3,1603,Core
33,3471,Total
25,3342,Total
32,3401,Total
38,3487,Total
24,3365,Total
4,466,Dispensable
4,444,Dispensable
50,3390,Total
22,2652,Total
13,1513,Dispensable
43,2538,Dispensable
48,1189,Core
44,3550,Total
12,1371,Dispensable
27,3036,Total
2,809,Dispensable
10,2609,Total
12,2619,Total
13,1866,Dispensable
16,1345,Core
6,1541,Core
42,3540,Total
4,1498,Core
5,824,Dispensable
30,3218,Total
46,2104,Dispensable
2,2027,Total
15,949,Dispensable
17,2882,Total
24,1660,Dispensable
22,1927,Dispensable
44,3513,Total
22,3076,Total
42,2021,Dispensable
14,2802,Total
16,1509,Dispensable
17,1916,Dispensable
5,1128,Dispensable
7,2638,Total
39,3706,Total
22,2177,Dispensable
33,3434,Total
52,3642,Total
16,1741,Dispensable
25,3305,Total
28,3069,Total
42,2374,Dispensable
5,1360,Dispensable
10,1605,Dispensable
33,1754,Dispensable
28,1710,Dispensable
40,2520,Dispensable
51,2468,Dispensable
45,2282,Dispensable
25,1802,Dispensable
25,2085,Dispensable
25,1835,Dispensable
19,1417,Dispensable
41,3284,Total
25,2041,Dispensable
19,1759,Dispensable
46,2424,Dispensable
26,2227,Dispensable
49,2354,Dispensable
29,2113,Dispensable
9,1432,Dispensable
26,1302,Core
22,2122,Dispensable
11,1382,Core
7,2532,Total
37,1208,Core
37,2363,Dispensable
16,1774,Dispensable
17,2166,Dispensable
53,3675,Total
13,1811,Dispensable
38,2505,Dispensable
45,1197,Core
13,1855,Dispensable
8,2565,Total
25,2383,Dispensable
34,2444,Dispensable
44,3619,Total
2,1975,Total
