x,y,Category,Metric
4,-51.00,Core,Median
4,305.00,Accessory,Median
4,-47.00,Unique,Median
5,-13.00,Core,Median
5,196.00,Accessory,Median
5,-12.00,Unique,Median
6,-8.00,Core,Median
6,133.00,Accessory,Median
6,-5.00,Unique,Median
7,-5.00,Core,Median
7,77.00,Accessory,Median
7,-1.00,Unique,Median
8,-4.00,Core,Median
8,48.00,Accessory,Median
8,0.00,Unique,Median
9,-3.00,Core,Median
9,29.00,Accessory,Median
9,1.00,Unique,Median
10,-2.00,Core,Median
10,27.00,Accessory,Median
10,2.00,Unique,Median
11,-2.00,Core,Median
11,22.00,Accessory,Median
11,2.00,Unique,Median
12,-2.00,Core,Median
12,19.00,Accessory,Median
12,2.00,Unique,Median
13,-1.00,Core,Median
13,17.00,Accessory,Median
13,1.00,Unique,Median
14,-1.00,Core,Median
14,16.00,Accessory,Median
14,2.00,Unique,Median
15,-1.00,Core,Median
15,12.00,Accessory,Median
15,1.00,Unique,Median
16,-1.00,Core,Median
16,10.00,Accessory,Median
16,1.00,Unique,Median
17,-1.00,Core,Median
17,9.00,Accessory,Median
17,1.00,Unique,Median
18,-1.00,Core,Median
18,8.00,Accessory,Median
18,1.00,Unique,Median
19,-1.00,Core,Median
19,7.00,Accessory,Median
19,1.00,Unique,Median
20,-1.00,Core,Median
20,7.00,Accessory,Median
20,1.00,Unique,Median
21,-1.00,Core,Median
21,6.00,Accessory,Median
21,1.00,Unique,Median
22,-1.00,Core,Median
22,6.00,Accessory,Median
22,1.00,Unique,Median
23,-1.00,Core,Median
23,5.00,Accessory,Median
23,1.00,Unique,Median
24,-1.00,Core,Median
24,5.00,Accessory,Median
24,0.00,Unique,Median
25,-1.00,Core,Median
25,6.00,Accessory,Median
25,1.00,Unique,Median
26,-1.00,Core,Median
26,5.00,Accessory,Median
26,1.00,Unique,Median
27,0.00,Core,Median
27,5.00,Accessory,Median
27,1.00,Unique,Median
28,0.00,Core,Median
28,4.00,Accessory,Median
28,1.00,Unique,Median
29,0.00,Core,Median
29,5.00,Accessory,Median
29,0.00,Unique,Median
30,0.00,Core,Median
30,5.00,Accessory,Median
30,1.00,Unique,Median
31,0.00,Core,Median
31,4.00,Accessory,Median
31,0.00,Unique,Median
32,0.00,Core,Median
32,4.00,Accessory,Median
32,0.00,Unique,Median
33,-1.00,Core,Median
33,4.00,Accessory,Median
33,0.00,Unique,Median
34,0.00,Core,Median
34,4.00,Accessory,Median
34,0.00,Unique,Median
35,0.00,Core,Median
35,4.00,Accessory,Median
35,0.00,Unique,Median
36,0.00,Core,Median
36,4.00,Accessory,Median
36,0.00,Unique,Median
37,0.00,Core,Median
37,4.00,Accessory,Median
37,0.00,Unique,Median
38,0.00,Core,Median
38,4.00,Accessory,Median
38,0.00,Unique,Median
39,0.00,Core,Median
39,4.00,Accessory,Median
39,0.00,Unique,Median
40,0.00,Core,Median
40,3.00,Accessory,Median
40,0.00,Unique,Median
41,0.00,Core,Median
41,3.00,Accessory,Median
41,0.00,Unique,Median
42,0.00,Core,Median
42,3.00,Accessory,Median
42,0.00,Unique,Median
43,0.00,Core,Median
43,3.00,Accessory,Median
43,0.00,Unique,Median
44,0.00,Core,Median
44,4.00,Accessory,Median
44,0.00,Unique,Median
45,0.00,Core,Median
45,3.00,Accessory,Median
45,0.00,Unique,Median
46,0.00,Core,Median
46,3.00,Accessory,Median
46,0.00,Unique,Median
47,0.00,Core,Median
47,3.00,Accessory,Median
47,0.00,Unique,Median
48,0.00,Core,Median
48,3.00,Accessory,Median
48,0.00,Unique,Median
49,0.00,Core,Median
49,3.00,Accessory,Median
49,0.00,Unique,Median
50,0.00,Core,Median
50,3.00,Accessory,Median
50,0.00,Unique,Median
51,0.00,Core,Median
51,2.00,Accessory,Median
51,0.00,Unique,Median
52,0.00,Core,Median
52,3.00,Accessory,Median
52,0.00,Unique,Median
53,0.00,Core,Median
53,3.00,Accessory,Median
53,0.00,Unique,Median
54,0.00,Core,Median
54,2.00,Accessory,Median
54,0.00,Unique,Median
55,0.00,Core,Median
55,2.00,Accessory,Median
55,0.00,Unique,Median
56,0.00,Core,Median
56,2.00,Accessory,Median
56,0.00,Unique,Median
57,0.00,Core,Median
57,2.00,Accessory,Median
57,0.00,Unique,Median
58,0.00,Core,Median
58,2.00,Accessory,Median
58,0.00,Unique,Median
