x,y,Category,Metric
4,-51.00,Core,Median
4,209.00,Accessory,Median
5,-13.00,Core,Median
5,64.00,Accessory,Median
6,-8.00,Core,Median
6,48.00,Accessory,Median
7,-5.00,Core,Median
7,34.00,Accessory,Median
8,-4.00,Core,Median
8,27.00,Accessory,Median
9,-3.00,Core,Median
9,22.00,Accessory,Median
10,-2.00,Core,Median
10,21.00,Accessory,Median
11,-2.00,Core,Median
11,17.00,Accessory,Median
12,-2.00,Core,Median
12,12.00,Accessory,Median
13,-1.00,Core,Median
13,10.00,Accessory,Median
14,-1.00,Core,Median
14,11.00,Accessory,Median
15,-1.00,Core,Median
15,10.00,Accessory,Median
16,-1.00,Core,Median
16,7.00,Accessory,Median
17,-1.00,Core,Median
17,6.00,Accessory,Median
18,-1.00,Core,Median
18,9.00,Accessory,Median
19,-1.00,Core,Median
19,7.00,Accessory,Median
20,-1.00,Core,Median
20,6.00,Accessory,Median
21,-1.00,Core,Median
21,6.00,Accessory,Median
22,-1.00,Core,Median
22,6.00,Accessory,Median
23,-1.00,Core,Median
23,4.00,Accessory,Median
24,-1.00,Core,Median
24,4.00,Accessory,Median
25,-1.00,Core,Median
25,5.00,Accessory,Median
26,-1.00,Core,Median
26,5.00,Accessory,Median
27,0.00,Core,Median
27,5.00,Accessory,Median
28,0.00,Core,Median
28,3.00,Accessory,Median
29,0.00,Core,Median
29,4.00,Accessory,Median
30,0.00,Core,Median
30,4.00,Accessory,Median
31,0.00,Core,Median
31,3.00,Accessory,Median
32,0.00,Core,Median
32,3.00,Accessory,Median
33,-1.00,Core,Median
33,3.00,Accessory,Median
34,0.00,Core,Median
34,3.00,Accessory,Median
35,0.00,Core,Median
35,4.00,Accessory,Median
36,0.00,Core,Median
36,3.00,Accessory,Median
37,0.00,Core,Median
37,3.00,Accessory,Median
38,0.00,Core,Median
38,3.00,Accessory,Median
39,0.00,Core,Median
39,3.00,Accessory,Median
40,0.00,Core,Median
40,3.00,Accessory,Median
41,0.00,Core,Median
41,3.00,Accessory,Median
42,0.00,Core,Median
42,3.00,Accessory,Median
43,0.00,Core,Median
43,2.00,Accessory,Median
44,0.00,Core,Median
44,3.00,Accessory,Median
45,0.00,Core,Median
45,2.00,Accessory,Median
46,0.00,Core,Median
46,2.00,Accessory,Median
47,0.00,Core,Median
47,2.00,Accessory,Median
48,0.00,Core,Median
48,2.00,Accessory,Median
49,0.00,Core,Median
49,2.00,Accessory,Median
50,0.00,Core,Median
50,2.00,Accessory,Median
51,0.00,Core,Median
51,2.00,Accessory,Median
52,0.00,Core,Median
52,2.00,Accessory,Median
53,0.00,Core,Median
53,2.00,Accessory,Median
54,0.00,Core,Median
54,2.00,Accessory,Median
55,0.00,Core,Median
55,2.00,Accessory,Median
56,0.00,Core,Median
56,2.00,Accessory,Median
57,0.00,Core,Median
57,2.00,Accessory,Median
58,0.00,Core,Median
58,2.00,Accessory,Median
