Two overviews of homology group sizes based on number of proteins and number of genomes
#Group size based on number of proteins, occurrences
1, 10131
2, 3665
3, 2226
4, 1102
5, 643
6, 454
7, 297
8, 186
9, 179
10, 148
11, 109
12, 103
13, 286
14, 117
15, 110
16, 93
17, 152
18, 127
19, 80
20, 67
21, 171
22, 80
23, 58
24, 62
25, 38
26, 63
27, 45
28, 34
29, 37
30, 37
31, 25
32, 35
33, 29
34, 17
35, 24
36, 24
37, 22
38, 22
39, 23
40, 21
41, 14
42, 23
43, 15
44, 18
45, 14
46, 8
47, 10
48, 19
49, 15
50, 15
51, 8
52, 13
53, 7
54, 7
55, 6
56, 11
57, 7
58, 6
59, 9
60, 4
61, 8
62, 3
63, 12
64, 12
65, 8
66, 4
67, 11
68, 10
69, 8
70, 6
71, 8
72, 5
73, 4
74, 2
75, 11
76, 5
77, 3
78, 8
79, 5
80, 8
81, 11
82, 9
83, 3
84, 4
85, 11
86, 7
87, 9
88, 1
89, 4
90, 9
91, 10
92, 6
93, 4
94, 3
95, 1
96, 4
97, 5
98, 6
99, 4
100, 4
101, 5
102, 3
103, 4
104, 4
105, 4
106, 4
107, 2
108, 2
109, 4
110, 5
111, 6
112, 6
113, 2
114, 4
115, 2
116, 3
117, 3
118, 1
119, 1
120, 1
121, 5
122, 7
123, 4
126, 2
127, 2
128, 4
129, 5
130, 2
131, 2
132, 3
134, 2
135, 2
136, 2
137, 2
138, 3
139, 2
140, 3
141, 1
142, 3
143, 3
144, 1
145, 4
146, 3
148, 1
149, 2
150, 1
151, 3
152, 3
153, 4
154, 2
155, 3
156, 5
157, 2
158, 1
160, 1
161, 1
162, 2
163, 1
164, 1
165, 2
167, 2
168, 1
169, 3
170, 2
171, 2
172, 2
173, 1
174, 9
175, 4
176, 5
177, 1
178, 2
179, 2
180, 1
181, 2
182, 1
184, 2
185, 2
186, 3
187, 1
189, 4
190, 2
191, 2
192, 2
193, 4
194, 1
196, 1
197, 2
198, 1
199, 4
200, 3
201, 1
202, 2
203, 3
204, 5
205, 2
206, 2
207, 2
208, 5
210, 1
211, 2
212, 1
213, 2
214, 1
215, 3
216, 2
217, 3
218, 2
219, 1
220, 3
221, 4
222, 2
223, 4
224, 1
225, 3
226, 6
227, 9
228, 11
229, 8
230, 9
231, 27
232, 95
233, 89
234, 474
235, 68
236, 22
237, 14
238, 3
239, 5
240, 2
241, 1
242, 1
243, 1
245, 1
246, 1
271, 1


#Group size based on number of genomes (maximum of 234), occurrences
1, 10274
2, 3588
3, 2210
4, 1100
5, 631
6, 451
7, 288
8, 182
9, 176
10, 148
11, 107
12, 101
13, 293
14, 121
15, 104
16, 95
17, 157
18, 130
19, 74
20, 67
21, 175
22, 82
23, 54
24, 64
25, 41
26, 57
27, 44
28, 35
29, 37
30, 37
31, 27
32, 32
33, 31
34, 16
35, 27
36, 17
37, 25
38, 17
39, 21
40, 22
41, 22
42, 18
43, 16
44, 20
45, 11
46, 6
47, 11
48, 20
49, 17
50, 13
51, 7
52, 12
53, 6
54, 8
55, 7
56, 11
57, 6
58, 5
59, 10
60, 3
61, 8
62, 2
63, 13
64, 11
65, 10
66, 5
67, 9
68, 9
69, 6
70, 5
71, 9
72, 4
73, 5
74, 5
75, 7
76, 4
77, 5
78, 10
79, 8
80, 5
81, 13
82, 6
83, 5
84, 3
85, 10
86, 8
87, 9
88, 2
89, 4
90, 10
91, 10
92, 3
93, 3
94, 5
95, 1
96, 3
97, 5
98, 6
99, 2
100, 5
101, 5
102, 3
103, 3
104, 5
105, 4
106, 4
107, 3
108, 3
109, 1
110, 5
111, 5
112, 6
113, 1
114, 5
115, 3
116, 3
119, 2
120, 1
121, 6
122, 6
123, 3
125, 1
126, 1
127, 3
128, 4
129, 5
130, 3
131, 2
132, 3
133, 1
134, 2
135, 2
136, 2
137, 2
138, 2
139, 2
140, 4
141, 3
142, 2
143, 3
145, 3
146, 3
148, 1
149, 2
150, 1
151, 5
152, 4
153, 3
154, 1
155, 4
156, 3
157, 3
160, 1
161, 2
162, 1
163, 1
164, 1
165, 2
168, 2
169, 2
170, 2
171, 3
173, 5
174, 6
175, 3
176, 5
178, 1
179, 1
180, 2
181, 2
183, 3
185, 2
186, 3
188, 2
189, 1
190, 2
191, 2
192, 3
193, 3
194, 2
197, 4
199, 5
200, 4
202, 3
203, 3
204, 3
205, 1
206, 1
207, 3
208, 4
209, 1
210, 1
211, 2
213, 3
214, 3
215, 1
217, 4
218, 3
219, 2
220, 1
221, 4
222, 2
223, 4
224, 1
225, 4
226, 6
227, 11
228, 9
229, 6
230, 11
231, 35
232, 103
233, 100
234, 564
