x,y,Category
52,10767,Dispensable
111,14820,Dispensable
115,590,Core
197,20461,Dispensable
76,12931,Dispensable
53,11430,Dispensable
186,19750,Dispensable
67,11747,Dispensable
126,15800,Dispensable
217,21434,Dispensable
74,11149,Dispensable
213,21305,Dispensable
91,595,Core
41,8707,Dispensable
153,18182,Dispensable
174,19100,Dispensable
63,10298,Dispensable
79,11702,Dispensable
108,15212,Dispensable
114,15845,Dispensable
154,18727,Dispensable
202,20454,Dispensable
28,7799,Dispensable
90,13982,Dispensable
110,15716,Dispensable
185,20164,Dispensable
181,19197,Dispensable
68,12763,Dispensable
38,8462,Dispensable
81,12103,Dispensable
114,15503,Dispensable
130,16784,Dispensable
148,18436,Dispensable
92,13649,Dispensable
145,17764,Dispensable
71,12025,Dispensable
86,597,Core
86,13005,Dispensable
36,9277,Dispensable
76,13181,Dispensable
165,18269,Dispensable
93,14312,Dispensable
217,21787,Dispensable
210,20622,Dispensable
191,20102,Dispensable
76,12920,Dispensable
193,20321,Dispensable
42,7761,Dispensable
82,13472,Dispensable
102,15206,Dispensable
91,13093,Dispensable
182,19610,Dispensable
100,599,Core
84,13691,Dispensable
151,641,Core
206,20594,Dispensable
25,7207,Dispensable
191,20455,Dispensable
225,21944,Dispensable
171,18207,Dispensable
50,9592,Dispensable
221,21815,Dispensable
193,20674,Dispensable
65,12087,Dispensable
54,9962,Dispensable
82,13218,Dispensable
59,11237,Dispensable
156,17295,Dispensable
110,15705,Dispensable
145,17411,Dispensable
105,14871,Dispensable
146,643,Core
87,12462,Dispensable
181,20024,Dispensable
21,5576,Dispensable
71,12378,Dispensable
210,20975,Dispensable
3,1936,Dispensable
22,5718,Dispensable
159,17717,Dispensable
204,20331,Dispensable
98,13997,Dispensable
211,21428,Dispensable
68,12410,Dispensable
100,13980,Dispensable
141,17624,Dispensable
149,17893,Dispensable
43,7903,Dispensable
199,20117,Dispensable
122,16274,Dispensable
10,3517,Dispensable
49,10810,Dispensable
161,18129,Dispensable
207,21003,Dispensable
50,9029,Dispensable
97,14110,Dispensable
57,9638,Dispensable
27,6745,Dispensable
227,22071,Dispensable
57,795,Core
68,12509,Dispensable
126,16149,Dispensable
35,8532,Dispensable
91,14744,Dispensable
204,20673,Dispensable
227,21865,Dispensable
48,9577,Dispensable
135,17377,Dispensable
111,15169,Dispensable
22,5630,Dispensable
95,12972,Dispensable
12,884,Core
129,17086,Dispensable
147,17332,Dispensable
94,13868,Dispensable
146,18217,Dispensable
159,681,Core
80,13551,Dispensable
190,19822,Dispensable
73,12244,Dispensable
145,17753,Dispensable
33,7137,Dispensable
119,14835,Dispensable
168,19151,Dispensable
7,2567,Dispensable
43,8451,Dispensable
121,16821,Dispensable
168,18901,Dispensable
163,18260,Dispensable
73,12299,Dispensable
188,19671,Dispensable
33,7435,Dispensable
58,612,Core
104,15116,Dispensable
166,19285,Dispensable
27,6756,Dispensable
200,20533,Dispensable
33,7479,Dispensable
135,17322,Dispensable
215,21226,Dispensable
118,16191,Dispensable
117,15175,Dispensable
129,16836,Dispensable
140,16862,Dispensable
173,18691,Dispensable
118,15985,Dispensable
87,13815,Dispensable
25,5604,Dispensable
63,11607,Dispensable
118,15941,Dispensable
54,10335,Dispensable
175,18358,Dispensable
154,18738,Dispensable
49,9620,Dispensable
44,8935,Dispensable
43,8793,Dispensable
91,14446,Dispensable
172,19234,Dispensable
56,10201,Dispensable
90,775,Core
69,697,Core
92,13561,Dispensable
56,659,Core
210,20964,Dispensable
227,21523,Dispensable
176,19672,Dispensable
19,5175,Dispensable
73,12586,Dispensable
161,18394,Dispensable
122,16009,Dispensable
107,762,Core
37,7772,Dispensable
58,10773,Dispensable
99,14417,Dispensable
120,16000,Dispensable
66,12202,Dispensable
216,20970,Dispensable
118,661,Core
32,7293,Dispensable
199,20128,Dispensable
231,22154,Dispensable
10,3506,Dispensable
47,713,Core
85,777,Core
81,12754,Dispensable
55,10086,Dispensable
117,16793,Dispensable
7,801,Core
193,20023,Dispensable
50,9890,Dispensable
165,18567,Dispensable
141,17679,Dispensable
10,3804,Dispensable
79,12250,Dispensable
10,3771,Dispensable
105,14617,Dispensable
113,15035,Dispensable
127,604,Core
7,916,Core
29,6577,Dispensable
33,7777,Dispensable
204,20386,Dispensable
119,664,Core
148,18138,Dispensable
133,16908,Dispensable
44,10555,Dispensable
84,13426,Dispensable
193,20376,Dispensable
170,19015,Dispensable
59,11535,Dispensable
29,5941,Dispensable
225,21657,Dispensable
25,5946,Dispensable
77,651,Core
70,11561,Dispensable
29,7500,Dispensable
170,19368,Dispensable
142,18000,Dispensable
191,20753,Dispensable
128,16357,Dispensable
128,16368,Dispensable
104,15469,Dispensable
122,15715,Dispensable
139,17175,Dispensable
141,17326,Dispensable
119,16449,Dispensable
132,602,Core
189,20591,Dispensable
161,18041,Dispensable
3,1638,Dispensable
3,1649,Dispensable
16,5885,Dispensable
28,7148,Dispensable
37,8055,Dispensable
37,8066,Dispensable
187,20118,Dispensable
35,685,Core
128,15721,Dispensable
157,18057,Dispensable
215,21513,Dispensable
120,16342,Dispensable
121,15898,Dispensable
22,6266,Dispensable
21,827,Core
160,17378,Dispensable
193,19450,Dispensable
14,4435,Dispensable
62,9969,Dispensable
113,16300,Dispensable
85,12894,Dispensable
50,10206,Dispensable
63,11872,Dispensable
199,20768,Dispensable
227,22159,Dispensable
57,11018,Dispensable
135,17675,Dispensable
34,7886,Dispensable
174,19155,Dispensable
59,615,Core
88,13566,Dispensable
158,18790,Dispensable
176,19407,Dispensable
225,21900,Dispensable
31,6327,Dispensable
16,829,Core
46,710,Core
146,18515,Dispensable
139,17208,Dispensable
40,683,Core
146,18140,Dispensable
155,589,Core
185,19282,Dispensable
43,7947,Dispensable
160,587,Core
99,14406,Dispensable
97,14463,Dispensable
121,591,Core
102,14195,Dispensable
13,4293,Dispensable
197,20174,Dispensable
114,15205,Dispensable
103,14012,Dispensable
8,736,Core
219,21653,Dispensable
50,10548,Dispensable
141,17922,Dispensable
42,9375,Dispensable
115,15254,Dispensable
120,16353,Dispensable
8,919,Core
19,5771,Dispensable
77,12031,Dispensable
200,20588,Dispensable
44,9494,Dispensable
119,15383,Dispensable
164,19364,Dispensable
65,11528,Dispensable
195,20242,Dispensable
92,598,Core
53,9555,Dispensable
219,21300,Dispensable
2,754,Dispensable
42,9022,Dispensable
221,21771,Dispensable
62,11051,Dispensable
153,17921,Dispensable
9,3311,Dispensable
106,13434,Dispensable
212,20841,Dispensable
27,742,Core
187,20383,Dispensable
72,11780,Dispensable
139,16914,Dispensable
65,12032,Dispensable
152,17453,Dispensable
62,10547,Dispensable
90,13000,Dispensable
93,12764,Dispensable
184,19619,Dispensable
34,7544,Dispensable
37,7805,Dispensable
193,19792,Dispensable
118,15345,Dispensable
212,21091,Dispensable
220,21689,Dispensable
36,7663,Dispensable
18,4474,Dispensable
55,11737,Dispensable
70,11307,Dispensable
93,14323,Dispensable
45,9978,Dispensable
143,17545,Dispensable
32,740,Core
137,17298,Dispensable
207,20808,Dispensable
119,15394,Dispensable
109,14757,Dispensable
113,14741,Dispensable
199,20382,Dispensable
161,18427,Dispensable
217,21445,Dispensable
41,686,Core
152,644,Core
36,688,Core
180,19744,Dispensable
62,10801,Dispensable
15,4842,Dispensable
111,14875,Dispensable
152,18519,Dispensable
85,12629,Dispensable
90,13342,Dispensable
156,17593,Dispensable
21,5521,Dispensable
105,14882,Dispensable
178,19891,Dispensable
154,18992,Dispensable
54,721,Core
192,19743,Dispensable
56,10554,Dispensable
45,9636,Dispensable
93,14665,Dispensable
14,704,Core
43,9506,Dispensable
86,12711,Dispensable
211,21439,Dispensable
124,16228,Dispensable
147,17685,Dispensable
86,709,Core
54,11192,Dispensable
25,6494,Dispensable
182,582,Core
11,881,Core
52,10381,Dispensable
96,14701,Dispensable
102,14493,Dispensable
47,8909,Dispensable
59,10171,Dispensable
188,20200,Dispensable
226,21695,Dispensable
66,10698,Dispensable
37,9033,Dispensable
58,11067,Dispensable
110,15330,Dispensable
222,21566,Dispensable
29,7897,Dispensable
41,9211,Dispensable
135,17620,Dispensable
48,9864,Dispensable
91,778,Core
153,19237,Dispensable
56,792,Core
170,18809,Dispensable
197,20847,Dispensable
37,7121,Dispensable
27,6105,Dispensable
147,646,Core
194,20072,Dispensable
15,5125,Dispensable
23,5827,Dispensable
201,20714,Dispensable
221,21219,Dispensable
120,771,Core
224,22112,Dispensable
78,12201,Dispensable
171,18803,Dispensable
48,9511,Dispensable
32,7591,Dispensable
164,18518,Dispensable
209,20983,Dispensable
62,10558,Dispensable
54,9366,Dispensable
141,17591,Dispensable
38,7616,Dispensable
214,21045,Dispensable
105,14915,Dispensable
6,2370,Dispensable
42,689,Core
198,620,Core
41,7994,Dispensable
171,19064,Dispensable
191,20168,Dispensable
60,10891,Dispensable
72,12548,Dispensable
26,6989,Dispensable
102,14482,Dispensable
97,14838,Dispensable
189,20337,Dispensable
134,16946,Dispensable
222,21555,Dispensable
23,6077,Dispensable
111,15467,Dispensable
72,10636,Dispensable
194,20844,Dispensable
115,15596,Dispensable
152,17100,Dispensable
129,16450,Dispensable
173,19702,Dispensable
61,10333,Dispensable
174,18949,Dispensable
101,14499,Dispensable
174,19839,Dispensable
83,12708,Dispensable
150,18565,Dispensable
73,12531,Dispensable
66,11224,Dispensable
63,9990,Dispensable
64,11005,Dispensable
49,10093,Dispensable
205,20854,Dispensable
123,15764,Dispensable
203,573,Core
13,4039,Dispensable
135,744,Core
117,16153,Dispensable
120,16099,Dispensable
120,15849,Dispensable
9,872,Core
8,3213,Dispensable
144,17241,Dispensable
187,19589,Dispensable
165,18854,Dispensable
93,14025,Dispensable
132,16738,Dispensable
184,19917,Dispensable
70,10715,Dispensable
89,12416,Dispensable
