x,y,Category,Metric
4,-74.79,Core,Average
4,475.42,Accessory,Average
5,-33.80,Core,Average
5,390.98,Accessory,Average
6,-20.81,Core,Average
6,352.03,Accessory,Average
7,-14.94,Core,Average
7,318.80,Accessory,Average
8,-12.04,Core,Average
8,296.77,Accessory,Average
9,-9.02,Core,Average
9,275.94,Accessory,Average
10,-8.27,Core,Average
10,262.06,Accessory,Average
11,-6.17,Core,Average
11,246.57,Accessory,Average
12,-5.72,Core,Average
12,242.12,Accessory,Average
13,-4.81,Core,Average
13,227.57,Accessory,Average
14,-4.89,Core,Average
14,220.72,Accessory,Average
15,-4.07,Core,Average
15,214.07,Accessory,Average
16,-3.82,Core,Average
16,204.37,Accessory,Average
17,-4.03,Core,Average
17,199.07,Accessory,Average
18,-3.83,Core,Average
18,195.53,Accessory,Average
19,-4.04,Core,Average
19,192.87,Accessory,Average
20,-3.21,Core,Average
20,180.72,Accessory,Average
21,-2.91,Core,Average
21,178.04,Accessory,Average
22,-2.94,Core,Average
22,171.01,Accessory,Average
23,-2.60,Core,Average
23,165.36,Accessory,Average
24,-2.79,Core,Average
24,167.23,Accessory,Average
25,-3.76,Core,Average
25,163.70,Accessory,Average
26,-3.18,Core,Average
26,163.13,Accessory,Average
27,-2.73,Core,Average
27,158.00,Accessory,Average
28,-2.35,Core,Average
28,152.59,Accessory,Average
29,-2.74,Core,Average
29,152.28,Accessory,Average
30,-2.93,Core,Average
30,157.14,Accessory,Average
31,-2.72,Core,Average
31,147.14,Accessory,Average
32,-2.31,Core,Average
32,141.35,Accessory,Average
33,-2.33,Core,Average
33,145.39,Accessory,Average
34,-2.76,Core,Average
34,139.92,Accessory,Average
35,-2.54,Core,Average
35,141.91,Accessory,Average
36,-2.41,Core,Average
36,136.67,Accessory,Average
37,-3.11,Core,Average
37,137.91,Accessory,Average
38,-2.25,Core,Average
38,130.61,Accessory,Average
39,-1.98,Core,Average
39,134.82,Accessory,Average
40,-2.08,Core,Average
40,130.71,Accessory,Average
41,-2.18,Core,Average
41,123.02,Accessory,Average
42,-2.69,Core,Average
42,132.63,Accessory,Average
43,-1.79,Core,Average
43,120.49,Accessory,Average
44,-1.86,Core,Average
44,128.36,Accessory,Average
45,-2.34,Core,Average
45,123.37,Accessory,Average
46,-1.84,Core,Average
46,122.91,Accessory,Average
47,-2.16,Core,Average
47,119.46,Accessory,Average
48,-2.40,Core,Average
48,115.28,Accessory,Average
