#This file cannot be read by other PanTools functions. Split the file on the semicolon and use the homology group node identifiers in the right column
#8 genomes 88.89%
1,2,3,5,6,7,8,9;2031466
#7 genomes 77.78%
2,3,4,6,7,8,9;2034635,2034806
#6 genomes 66.67%
1,2,3,5,8,9;2032802
2,3,6,7,8,9;2032721,2032874,2032949,2033104,2033107,2033160,2033163,2033172,2033183,2033193,2033222,2033224,2033243,2033249,2033252,2033253,2033265,2033294,2033295,2033298,2033299,2033311,2033316,2033322,2033347,2033364,2033369,2033379,2033391,2033394,2033396,2033416,2033422,2033461,2033505,2033508,2033516,2033518,2033528,2033536,2033546,2033565,2033568,2033587,2033610,2033626,2033647,2033656,2033659,2033679,2033683,2033696,2033707,2033745,2033782,2033796,2033833,2033847,2033873,2033874,2033884,2033885,2033893,2033898,2033900,2033916,2033999,2034010,2034021,2034029,2034063,2034064,2034081,2034084,2034107,2034114,2034135,2034210,2034224,2034230,2034283,2034424,2034430,2034432,2034435,2034436,2034449,2034452,2034464,2034471,2034472,2034539,2034544,2034561,2034593,2034594,2034595,2034596,2034605,2034611,2034628,2034735,2034736,2034748,2034749,2034753,2034760,2034780,2034782,2034783,2034804,2034805,2034817,2034826,2034827,2034829,2034830,2034831,2034833,2034839,2034840,2034841,2034847,2034848,2034849,2034862,2034872,2034893,2034894,2034896,2034913,2034917,2034925,2034932,2034956,2034957,2034960,2034969,2034974
#5 genomes 55.56%
2,3,6,7,8;2033651,2033912
2,6,7,8,9;2033418
3,6,7,8,9;2035181,2035415,2035529,2036187
2,3,7,8,9;2033142,2033377,2033378,2033383,2033404,2033657,2033823,2033871,2033956,2034205,2034413,2034589,2034651
2,3,6,8,9;2033317,2033509,2033675,2033846,2033848,2033937,2034239,2034752
#4 genomes 44.44%
2,3,6,9;2033349
3,7,8,9;2035309
3,6,8,9;2035851,2036121
2,3,7,8;2033348,2033428,2033640,2033891,2034148,2034412,2034693,2034818,2034967
2,6,7,8;2034227
